shipment_id,event_ts,event_type,event_city,event_state
SHP00000030,2025-03-06T01:00:00,Label Created,Sawyershire,VA
SHP00000030,2025-03-07T12:00:00,Picked Up,Port Theresamouth,WA
SHP00000030,2025-03-08T20:00:00,In Transit,West Troyport,VA
SHP00000030,2025-03-09T12:00:00,Out For Delivery,Lisabury,WA
SHP00000030,2025-03-10T06:00:00,Delivered,Scottburgh,IL
SHP00000031,2025-12-03T17:00:00,Label Created,Bellborough,TX
SHP00000031,2025-12-04T03:00:00,Picked Up,Port Kaylaville,MA
SHP00000031,2025-12-05T06:00:00,In Transit,Port Juliaton,NY
SHP00000031,2025-12-06T00:00:00,Out For Delivery,South Krystalchester,WA
SHP00000031,2025-12-07T20:00:00,Delivered,North Tammy,IL
SHP00000032,2024-09-25T00:00:00,Label Created,North Jameschester,TX
SHP00000032,2024-09-26T19:00:00,Picked Up,Ellisfort,AZ
SHP00000032,2024-09-27T04:00:00,In Transit,North Jenniferbury,CO
SHP00000032,2024-09-28T01:00:00,Out For Delivery,Lake David,NY
SHP00000032,2024-09-29T17:00:00,Delivered,West Edwinmouth,NY
SHP00000033,2025-06-16T12:00:00,Label Created,East Ashleyfurt,MA
SHP00000033,2025-06-17T14:00:00,Picked Up,East Edwin,FL
SHP00000033,2025-06-18T09:00:00,In Transit,Thomasstad,CO
SHP00000033,2025-06-19T14:00:00,Out For Delivery,West Noah,CA
SHP00000033,2025-06-20T01:00:00,Delivered,Lake Becky,GA
SHP00000036,2025-04-28T05:00:00,Label Created,Cookmouth,CO
SHP00000036,2025-04-29T05:00:00,Picked Up,Port Denise,WA
SHP00000036,2025-04-30T07:00:00,In Transit,Thomaston,WA
SHP00000036,2025-05-01T18:00:00,Out For Delivery,Valdezstad,NY
SHP00000036,2025-05-02T07:00:00,Delivered,South Annchester,MA
SHP00000039,2024-01-18T05:00:00,Label Created,Lake Rhondaberg,IL
SHP00000039,2024-01-19T07:00:00,Picked Up,Elizabethton,CA
SHP00000039,2024-01-20T20:00:00,In Transit,New Kelly,TX
SHP00000039,2024-01-21T00:00:00,Out For Delivery,Hernandezhaven,IL
SHP00000039,2024-01-22T12:00:00,Delivered,Port Joseph,AZ
SHP00000041,2025-09-28T12:00:00,Label Created,Port Valerieberg,VA
SHP00000041,2025-09-29T15:00:00,Picked Up,Jenniferville,CA
SHP00000041,2025-09-30T20:00:00,In Transit,Catherineview,WA
SHP00000041,2025-10-01T04:00:00,Out For Delivery,Clarkview,IL
SHP00000041,2025-10-02T12:00:00,Delivered,Edwardsmouth,NC
SHP00000042,2025-06-12T16:00:00,Label Created,South Justin,WA
SHP00000042,2025-06-13T11:00:00,Picked Up,Nicholeberg,GA
SHP00000042,2025-06-14T20:00:00,In Transit,Jacobmouth,IL
SHP00000042,2025-06-15T13:00:00,Out For Delivery,Smithhaven,FL
SHP00000042,2025-06-16T06:00:00,Delivered,Tracytown,GA
SHP00000044,2024-01-27T03:00:00,Label Created,Banksville,GA
SHP00000044,2024-01-28T09:00:00,Picked Up,Schaeferborough,CA
SHP00000044,2024-01-29T08:00:00,In Transit,South Sally,TX
SHP00000044,2024-01-30T05:00:00,Out For Delivery,Garcialand,CA
SHP00000044,2024-01-31T04:00:00,Delivered,Carlshire,FL
SHP00000048,2024-09-23T11:00:00,Label Created,Timothyside,IL
SHP00000048,2024-09-24T10:00:00,Picked Up,Paigeburgh,TX
SHP00000048,2024-09-25T08:00:00,In Transit,Victoriahaven,AZ
SHP00000048,2024-09-26T09:00:00,Out For Delivery,Marvinborough,TX
SHP00000048,2024-09-27T02:00:00,Delivered,North Charlesside,WA
SHP00000051,2025-11-06T02:00:00,Label Created,South Jaime,IL
SHP00000051,2025-11-07T08:00:00,Picked Up,Merritttown,IL
SHP00000051,2025-11-08T01:00:00,In Transit,West Williamport,IL
SHP00000051,2025-11-09T05:00:00,Out For Delivery,Sheilaland,MA
SHP00000051,2025-11-10T19:00:00,Delivered,Johnsonland,VA
SHP00000052,2024-03-10T13:00:00,Label Created,South Wendyview,FL
SHP00000052,2024-03-11T01:00:00,Picked Up,New Gregory,VA
SHP00000052,2024-03-12T01:00:00,In Transit,Lake Angela,VA
SHP00000052,2024-03-13T09:00:00,Out For Delivery,West Catherinestad,IL
SHP00000052,2024-03-14T16:00:00,Delivered,Jonathanville,GA
SHP00000053,2025-10-23T12:00:00,Label Created,Cooperport,NY
SHP00000053,2025-10-24T11:00:00,Picked Up,Williamsshire,FL
SHP00000053,2025-10-25T12:00:00,In Transit,Roseside,CA
SHP00000053,2025-10-26T13:00:00,Out For Delivery,North Antoniotown,NY
SHP00000053,2025-10-27T09:00:00,Delivered,Port Elizabethborough,GA
SHP00000054,2024-07-30T07:00:00,Label Created,South Bruce,VA
SHP00000054,2024-07-31T07:00:00,Picked Up,Hardinmouth,NY
SHP00000054,2024-08-01T13:00:00,In Transit,Lopezburgh,IL
SHP00000054,2024-08-02T00:00:00,Out For Delivery,South Keithfort,GA
SHP00000054,2024-08-03T08:00:00,Delivered,Lake Jeffrey,TX
SHP00000056,2025-08-02T17:00:00,Label Created,Pachecoland,AZ
SHP00000056,2025-08-03T10:00:00,Picked Up,Lake Vincentchester,NY
SHP00000056,2025-08-04T15:00:00,In Transit,South Janicemouth,NC
SHP00000056,2025-08-05T00:00:00,Out For Delivery,Bennettville,NC
SHP00000056,2025-08-06T05:00:00,Delivered,Valeriefort,AZ
SHP00000059,2025-08-29T20:00:00,Label Created,Port Tammymouth,AZ
SHP00000059,2025-08-30T01:00:00,Picked Up,New Kristyton,AZ
SHP00000059,2025-08-31T05:00:00,In Transit,South Amandahaven,MA
SHP00000059,2025-09-01T06:00:00,Out For Delivery,South Matthew,TX
SHP00000059,2025-09-02T12:00:00,Delivered,Murphymouth,TX
SHP00000060,2024-09-09T14:00:00,Label Created,Millershire,NC
SHP00000060,2024-09-10T01:00:00,Picked Up,East Garybury,MA
SHP00000060,2024-09-11T09:00:00,In Transit,Janetfort,FL
SHP00000060,2024-09-12T20:00:00,Out For Delivery,Abigailhaven,NC
SHP00000060,2024-09-13T09:00:00,Delivered,Dannyhaven,AZ
SHP00000063,2025-05-10T04:00:00,Label Created,Christopherfurt,WA
SHP00000063,2025-05-11T17:00:00,Picked Up,South Pamela,NY
SHP00000063,2025-05-12T00:00:00,In Transit,North Jason,CO
SHP00000063,2025-05-13T05:00:00,Out For Delivery,Lutzborough,TX
SHP00000063,2025-05-14T04:00:00,Delivered,North Travisborough,FL
SHP00000065,2025-03-24T16:00:00,Label Created,Tinastad,NC
SHP00000065,2025-03-25T03:00:00,Picked Up,Hallshire,FL
SHP00000065,2025-03-26T03:00:00,In Transit,West Timothy,AZ
SHP00000065,2025-03-27T20:00:00,Out For Delivery,Johnborough,CO
SHP00000065,2025-03-28T00:00:00,Delivered,East Robert,MA
SHP00000069,2024-10-15T12:00:00,Label Created,Williamsfurt,NC
SHP00000069,2024-10-16T17:00:00,Picked Up,Lake Jamesfort,FL
SHP00000069,2024-10-17T00:00:00,In Transit,Jonesbury,WA
SHP00000069,2024-10-18T10:00:00,Out For Delivery,Ianborough,NC
SHP00000069,2024-10-19T01:00:00,Delivered,New Alexburgh,AZ
SHP00000071,2024-12-01T20:00:00,Label Created,Smithton,FL
SHP00000071,2024-12-02T20:00:00,Picked Up,Port Elizabeth,CA
SHP00000071,2024-12-03T19:00:00,In Transit,Amybury,CO
SHP00000071,2024-12-04T05:00:00,Out For Delivery,Gonzalezland,FL
SHP00000071,2024-12-05T11:00:00,Delivered,North Amyville,VA
SHP00000072,2024-03-15T16:00:00,Label Created,Thomaschester,MA
SHP00000072,2024-03-16T06:00:00,Picked Up,Lake Maryside,CA
SHP00000072,2024-03-17T08:00:00,In Transit,Lake Bettyshire,CA
SHP00000072,2024-03-18T10:00:00,Out For Delivery,Danielchester,GA
SHP00000072,2024-03-19T04:00:00,Delivered,Blakefurt,FL
SHP00000073,2024-09-05T14:00:00,Label Created,Irwinshire,FL
SHP00000073,2024-09-06T13:00:00,Picked Up,Danielview,WA
SHP00000073,2024-09-07T18:00:00,In Transit,Lauraside,AZ
SHP00000073,2024-09-08T11:00:00,Out For Delivery,South Lauren,FL
SHP00000073,2024-09-09T12:00:00,Delivered,East Jared,TX
SHP00000074,2024-05-29T11:00:00,Label Created,Fisherside,GA
SHP00000074,2024-05-30T16:00:00,Picked Up,East Haley,MA
SHP00000074,2024-05-31T08:00:00,In Transit,Jacksonshire,CO
SHP00000074,2024-06-01T16:00:00,Out For Delivery,Paulland,GA
SHP00000074,2024-06-02T15:00:00,Delivered,South Jessicamouth,IL
SHP00000076,2026-02-27T04:00:00,Label Created,Lake Melissaside,AZ
SHP00000076,2026-02-28T15:00:00,Picked Up,West Jenna,MA
SHP00000076,2026-03-01T19:00:00,In Transit,Lake Randy,CO
SHP00000076,2026-03-02T02:00:00,Out For Delivery,Murrayfort,NC
SHP00000076,2026-03-03T01:00:00,Delivered,Markmouth,VA
SHP00000077,2024-07-09T04:00:00,Label Created,Potterbury,VA
SHP00000077,2024-07-10T01:00:00,Picked Up,West Ryan,TX
SHP00000077,2024-07-11T11:00:00,In Transit,Andreamouth,GA
SHP00000077,2024-07-12T06:00:00,Out For Delivery,Garrettborough,TX
SHP00000077,2024-07-13T15:00:00,Delivered,Vargasmouth,AZ
SHP00000079,2024-04-26T07:00:00,Label Created,South Marystad,TX
SHP00000079,2024-04-27T19:00:00,Picked Up,East Vanessamouth,IL
SHP00000079,2024-04-28T12:00:00,In Transit,Steelefort,CO
SHP00000079,2024-04-29T18:00:00,Out For Delivery,Hernandezchester,IL
SHP00000079,2024-04-30T19:00:00,Delivered,Villegasville,NC
SHP00000080,2026-02-13T02:00:00,Label Created,Boyerfurt,NY
SHP00000080,2026-02-14T01:00:00,Picked Up,East Nicole,GA
SHP00000080,2026-02-15T11:00:00,In Transit,West Cristinaville,VA
SHP00000080,2026-02-16T20:00:00,Out For Delivery,Catherinehaven,WA
SHP00000080,2026-02-17T12:00:00,Delivered,Lake Lorifort,AZ
SHP00000082,2024-11-24T11:00:00,Label Created,Kimberlybury,AZ
SHP00000082,2024-11-25T01:00:00,Picked Up,Lake Jesseborough,FL
SHP00000082,2024-11-26T08:00:00,In Transit,North Anthonyfurt,CA
SHP00000082,2024-11-27T00:00:00,Out For Delivery,Jamesville,IL
SHP00000082,2024-11-28T08:00:00,Delivered,Guzmanstad,TX
SHP00000085,2025-12-20T00:00:00,Label Created,Lake Kathleen,MA
SHP00000085,2025-12-21T19:00:00,Picked Up,East Ethan,WA
SHP00000085,2025-12-22T08:00:00,In Transit,Lake Nancyside,VA
SHP00000085,2025-12-23T10:00:00,Out For Delivery,Lauratown,CO
SHP00000085,2025-12-24T01:00:00,Delivered,Port Michael,MA
SHP00000089,2025-05-28T15:00:00,Label Created,South Josephborough,AZ
SHP00000089,2025-05-29T20:00:00,Picked Up,Ryanside,VA
SHP00000089,2025-05-30T08:00:00,In Transit,New Richardhaven,NC
SHP00000089,2025-05-31T03:00:00,Out For Delivery,Davidstad,GA
SHP00000089,2025-06-01T00:00:00,Delivered,Beanmouth,AZ
SHP00000090,2024-07-20T06:00:00,Label Created,Christensenbury,WA
SHP00000090,2024-07-21T15:00:00,Picked Up,Port Meghanburgh,CO
SHP00000090,2024-07-22T08:00:00,In Transit,Nancychester,CA
SHP00000090,2024-07-23T11:00:00,Out For Delivery,Randallfurt,CO
SHP00000090,2024-07-24T13:00:00,Delivered,Danieltown,NY
SHP00000092,2025-02-14T13:00:00,Label Created,Port Emily,AZ
SHP00000092,2025-02-15T01:00:00,Picked Up,Scottburgh,VA
SHP00000092,2025-02-16T11:00:00,In Transit,Port Frederick,NY
SHP00000092,2025-02-17T04:00:00,Out For Delivery,New Amanda,VA
SHP00000092,2025-02-18T18:00:00,Delivered,Cuevaschester,CO
SHP00000093,2025-10-24T16:00:00,Label Created,New Natalie,WA
SHP00000093,2025-10-25T07:00:00,Picked Up,South Aprilland,AZ
SHP00000093,2025-10-26T18:00:00,In Transit,East Vanessa,VA
SHP00000093,2025-10-27T08:00:00,Out For Delivery,Charlesmouth,CA
SHP00000093,2025-10-28T01:00:00,Delivered,New Traceyville,NY
SHP00000094,2025-10-16T06:00:00,Label Created,Barbaraborough,TX
SHP00000094,2025-10-17T01:00:00,Picked Up,South Pamelaborough,FL
SHP00000094,2025-10-18T01:00:00,In Transit,Fernandezhaven,GA
SHP00000094,2025-10-19T20:00:00,Out For Delivery,Andrewton,WA
SHP00000094,2025-10-20T08:00:00,Delivered,New Cynthiaview,CA
SHP00000096,2025-01-24T10:00:00,Label Created,West Troyberg,WA
SHP00000096,2025-01-25T11:00:00,Picked Up,New Robertborough,VA
SHP00000096,2025-01-26T13:00:00,In Transit,Lake Alexburgh,CO
SHP00000096,2025-01-27T04:00:00,Out For Delivery,North Frankland,MA
SHP00000096,2025-01-28T14:00:00,Delivered,Aprilbury,WA
SHP00000100,2024-05-20T13:00:00,Label Created,Morrisonside,NC
SHP00000100,2024-05-21T11:00:00,Picked Up,Annchester,AZ
SHP00000100,2024-05-22T04:00:00,In Transit,Holmesburgh,GA
SHP00000100,2024-05-23T19:00:00,Out For Delivery,Mcconnellland,WA
SHP00000100,2024-05-24T14:00:00,Delivered,Bowmanhaven,NC
SHP00000102,2025-10-29T00:00:00,Label Created,West Melissa,CO
SHP00000102,2025-10-30T11:00:00,Picked Up,Riverabury,FL
SHP00000102,2025-10-31T06:00:00,In Transit,North Elizabeth,CA
SHP00000102,2025-11-01T01:00:00,Out For Delivery,West Lisabury,CA
SHP00000102,2025-11-02T05:00:00,Delivered,Clarkton,NC
SHP00000103,2024-12-29T15:00:00,Label Created,Lake Melaniebury,CO
SHP00000103,2024-12-30T17:00:00,Picked Up,Stevenchester,CO
SHP00000103,2024-12-31T13:00:00,In Transit,Jaredchester,WA
SHP00000103,2025-01-01T02:00:00,Out For Delivery,Erikton,IL
SHP00000103,2025-01-02T13:00:00,Delivered,Pamelabury,IL
SHP00000104,2024-03-30T03:00:00,Label Created,West Brandonmouth,GA
SHP00000104,2024-03-31T12:00:00,Picked Up,West Shawnshire,WA
SHP00000104,2024-04-01T04:00:00,In Transit,Port Amber,AZ
SHP00000104,2024-04-02T18:00:00,Out For Delivery,North Lonnie,NC
SHP00000104,2024-04-03T01:00:00,Delivered,Wardshire,MA
SHP00000108,2025-08-10T20:00:00,Label Created,Kathyland,NC
SHP00000108,2025-08-11T07:00:00,Picked Up,North Kim,FL
SHP00000108,2025-08-12T08:00:00,In Transit,Carsonshire,AZ
SHP00000108,2025-08-13T12:00:00,Out For Delivery,Port Jessica,IL
SHP00000108,2025-08-14T10:00:00,Delivered,West Kelly,AZ
SHP00000109,2025-01-14T19:00:00,Label Created,North Jeffreymouth,AZ
SHP00000109,2025-01-15T19:00:00,Picked Up,South Wayneton,CO
SHP00000109,2025-01-16T03:00:00,In Transit,Port Matthewland,NY
SHP00000109,2025-01-17T10:00:00,Out For Delivery,Leview,AZ
SHP00000109,2025-01-18T03:00:00,Delivered,East Christianside,CA
SHP00000111,2025-08-17T06:00:00,Label Created,Wesleyton,VA
SHP00000111,2025-08-18T19:00:00,Picked Up,East William,GA
SHP00000111,2025-08-19T05:00:00,In Transit,Lake Justinberg,NY
SHP00000111,2025-08-20T15:00:00,Out For Delivery,Washingtonside,NY
SHP00000111,2025-08-21T04:00:00,Delivered,North Vincentchester,MA
SHP00000112,2025-05-11T12:00:00,Label Created,Elizabethmouth,CA
SHP00000112,2025-05-12T12:00:00,Picked Up,South Amberville,NY
SHP00000112,2025-05-13T14:00:00,In Transit,Port Amyfurt,FL
SHP00000112,2025-05-14T13:00:00,Out For Delivery,Patrickview,WA
SHP00000112,2025-05-15T01:00:00,Delivered,East Gregory,NC
SHP00000114,2024-05-01T09:00:00,Label Created,Rebeccamouth,VA
SHP00000114,2024-05-02T19:00:00,Picked Up,Christopherland,TX
SHP00000114,2024-05-03T13:00:00,In Transit,Port Matthew,CA
SHP00000114,2024-05-04T09:00:00,Out For Delivery,Mikeport,WA
SHP00000114,2024-05-05T18:00:00,Delivered,East Scott,IL
SHP00000116,2025-01-26T19:00:00,Label Created,Rodriguezbury,IL
SHP00000116,2025-01-27T19:00:00,Picked Up,New Kyle,CA
SHP00000116,2025-01-28T05:00:00,In Transit,West Ashley,MA
SHP00000116,2025-01-29T07:00:00,Out For Delivery,Danielland,NY
SHP00000116,2025-01-30T08:00:00,Delivered,Harrisonville,WA
SHP00000117,2025-04-07T00:00:00,Label Created,Ryanberg,CA
SHP00000117,2025-04-08T05:00:00,Picked Up,Gouldfort,IL
SHP00000117,2025-04-09T03:00:00,In Transit,South Gregory,CO
SHP00000117,2025-04-10T18:00:00,Out For Delivery,New Jillianfort,VA
SHP00000117,2025-04-11T13:00:00,Delivered,West Christina,VA
SHP00000118,2024-11-20T13:00:00,Label Created,New Joshuabury,WA
SHP00000118,2024-11-21T05:00:00,Picked Up,Robertsfurt,FL
SHP00000118,2024-11-22T03:00:00,In Transit,Johnsonfort,FL
SHP00000118,2024-11-23T08:00:00,Out For Delivery,Tinashire,GA
SHP00000118,2024-11-24T18:00:00,Delivered,Petersenchester,WA
SHP00000120,2025-03-10T11:00:00,Label Created,East John,FL
SHP00000120,2025-03-11T01:00:00,Picked Up,Martinezmouth,GA
SHP00000120,2025-03-12T16:00:00,In Transit,West Davidview,NC
SHP00000120,2025-03-13T20:00:00,Out For Delivery,North Carrie,VA
SHP00000120,2025-03-14T12:00:00,Delivered,South Kaitlynmouth,IL
SHP00000121,2025-02-09T03:00:00,Label Created,Orozcotown,TX
SHP00000121,2025-02-10T20:00:00,Picked Up,New Jaredland,MA
SHP00000121,2025-02-11T16:00:00,In Transit,Martinezside,NY
SHP00000121,2025-02-12T16:00:00,Out For Delivery,Garciachester,CA
SHP00000121,2025-02-13T01:00:00,Delivered,Brittneyport,NC
SHP00000122,2024-06-19T20:00:00,Label Created,Christophershire,CO
SHP00000122,2024-06-20T00:00:00,Picked Up,Port Susan,WA
SHP00000122,2024-06-21T16:00:00,In Transit,Port Shelbyton,GA
SHP00000122,2024-06-22T15:00:00,Out For Delivery,Donaldville,CA
SHP00000122,2024-06-23T10:00:00,Delivered,Jenniferhaven,WA
SHP00000124,2024-02-28T12:00:00,Label Created,North Stevehaven,IL
SHP00000124,2024-02-29T18:00:00,Picked Up,New Stephanie,NY
SHP00000124,2024-03-01T00:00:00,In Transit,South Christopher,NC
SHP00000124,2024-03-02T11:00:00,Out For Delivery,East Donaldport,IL
SHP00000124,2024-03-03T05:00:00,Delivered,South Jefferytown,WA
SHP00000125,2024-07-15T04:00:00,Label Created,Michellebury,MA
SHP00000125,2024-07-16T19:00:00,Picked Up,Parkerstad,VA
SHP00000125,2024-07-17T10:00:00,In Transit,West Emily,CA
SHP00000125,2024-07-18T03:00:00,Out For Delivery,Victorchester,IL
SHP00000125,2024-07-19T04:00:00,Delivered,West Joseland,WA
SHP00000128,2025-10-30T06:00:00,Label Created,Andrewstad,VA
SHP00000128,2025-10-31T07:00:00,Picked Up,New John,AZ
SHP00000128,2025-11-01T18:00:00,In Transit,Port James,MA
SHP00000128,2025-11-02T05:00:00,Out For Delivery,Davidshire,MA
SHP00000128,2025-11-03T04:00:00,Delivered,Bonniemouth,FL
SHP00000129,2025-08-30T05:00:00,Label Created,Lewisfort,NY
SHP00000129,2025-08-31T04:00:00,Picked Up,South Juanstad,NY
SHP00000129,2025-09-01T01:00:00,In Transit,West Crystalside,MA
SHP00000129,2025-09-02T14:00:00,Out For Delivery,Beckmouth,CO
SHP00000129,2025-09-03T09:00:00,Delivered,Port Christopher,VA
SHP00000130,2025-08-08T03:00:00,Label Created,Katherineport,CA
SHP00000130,2025-08-09T17:00:00,Picked Up,Hendersonville,WA
SHP00000130,2025-08-10T06:00:00,In Transit,East Angela,VA
SHP00000130,2025-08-11T05:00:00,Out For Delivery,Sullivanmouth,CA
SHP00000130,2025-08-12T17:00:00,Delivered,South Codychester,AZ
SHP00000132,2026-02-22T08:00:00,Label Created,North Melissaborough,GA
SHP00000132,2026-02-23T00:00:00,Picked Up,Lake Paulfurt,MA
SHP00000132,2026-02-24T00:00:00,In Transit,East Brandonhaven,TX
SHP00000132,2026-02-25T20:00:00,Out For Delivery,North Kristine,IL
SHP00000132,2026-02-26T13:00:00,Delivered,East Patrick,NC
SHP00000133,2025-07-27T19:00:00,Label Created,New Audreyfort,VA
SHP00000133,2025-07-28T13:00:00,Picked Up,Gomezmouth,NC
SHP00000133,2025-07-29T20:00:00,In Transit,Lake Lisafurt,FL
SHP00000133,2025-07-30T04:00:00,Out For Delivery,Port Jamesberg,CA
SHP00000133,2025-07-31T16:00:00,Delivered,New Catherinemouth,CO
SHP00000134,2024-10-03T14:00:00,Label Created,North Martin,WA
SHP00000134,2024-10-04T19:00:00,Picked Up,Nicholasfurt,TX
SHP00000134,2024-10-05T16:00:00,In Transit,Port Gabrielleberg,AZ
SHP00000134,2024-10-06T15:00:00,Out For Delivery,New Larry,WA
SHP00000134,2024-10-07T00:00:00,Delivered,East Amber,TX
SHP00000137,2025-04-22T01:00:00,Label Created,East Wesley,IL
SHP00000137,2025-04-23T15:00:00,Picked Up,Josephville,VA
SHP00000137,2025-04-24T09:00:00,In Transit,Robinside,CO
