snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,reorder_point
2024-08-10,W001,P00045,685,47,69
2025-02-01,W001,P00075,787,116,48
2025-10-20,W001,P00168,378,20,49
2025-06-26,W001,P00207,569,8,75
2025-12-20,W001,P00182,665,19,24
2024-02-13,W001,P00143,739,95,19
2024-05-16,W001,P00247,289,91,80
2024-09-29,W001,P00146,249,46,40
2024-06-16,W001,P00297,295,25,73
2024-10-11,W001,P00418,55,33,40
2024-07-13,W001,P00142,75,31,69
2026-01-18,W001,P00046,114,92,47
2025-06-07,W001,P00347,92,60,47
2025-05-02,W001,P00368,662,117,71
2024-05-11,W001,P00106,744,116,84
2025-01-10,W001,P00233,323,15,93
2024-01-04,W001,P00043,84,70,50
2024-07-04,W001,P00169,378,61,98
2024-12-05,W001,P00167,258,92,90
2024-11-22,W001,P00005,555,118,37
2024-11-16,W001,P00513,85,56,94
2024-06-12,W001,P00067,244,111,84
2024-09-06,W001,P00507,754,58,88
2025-09-02,W001,P00560,488,89,70
2025-01-13,W001,P00339,449,48,102
2024-06-17,W001,P00394,649,112,60
2025-03-17,W001,P00469,605,3,60
2024-07-05,W001,P00226,130,30,10
2025-10-15,W001,P00225,760,21,108
2024-12-21,W001,P00249,462,41,34
2025-03-05,W001,P00203,678,44,102
2025-05-22,W001,P00283,204,103,109
2025-10-15,W001,P00279,110,4,48
2025-02-01,W001,P00276,150,98,51
2024-01-24,W001,P00017,718,104,119
2024-07-19,W001,P00492,73,61,63
2024-07-02,W001,P00370,786,11,35
2024-05-20,W001,P00224,97,50,107
2025-12-15,W001,P00340,304,38,108
2024-09-14,W001,P00089,460,83,64
2024-12-28,W001,P00484,349,30,41
2025-10-05,W001,P00582,417,84,78
2024-04-28,W001,P00338,19,2,22
2025-03-28,W001,P00454,263,24,23
2024-07-19,W001,P00383,467,78,44
2024-04-06,W001,P00393,73,64,40
2024-10-21,W001,P00525,466,19,15
2024-01-20,W001,P00314,761,51,99
2024-05-22,W001,P00144,91,53,65
2024-12-17,W001,P00500,505,85,84
2025-01-22,W001,P00412,10,7,111
2024-03-24,W001,P00583,182,95,64
2024-12-09,W001,P00434,799,31,93
2024-02-07,W001,P00291,471,118,27
2026-02-03,W001,P00269,218,95,93
2024-03-24,W001,P00521,636,47,99
2025-10-01,W001,P00401,672,91,62
2025-08-24,W001,P00558,708,13,14
2024-11-24,W001,P00059,701,114,16
2026-02-02,W001,P00588,329,76,14
2025-09-21,W001,P00016,70,61,32
2025-04-02,W001,P00501,136,99,56
2024-12-28,W001,P00025,333,43,52
2025-04-12,W001,P00027,21,15,104
2024-05-17,W001,P00377,365,64,114
2025-01-18,W001,P00565,531,30,56
2026-02-01,W001,P00540,649,61,41
2024-04-13,W001,P00122,56,3,61
2024-06-29,W001,P00204,702,57,107
2024-09-21,W001,P00429,792,69,107
2025-02-25,W001,P00171,45,1,35
2024-10-10,W001,P00400,523,97,47
2025-12-05,W001,P00159,460,113,77
2024-10-29,W001,P00421,396,107,54
2024-02-29,W001,P00414,490,56,71
2025-06-08,W001,P00212,268,50,62
2024-03-28,W001,P00197,399,101,23
2025-01-16,W001,P00162,148,42,103
2025-05-23,W001,P00455,515,105,67
2024-06-17,W001,P00480,261,92,93
2025-10-02,W001,P00223,359,107,76
2024-06-29,W001,P00466,695,103,43
2025-02-24,W001,P00286,349,57,108
2025-11-24,W001,P00153,744,31,70
2025-10-26,W001,P00440,91,73,41
2025-02-05,W001,P00427,102,73,109
2025-09-29,W001,P00181,189,1,109
2025-01-12,W001,P00172,514,109,101
2025-09-29,W001,P00228,528,27,28
2025-02-17,W001,P00011,518,50,32
2025-05-04,W001,P00008,594,13,72
2025-11-23,W001,P00413,671,84,74
2024-03-24,W001,P00357,371,3,32
2025-01-27,W001,P00355,525,38,88
2026-02-02,W001,P00491,179,43,46
2025-07-01,W001,P00009,81,59,77
2025-10-11,W001,P00086,50,11,111
2024-10-18,W001,P00331,353,48,49
2025-10-31,W001,P00004,533,110,24
2025-12-17,W001,P00243,530,104,103
2024-07-23,W001,P00085,351,15,35
2025-09-16,W001,P00246,731,34,92
2025-01-10,W001,P00092,484,43,115
2025-09-03,W001,P00326,290,88,16
2025-02-18,W001,P00023,440,66,82
2025-12-21,W001,P00553,296,71,98
2024-01-16,W001,P00566,760,16,91
2025-07-21,W001,P00282,5,4,12
2025-03-19,W001,P00215,619,83,88
2025-12-27,W001,P00537,729,22,86
2024-06-09,W001,P00514,168,64,104
2026-01-26,W001,P00245,695,94,36
2024-08-31,W001,P00473,366,24,20
2025-07-28,W001,P00547,6,6,19
2024-12-27,W001,P00373,389,77,21
2025-08-18,W001,P00389,382,51,93
2025-01-18,W001,P00112,319,17,42
2024-06-28,W001,P00488,249,60,83
2025-06-20,W001,P00316,615,118,110
2025-01-06,W001,P00428,539,97,98
2025-01-04,W001,P00478,292,90,25
2025-02-28,W001,P00407,365,47,80
2026-01-05,W001,P00135,81,19,55
2025-04-23,W001,P00532,644,23,53
2026-01-28,W001,P00147,648,93,39
2024-08-12,W001,P00597,163,22,42
2026-02-27,W001,P00497,304,84,56
2026-01-28,W001,P00552,695,29,45
2025-01-04,W001,P00149,407,70,17
2024-04-14,W001,P00422,21,18,88
2024-09-05,W001,P00047,38,30,85
2025-06-01,W001,P00511,267,79,16
2025-08-26,W001,P00120,3,3,24
2025-09-27,W001,P00239,739,2,28
2025-05-03,W001,P00409,158,79,63
2025-12-19,W001,P00526,235,8,31
2025-12-21,W001,P00138,366,27,10
2025-10-13,W001,P00227,145,71,56
2026-02-28,W001,P00166,14,3,21
2025-08-20,W001,P00598,325,113,52
2024-11-01,W001,P00387,394,51,95
2024-12-12,W001,P00392,565,115,97
2025-01-17,W001,P00081,749,38,90
2026-01-25,W001,P00593,655,73,73
2025-11-13,W001,P00012,697,32,94
2024-12-30,W001,P00020,325,79,118
2024-08-28,W001,P00505,790,41,72
2024-11-16,W001,P00148,286,18,114
2024-10-24,W001,P00189,291,111,87
2024-03-12,W001,P00186,562,65,114
2025-06-10,W001,P00520,138,119,61
2025-09-17,W001,P00292,598,84,64
2026-01-09,W001,P00300,260,33,74
2024-10-29,W001,P00563,333,70,14
2025-06-26,W001,P00595,148,17,42
2024-12-14,W001,P00091,142,15,31
2024-06-04,W001,P00435,338,35,61
2025-04-05,W001,P00522,485,27,22
2025-04-13,W001,P00097,795,33,58
2024-03-12,W001,P00496,75,35,44
2025-09-15,W001,P00214,734,109,95
2024-02-01,W001,P00439,290,87,96
2024-12-11,W001,P00361,103,63,67
2025-01-27,W001,P00482,25,23,66
2025-03-07,W001,P00290,674,23,71
2024-01-29,W001,P00218,368,6,88
2025-06-20,W001,P00222,625,84,69
2024-02-21,W001,P00479,454,65,11
2025-09-14,W001,P00271,370,33,44
2025-04-10,W001,P00575,133,50,66
2025-07-07,W001,P00358,784,21,109
2025-10-13,W001,P00164,165,117,10
2024-10-09,W001,P00564,369,55,77
2025-07-10,W001,P00266,205,43,113
2025-06-28,W002,P00428,550,1,56
2025-09-04,W002,P00185,413,91,18
2024-09-06,W002,P00450,93,93,105
2025-11-27,W002,P00163,11,7,11
2025-09-27,W002,P00394,757,61,75
2025-04-25,W002,P00111,794,45,89
2025-12-23,W002,P00284,700,93,113
2024-07-07,W002,P00098,590,6,55
2025-10-10,W002,P00095,741,34,38
2025-04-17,W002,P00024,592,5,108
2026-02-15,W002,P00437,211,76,14
2024-02-02,W002,P00562,708,56,65
2025-06-16,W002,P00206,657,62,84
2024-01-31,W002,P00458,470,100,98
2024-05-24,W002,P00244,213,36,96
2024-01-21,W002,P00388,621,18,32
2024-04-23,W002,P00548,780,71,117
2025-08-06,W002,P00360,745,37,66
2025-01-10,W002,P00260,310,98,79
2025-01-23,W002,P00288,102,94,23
2024-10-25,W002,P00307,176,91,71
2025-06-12,W002,P00527,90,21,84
2024-01-22,W002,P00397,747,51,72
2024-03-21,W002,P00418,461,44,76
2025-08-29,W002,P00393,293,98,95
2026-02-23,W002,P00076,607,109,60
2024-05-31,W002,P00145,296,54,79
2024-08-09,W002,P00066,143,22,106
2025-03-06,W002,P00122,566,91,100
2025-08-08,W002,P00075,598,2,110
2025-05-26,W002,P00353,429,34,61
2024-04-23,W002,P00046,171,66,12
2025-12-28,W002,P00050,8,5,47
2025-10-22,W002,P00280,691,52,95
2024-10-04,W002,P00305,691,72,19
2024-07-15,W002,P00459,775,96,85
2026-01-13,W002,P00011,18,6,35
2024-07-18,W002,P00363,355,14,58
2024-05-06,W002,P00162,720,112,73
2025-09-22,W002,P00157,175,114,88
2025-08-17,W002,P00196,116,76,11
2024-02-11,W002,P00266,36,2,113
2025-11-10,W002,P00581,703,60,63
2024-02-23,W002,P00571,211,9,53
2026-01-20,W002,P00517,38,18,70
2025-12-07,W002,P00523,482,71,20
2025-03-21,W002,P00461,784,8,71
2025-10-19,W002,P00333,527,26,112
2025-10-27,W002,P00065,304,93,110
2025-10-27,W002,P00519,368,52,77
2026-02-18,W002,P00452,454,25,76
2025-02-12,W002,P00413,576,28,85
2025-12-29,W002,P00113,35,5,40
2024-11-08,W002,P00188,546,7,52
2025-08-31,W002,P00020,378,80,74
2025-11-30,W002,P00167,419,21,107
2024-12-06,W002,P00422,451,57,76
2024-05-10,W002,P00557,395,23,102
2026-02-28,W002,P00432,276,3,118
2024-07-17,W002,P00272,681,83,80
2024-12-28,W002,P00387,344,114,89
2024-02-05,W002,P00591,537,103,112
2025-09-15,W002,P00568,640,113,10
2024-08-30,W002,P00019,448,116,10
2026-01-24,W002,P00165,570,5,28
2025-05-18,W002,P00369,591,34,80
2025-06-08,W002,P00207,39,15,75
2025-12-21,W002,P00014,323,19,115
2024-07-13,W002,P00535,95,22,71
2026-01-26,W002,P00262,500,48,99
2025-01-23,W002,P00240,97,20,33
2025-06-13,W002,P00472,92,50,83
2024-03-16,W002,P00556,627,63,67
2025-05-10,W002,P00037,515,24,99
2024-02-28,W002,P00540,40,35,114
2024-04-27,W002,P00251,582,92,49
2025-06-10,W002,P00596,237,119,58
2024-04-29,W002,P00130,664,83,97
2025-02-27,W002,P00273,215,57,83
2025-06-25,W002,P00197,304,1,31
2024-11-15,W002,P00404,509,71,58
2024-11-24,W002,P00547,784,83,35
2024-06-29,W002,P00069,67,34,90
2024-01-01,W002,P00294,612,87,63
2024-09-30,W002,P00342,733,4,98
2024-10-11,W002,P00578,779,111,64
2025-12-25,W002,P00083,104,51,96
2025-08-28,W002,P00126,269,22,83
2025-10-25,W002,P00243,760,105,15
2025-04-30,W002,P00160,200,79,66
2025-09-01,W002,P00198,787,96,84
2026-02-27,W002,P00514,514,22,35
2024-12-06,W002,P00515,799,45,30
2024-12-03,W002,P00175,229,36,27
2025-06-18,W002,P00103,475,49,115
2024-09-23,W002,P00186,736,110,102
2024-02-16,W002,P00177,134,4,54
2024-11-20,W002,P00079,571,50,26
2025-11-17,W002,P00539,510,55,57
2024-08-29,W002,P00508,31,21,97
2024-01-08,W002,P00172,184,20,22
2025-12-23,W002,P00308,85,24,11
2025-12-23,W002,P00504,112,5,102
2025-01-26,W002,P00521,228,0,41
2025-08-16,W002,P00525,215,27,73
2024-07-14,W002,P00224,628,4,35
2025-05-14,W002,P00279,295,33,33
2025-09-15,W002,P00436,20,19,83
2026-02-10,W002,P00473,9,6,70
2025-03-07,W002,P00506,616,29,111
2025-12-26,W002,P00159,678,40,20
2025-08-24,W002,P00589,382,17,106
2024-01-11,W002,P00411,795,35,55
2025-08-25,W002,P00246,535,107,34
2025-03-28,W002,P00446,498,17,87
2025-03-04,W002,P00328,584,39,32
2024-09-19,W002,P00512,325,6,68
2025-04-28,W002,P00426,94,45,48
2024-08-26,W002,P00043,23,6,70
2024-07-08,W002,P00114,69,69,108
2025-03-15,W002,P00522,301,94,95
2025-07-02,W002,P00599,300,113,63
2024-02-04,W002,P00482,323,109,115
2024-12-01,W002,P00257,706,106,15
2024-11-29,W002,P00297,68,61,109
2024-12-22,W002,P00030,111,83,69
2024-10-25,W002,P00216,675,65,88
2024-01-20,W002,P00416,160,18,66
2025-08-02,W002,P00435,444,18,99
2025-01-25,W002,P00101,271,109,23
2025-12-09,W002,P00558,501,8,49
2025-12-23,W002,P00430,145,43,44
2024-11-24,W002,P00483,750,75,76
2025-01-11,W002,P00147,617,53,11
2025-09-22,W002,P00310,631,109,112
2026-01-09,W002,P00010,31,27,78
2024-02-10,W002,P00228,325,103,23
2025-09-23,W002,P00552,620,25,35
2024-01-20,W002,P00053,193,69,95
2025-11-12,W002,P00152,54,31,99
2024-09-23,W002,P00389,632,33,76
2024-04-10,W002,P00109,414,34,10
2024-11-02,W002,P00009,447,108,73
2025-11-15,W002,P00278,674,118,91
2026-02-09,W002,P00097,478,4,13
2024-03-11,W002,P00099,453,109,13
2025-01-11,W002,P00239,191,6,38
2025-05-20,W002,P00086,472,108,81
2025-05-03,W002,P00176,667,60,13
2025-10-04,W002,P00513,429,10,46
2024-08-30,W002,P00441,142,27,67
2025-10-01,W002,P00265,521,0,92
2024-10-22,W002,P00096,791,47,11
2025-08-22,W002,P00161,524,28,117
2024-02-19,W002,P00302,475,60,76
2024-07-11,W002,P00143,513,89,26
2026-02-13,W002,P00248,653,57,31
2024-03-14,W002,P00039,410,39,35
2024-09-29,W002,P00115,522,24,12
2024-01-27,W002,P00156,188,18,66
2025-02-14,W002,P00189,384,94,70
2024-05-09,W002,P00128,603,23,58
2025-05-29,W002,P00004,88,7,40
2025-03-27,W002,P00150,537,119,108
2024-10-14,W002,P00544,383,52,101
2024-01-01,W002,P00545,510,92,18
2025-10-16,W002,P00242,272,6,16
2026-03-01,W002,P00166,505,89,110
2024-06-02,W002,P00258,37,12,18
2024-05-24,W002,P00045,211,33,89
2024-01-12,W002,P00579,400,85,25
2026-01-08,W002,P00448,244,10,43
2024-03-28,W002,P00164,605,74,50
2024-11-03,W002,P00187,218,113,116
2024-10-14,W002,P00221,117,38,70
2025-12-09,W002,P00194,632,48,27
2024-05-03,W002,P00256,172,7,73
2025-10-25,W002,P00271,253,45,88
2025-11-11,W002,P00085,361,32,88
2025-06-22,W002,P00016,396,70,87
2025-11-17,W002,P00468,359,47,72
2025-06-17,W002,P00583,218,12,62
2025-06-07,W002,P00406,152,73,74
2025-01-14,W002,P00252,560,64,51
2024-11-17,W002,P00412,282,117,46
2025-08-29,W002,P00492,624,115,111
2025-06-21,W002,P00409,731,100,30
2025-03-22,W002,P00026,718,34,50
2024-04-28,W002,P00311,785,5,11
2024-05-17,W002,P00049,744,74,28
2025-01-25,W002,P00068,267,55,48
2024-05-04,W002,P00110,156,36,18
2024-06-24,W002,P00456,634,22,80
2024-04-06,W002,P00289,79,28,79
2025-04-13,W002,P00575,698,115,18
2024-03-27,W002,P00296,637,108,30
2024-09-01,W002,P00127,590,62,88
2025-04-01,W002,P00433,619,20,27
2024-10-17,W002,P00028,6,2,54
2024-10-29,W002,P00183,11,9,67
2025-02-01,W002,P00326,554,112,56
2024-02-07,W002,P00445,39,21,51
2024-10-28,W002,P00573,599,100,67
2024-09-15,W002,P00491,130,51,104
2024-09-08,W002,P00005,17,3,66
2025-09-18,W002,P00182,87,75,116
2024-07-24,W002,P00105,382,4,69
2025-12-12,W002,P00555,444,104,39
2024-09-23,W002,P00339,20,2,40
2024-01-05,W002,P00347,360,27,76
2024-07-13,W002,P00285,86,39,47
2024-06-22,W002,P00042,179,94,28
2025-11-05,W002,P00567,733,27,20
2024-12-22,W002,P00344,759,114,31
2025-11-08,W002,P00509,210,39,39
2025-01-17,W002,P00385,357,91,10
2025-12-01,W002,P00516,490,50,44
2024-08-27,W002,P00537,639,80,88
2024-09-24,W002,P00241,64,35,51
2026-01-25,W002,P00027,207,31,95
2024-07-24,W002,P00577,568,34,14
2024-09-30,W002,P00587,198,4,10
2024-10-23,W002,P00321,279,42,101
2025-01-24,W002,P00383,602,15,51
2025-09-07,W002,P00107,130,50,108
2025-02-11,W002,P00269,571,54,90
2024-01-06,W002,P00306,301,65,73
2026-01-26,W002,P00419,710,13,118
2024-04-30,W002,P00410,758,42,54
2025-05-28,W002,P00327,182,26,67
2024-04-20,W002,P00364,137,72,38
2024-02-13,W002,P00089,758,116,40
2025-05-15,W002,P00023,545,66,120
2026-01-24,W002,P00460,127,3,118
2025-09-01,W002,P00496,537,98,38
2025-08-19,W002,P00566,10,3,108
2024-04-21,W002,P00245,648,81,49
2024-04-21,W002,P00129,610,91,48
2024-06-14,W002,P00084,92,14,47
2025-07-16,W002,P00040,740,60,27
2024-03-22,W002,P00021,647,61,81
2024-12-07,W002,P00264,512,80,50
2025-06-18,W002,P00017,179,102,17
2025-03-23,W002,P00484,574,93,49
2025-01-04,W002,P00345,520,53,61
2025-10-11,W002,P00594,400,114,36
2025-08-07,W002,P00494,521,86,92
2025-08-09,W002,P00215,650,56,72
2024-03-09,W002,P00553,142,64,63
2025-06-26,W002,P00121,41,1,84
2024-08-01,W003,P00452,323,57,94
2024-08-30,W003,P00088,547,95,42
2024-02-16,W003,P00497,686,9,93
2025-06-29,W003,P00339,567,109,33
2024-06-23,W003,P00246,657,1,28
2024-12-20,W003,P00474,702,47,72
2025-02-04,W003,P00154,444,27,75
2026-01-26,W003,P00215,558,99,36
2024-08-16,W003,P00367,703,38,89
2024-09-30,W003,P00115,481,109,19
2025-01-19,W003,P00572,799,62,95
2024-03-12,W003,P00504,336,36,86
2024-12-07,W003,P00029,109,89,89
2024-06-05,W003,P00025,708,64,32
2024-11-27,W003,P00469,778,98,55
2024-04-16,W003,P00276,53,7,61
2024-11-08,W003,P00584,662,107,59
2025-01-14,W003,P00060,628,103,60
2024-04-12,W003,P00562,670,49,63
2025-02-07,W003,P00531,729,37,42
2026-02-17,W003,P00255,349,86,85
2025-06-10,W003,P00204,149,43,45
2024-10-20,W003,P00387,283,37,42
2025-07-04,W003,P00585,602,74,11
2024-09-15,W003,P00130,794,76,90
2024-09-17,W003,P00417,476,34,30
2024-06-21,W003,P00185,41,22,49
2024-04-19,W003,P00045,13,9,60
2025-03-04,W003,P00503,253,32,18
2025-06-24,W003,P00582,736,91,100
2024-07-23,W003,P00160,641,51,108
2024-04-23,W003,P00205,765,35,114
2025-10-19,W003,P00560,31,31,43
2025-10-12,W003,P00057,460,23,75
2024-04-01,W003,P00523,306,30,15
2025-06-16,W003,P00145,747,63,48
2024-04-16,W003,P00466,772,88,69
2024-05-09,W003,P00380,356,64,94
2024-02-28,W003,P00599,581,85,85
2025-01-25,W003,P00288,63,25,86
2024-10-20,W003,P00187,174,11,36
2025-04-11,W003,P00322,271,7,71
2024-02-15,W003,P00267,156,56,12
2024-05-10,W003,P00295,409,77,14
2025-07-15,W003,P00141,80,67,87
2025-04-21,W003,P00143,120,40,63
2025-12-01,W003,P00358,21,17,65
2025-08-19,W003,P00047,183,40,35
2024-09-28,W003,P00218,429,67,20
2025-04-24,W003,P00092,166,118,112
2024-03-31,W003,P00566,211,38,23
2024-05-06,W003,P00406,300,32,62
2024-05-07,W003,P00501,189,1,49
2024-03-05,W003,P00007,500,84,40
2025-11-15,W003,P00061,797,76,70
2025-08-01,W003,P00233,79,21,61
2025-11-05,W003,P00227,103,86,112
2025-07-01,W003,P00241,371,73,91
2024-11-29,W003,P00595,227,96,58
2024-01-01,W003,P00146,233,74,17
2025-10-24,W003,P00307,457,105,115
2024-12-07,W003,P00075,109,67,61
2025-02-01,W003,P00481,555,63,61
2024-08-04,W003,P00549,677,84,66
2024-12-19,W003,P00571,640,63,89
2025-03-10,W003,P00269,624,3,86
2024-09-11,W003,P00436,99,25,76
2024-07-26,W003,P00221,724,103,117
2024-09-01,W003,P00256,58,54,79
2024-02-26,W003,P00313,701,120,73
2024-02-26,W003,P00274,261,21,107
2024-05-18,W003,P00450,402,92,64
2024-08-04,W003,P00348,22,1,112
2024-02-11,W003,P00533,204,97,80
2024-07-09,W003,P00312,617,0,115
2024-06-10,W003,P00174,125,99,39
2025-08-10,W003,P00002,691,106,73
2025-02-20,W003,P00555,123,24,29
2025-10-30,W003,P00097,93,82,99
2025-06-07,W003,P00285,73,20,68
2024-11-03,W003,P00152,295,45,99
2025-02-03,W003,P00114,333,60,79
2025-11-22,W003,P00153,532,88,39
2024-04-05,W003,P00400,696,20,10
2025-09-05,W003,P00270,338,14,99
2026-02-28,W003,P00203,385,97,21
2025-05-21,W003,P00040,438,70,94
2026-01-24,W003,P00589,22,22,84
2024-05-22,W003,P00330,452,1,36
2025-04-10,W003,P00430,218,49,102
2024-09-27,W003,P00112,333,37,64
2025-05-27,W003,P00554,592,22,33
2025-12-05,W003,P00569,114,60,11
2024-12-24,W003,P00374,477,33,103
2026-02-02,W003,P00245,773,56,111
2024-05-12,W003,P00290,137,71,45
2025-02-14,W003,P00155,272,59,115
2025-02-05,W003,P00148,536,43,94
2024-10-28,W003,P00390,502,75,53
2024-09-17,W003,P00311,261,29,88
2024-01-28,W003,P00454,300,34,81
2025-11-18,W003,P00545,144,29,14
2024-02-05,W003,P00368,377,60,79
2025-05-06,W003,P00248,1,1,90
2024-02-27,W003,P00167,580,29,54
2025-05-07,W003,P00559,248,34,93
2025-01-20,W003,P00338,133,6,85
2025-10-31,W003,P00431,48,34,29
2025-01-27,W003,P00499,793,48,30
2026-01-28,W003,P00138,451,18,40
2025-11-03,W003,P00451,631,114,24
2024-01-08,W003,P00404,220,71,61
2025-02-05,W003,P00405,17,1,74
2025-07-24,W003,P00345,432,84,105
2026-02-05,W003,P00125,176,27,73
2024-06-24,W003,P00072,320,114,35
2025-11-13,W003,P00003,443,114,31
2024-04-30,W003,P00524,685,39,22
2024-01-01,W003,P00467,587,78,58
2025-01-09,W003,P00200,76,19,114
2025-03-14,W003,P00479,515,115,81
2024-01-23,W003,P00461,218,37,33
2026-01-17,W003,P00516,191,13,23
2024-05-24,W003,P00583,64,64,77
2024-02-24,W003,P00123,254,119,41
2024-11-28,W003,P00455,445,57,97
2025-10-25,W003,P00243,247,110,75
2026-02-25,W003,P00066,622,117,55
2024-02-15,W003,P00122,471,43,96
2024-06-06,W003,P00224,769,116,78
2026-01-25,W003,P00239,800,19,72
2026-02-10,W003,P00179,761,92,43
2024-08-09,W003,P00156,323,80,117
2025-03-13,W003,P00180,748,116,22
2024-10-23,W003,P00314,334,1,108
2024-07-17,W003,P00162,419,63,87
2025-07-05,W003,P00170,757,15,52
2025-04-18,W003,P00568,576,71,81
2024-10-16,W003,P00399,85,43,87
2024-10-21,W003,P00034,786,17,19
2024-10-03,W003,P00486,572,100,111
2024-05-30,W003,P00137,376,70,88
2025-08-25,W003,P00477,743,63,119
2025-01-28,W003,P00576,649,70,81
2024-04-27,W003,P00056,196,84,88
2024-08-18,W003,P00064,340,93,96
2024-09-12,W003,P00333,5,3,98
2025-08-28,W003,P00392,299,67,69
2025-12-31,W003,P00065,325,22,40
2024-08-19,W003,P00262,325,101,77
2024-11-29,W003,P00171,418,60,63
2024-03-22,W003,P00433,224,100,33
2025-12-06,W003,P00482,216,101,84
2025-12-31,W003,P00521,446,77,22
2025-03-28,W003,P00541,526,58,53
2025-12-13,W003,P00334,7,5,26
2025-04-22,W003,P00335,662,93,91
2024-12-23,W003,P00052,713,114,38
2024-08-08,W003,P00362,672,67,10
2025-09-19,W003,P00435,728,109,100
2025-07-07,W003,P00013,195,111,18
2024-11-30,W003,P00164,612,23,98
2024-03-19,W003,P00213,605,59,61
2025-10-17,W003,P00579,776,8,12
2024-01-30,W003,P00432,360,19,83
2024-11-13,W003,P00189,412,39,55
2025-09-13,W003,P00449,493,81,30
2025-05-03,W003,P00305,504,92,48
2024-08-31,W003,P00147,559,94,14
2025-05-23,W003,P00460,195,24,42
2025-05-26,W003,P00017,413,68,108
2024-09-17,W003,P00318,573,58,48
2025-06-25,W003,P00540,149,3,59
2025-08-05,W003,P00465,128,58,23
2024-09-13,W003,P00089,374,99,64
2025-10-28,W003,P00403,723,51,86
2025-05-17,W003,P00216,362,85,51
2024-10-20,W003,P00073,443,107,104
2025-08-08,W003,P00373,302,1,118
2026-02-19,W003,P00168,565,36,39
2024-11-18,W003,P00237,391,7,26
2024-04-24,W003,P00543,341,24,28
2025-02-04,W003,P00194,236,99,49
2024-09-11,W003,P00528,604,53,10
2024-08-22,W003,P00379,538,105,37
2026-02-08,W003,P00206,254,36,19
2025-12-16,W003,P00577,111,62,74
2024-04-15,W003,P00087,54,17,30
2025-09-24,W003,P00360,29,14,83
2024-10-30,W003,P00518,239,12,103
2025-01-11,W003,P00222,421,54,81
2024-12-06,W003,P00563,275,39,70
2024-08-12,W003,P00077,354,109,48
2024-09-19,W003,P00033,233,73,62
2025-02-13,W003,P00253,334,74,83
2025-04-05,W003,P00519,274,49,120
