opportunity_id,product_id,quantity,unit_price,line_total
O000061,P00407,35,480.45,16815.75
O000061,P00532,43,36.05,1550.15
O000061,P00029,16,71.45,1143.2
O000062,P00244,31,394.3,12223.3
O000062,P00220,6,167.89,1007.34
O000062,P00033,2,172.3,344.6
O000062,P00356,32,232.0,7424.0
O000062,P00066,4,86.36,345.44
O000062,P00552,17,274.55,4667.35
O000063,P00157,49,116.53,5709.97
O000063,P00512,23,257.14,5914.22
O000063,P00396,27,80.72,2179.44
O000063,P00368,33,191.44,6317.52
O000063,P00280,35,221.78,7762.3
O000064,P00587,11,10.31,113.41
O000064,P00102,46,142.11,6537.06
O000065,P00034,33,203.27,6707.91
O000065,P00210,46,289.85,13333.1
O000065,P00317,12,80.62,967.44
O000065,P00193,37,162.12,5998.44
O000066,P00399,49,514.6,25215.4
O000067,P00085,27,453.19,12236.13
O000067,P00135,32,96.05,3073.6
O000067,P00506,29,47.1,1365.9
O000068,P00299,23,55.75,1282.25
O000068,P00438,11,577.57,6353.27
O000068,P00477,9,58.12,523.08
O000068,P00183,11,397.96,4377.56
O000069,P00135,21,100.81,2117.01
O000070,P00226,30,11.19,335.7
O000071,P00212,22,31.95,702.9
O000071,P00040,4,257.52,1030.08
O000071,P00533,34,153.72,5226.48
O000071,P00504,29,467.83,13567.07
O000071,P00583,16,26.02,416.32
O000071,P00234,36,388.54,13987.44
O000072,P00222,48,158.34,7600.32
O000072,P00097,10,183.09,1830.9
O000072,P00196,35,573.82,20083.7
O000072,P00396,10,79.13,791.3
O000073,P00098,26,294.65,7660.9
O000073,P00208,35,496.8,17388.0
O000073,P00135,12,96.25,1155.0
O000073,P00598,14,463.32,6486.48
O000073,P00473,42,391.73,16452.66
O000074,P00432,24,488.39,11721.36
O000074,P00520,4,233.07,932.28
O000074,P00232,45,229.64,10333.8
O000074,P00551,50,229.16,11458.0
O000075,P00591,35,364.53,12758.55
O000075,P00303,21,218.69,4592.49
O000075,P00536,48,167.46,8038.08
O000075,P00173,20,258.14,5162.8
O000075,P00563,2,9.89,19.78
O000075,P00087,45,277.59,12491.55
O000076,P00008,37,412.91,15277.67
O000077,P00533,32,145.42,4653.44
O000078,P00287,13,502.01,6526.13
O000078,P00185,39,306.95,11971.05
O000079,P00448,44,67.75,2981.0
O000079,P00461,3,91.29,273.87
O000079,P00048,21,114.15,2397.15
O000079,P00419,5,526.95,2634.75
O000079,P00451,32,88.14,2820.48
O000080,P00556,47,584.52,27472.44
O000080,P00140,28,122.89,3440.92
O000080,P00049,4,83.2,332.8
O000080,P00325,9,52.88,475.92
O000080,P00543,1,196.93,196.93
O000081,P00535,30,369.26,11077.8
O000082,P00364,25,526.46,13161.5
O000082,P00474,35,270.36,9462.6
O000082,P00561,18,53.67,966.06
O000082,P00138,43,29.98,1289.14
O000083,P00409,6,445.09,2670.54
O000083,P00554,13,248.77,3234.01
O000083,P00122,8,85.68,685.44
O000083,P00003,43,362.21,15575.03
O000083,P00543,7,219.81,1538.67
O000083,P00396,30,87.21,2616.3
O000084,P00376,14,155.01,2170.14
O000084,P00303,45,255.43,11494.35
O000085,P00083,26,397.58,10337.08
O000086,P00102,6,131.67,790.02
O000087,P00473,9,346.0,3114.0
O000088,P00150,14,211.62,2962.68
O000088,P00155,6,142.76,856.56
O000088,P00049,24,74.49,1787.76
O000088,P00103,31,182.08,5644.48
O000088,P00510,45,269.75,12138.75
O000089,P00278,49,162.57,7965.93
O000089,P00488,36,84.13,3028.68
O000089,P00126,31,271.44,8414.64
O000089,P00290,34,577.08,19620.72
O000089,P00068,11,419.08,4609.88
O000090,P00484,15,211.37,3170.55
O000091,P00500,44,352.17,15495.48
O000091,P00063,30,380.7,11421.0
O000092,P00596,21,537.27,11282.67
O000093,P00398,50,308.54,15427.0
O000094,P00365,2,253.66,507.32
O000094,P00309,10,243.72,2437.2
O000094,P00307,42,241.13,10127.46
O000094,P00157,11,128.81,1416.91
O000094,P00249,6,324.75,1948.5
O000094,P00336,12,75.12,901.44
O000095,P00414,44,328.57,14457.08
O000095,P00096,47,477.16,22426.52
O000096,P00426,14,31.83,445.62
O000096,P00537,30,206.75,6202.5
O000097,P00590,18,195.41,3517.38
O000097,P00284,8,567.46,4539.68
O000097,P00056,45,151.59,6821.55
O000097,P00552,37,297.01,10989.37
O000097,P00071,30,298.92,8967.6
O000097,P00516,11,459.12,5050.32
O000098,P00174,30,100.98,3029.4
O000098,P00493,42,261.19,10969.98
O000098,P00430,39,117.09,4566.51
O000098,P00125,29,296.06,8585.74
O000098,P00218,38,430.6,16362.8
O000099,P00258,32,238.44,7630.08
O000099,P00575,27,149.58,4038.66
O000099,P00407,30,594.15,17824.5
O000099,P00296,47,316.53,14876.91
O000100,P00296,32,274.18,8773.76
O000100,P00451,32,79.41,2541.12
O000100,P00098,36,277.23,9980.28
O000101,P00422,31,303.29,9401.99
O000102,P00466,23,199.2,4581.6
O000102,P00143,12,147.24,1766.88
O000102,P00312,33,517.97,17093.01
O000102,P00432,25,501.26,12531.5
O000102,P00194,45,91.79,4130.55
O000103,P00147,7,69.82,488.74
O000103,P00430,19,118.26,2246.94
O000103,P00516,50,469.28,23464.0
O000103,P00133,17,27.67,470.39
O000103,P00042,16,17.94,287.04
O000104,P00173,19,254.59,4837.21
O000104,P00373,14,12.24,171.36
O000104,P00398,17,322.05,5474.85
O000105,P00513,31,201.83,6256.73
O000105,P00198,40,198.67,7946.8
O000105,P00117,2,96.47,192.94
O000105,P00387,35,122.86,4300.1
O000105,P00294,23,189.25,4352.75
O000106,P00087,43,270.16,11616.88
O000106,P00419,45,415.9,18715.5
O000106,P00286,28,43.23,1210.44
O000106,P00254,48,339.44,16293.12
O000106,P00165,44,171.07,7527.08
O000107,P00225,4,565.99,2263.96
O000107,P00278,15,169.16,2537.4
O000107,P00071,14,320.79,4491.06
O000107,P00240,19,9.0,171.0
O000108,P00332,30,318.25,9547.5
O000108,P00305,20,196.74,3934.8
O000109,P00313,32,43.93,1405.76
O000110,P00223,45,375.95,16917.75
O000110,P00414,22,292.55,6436.1
O000110,P00356,11,200.28,2203.08
O000111,P00206,9,192.0,1728.0
O000111,P00316,2,197.98,395.96
O000111,P00046,48,282.7,13569.6
O000111,P00370,45,57.56,2590.2
O000111,P00300,10,46.6,466.0
O000112,P00453,50,72.73,3636.5
O000112,P00375,6,28.14,168.84
O000112,P00065,42,304.24,12778.08
O000112,P00085,26,460.86,11982.36
O000113,P00493,14,293.11,4103.54
O000114,P00362,7,93.57,654.99
O000114,P00310,44,85.54,3763.76
O000114,P00600,33,453.05,14950.65
O000114,P00495,31,70.69,2191.39
O000114,P00122,35,82.43,2885.05
O000115,P00166,16,346.64,5546.24
O000116,P00409,2,398.58,797.16
O000116,P00446,5,19.0,95.0
O000116,P00098,39,267.76,10442.64
O000117,P00231,46,212.62,9780.52
O000117,P00453,44,63.32,2786.08
O000117,P00205,31,239.9,7436.9
O000117,P00573,40,127.79,5111.6
O000118,P00110,16,243.09,3889.44
O000118,P00271,10,258.37,2583.7
O000118,P00282,10,228.04,2280.4
O000118,P00208,15,423.94,6359.1
O000118,P00391,13,403.08,5240.04
O000119,P00175,50,435.19,21759.5
O000119,P00152,1,117.64,117.64
O000120,P00101,22,107.12,2356.64
O000121,P00169,17,492.96,8380.32
O000122,P00243,30,101.26,3037.8
O000122,P00583,28,30.94,866.32
O000122,P00030,16,518.71,8299.36
O000122,P00161,1,28.88,28.88
O000123,P00363,23,421.99,9705.77
O000123,P00325,13,65.25,848.25
O000123,P00556,44,571.16,25131.04
O000123,P00214,48,327.81,15734.88
O000123,P00047,15,119.77,1796.55
O000124,P00274,46,521.67,23996.82
O000124,P00497,37,279.71,10349.27
O000124,P00370,36,51.04,1837.44
O000124,P00110,16,264.38,4230.08
O000124,P00181,32,221.36,7083.52
O000124,P00304,10,268.65,2686.5
O000125,P00253,12,255.27,3063.24
O000125,P00561,33,52.67,1738.11
O000126,P00245,41,524.4,21500.4
O000126,P00213,40,344.25,13770.0
O000126,P00426,35,36.03,1261.05
O000126,P00587,21,10.7,224.7
O000127,P00322,29,35.96,1042.84
O000127,P00535,11,374.74,4122.14
O000127,P00479,31,437.51,13562.81
O000127,P00443,31,71.26,2209.06
O000128,P00254,5,365.53,1827.65
O000128,P00011,42,301.76,12673.92
O000128,P00475,16,268.4,4294.4
O000128,P00020,38,334.36,12705.68
O000128,P00482,24,77.34,1856.16
O000129,P00420,2,219.67,439.34
O000129,P00534,7,207.64,1453.48
O000130,P00537,41,199.46,8177.86
O000130,P00019,42,241.5,10143.0
O000130,P00243,14,105.98,1483.72
O000130,P00507,25,296.98,7424.5
O000131,P00420,28,210.65,5898.2
O000131,P00352,26,273.35,7107.1
O000132,P00187,29,219.27,6358.83
O000132,P00356,43,199.57,8581.51
O000132,P00189,14,227.63,3186.82
O000132,P00175,29,388.18,11257.22
O000132,P00265,43,166.04,7139.72
O000133,P00088,34,289.75,9851.5
O000134,P00330,16,225.73,3611.68
O000135,P00363,39,427.06,16655.34
O000135,P00517,27,77.07,2080.89
O000135,P00519,27,291.38,7867.26
O000135,P00202,20,511.51,10230.2
O000135,P00427,37,209.65,7757.05
O000136,P00095,13,193.79,2519.27
O000136,P00110,2,233.2,466.4
O000136,P00199,39,377.09,14706.51
O000136,P00547,30,411.81,12354.3
O000136,P00533,2,136.17,272.34
O000137,P00398,39,324.15,12641.85
O000138,P00161,13,30.18,392.34
O000138,P00261,27,377.92,10203.84
O000139,P00083,18,367.0,6606.0
O000139,P00394,29,132.61,3845.69
O000139,P00407,2,525.65,1051.3
O000139,P00102,39,152.64,5952.96
O000139,P00517,49,76.5,3748.5
O000140,P00535,1,382.66,382.66
O000140,P00226,6,8.91,53.46
O000140,P00291,48,110.64,5310.72
O000140,P00267,8,453.46,3627.68
O000141,P00007,45,407.63,18343.35
O000141,P00176,17,213.74,3633.58
O000141,P00352,3,272.15,816.45
O000142,P00253,23,235.79,5423.17
O000142,P00426,45,33.3,1498.5
O000142,P00528,6,365.56,2193.36
O000143,P00208,44,445.47,19600.68
O000143,P00551,14,275.18,3852.52
O000143,P00254,11,366.06,4026.66
O000143,P00065,26,285.11,7412.86
O000144,P00420,34,212.34,7219.56
O000144,P00030,32,550.48,17615.36
O000144,P00064,35,372.51,13037.85
O000144,P00242,45,459.6,20682.0
O000144,P00388,28,273.27,7651.56
O000145,P00046,40,277.0,11080.0
O000145,P00165,26,150.49,3912.74
O000145,P00547,8,397.51,3180.08
O000145,P00352,43,264.83,11387.69
O000145,P00542,8,247.99,1983.92
O000146,P00565,9,51.98,467.82
O000146,P00500,46,317.63,14610.98
O000146,P00010,25,320.44,8011.0
O000146,P00509,42,90.37,3795.54
O000146,P00189,46,222.02,10212.92
O000147,P00228,11,220.41,2424.51
O000148,P00158,25,337.13,8428.25
O000148,P00102,43,144.82,6227.26
O000148,P00167,40,303.92,12156.8
O000149,P00157,29,132.93,3854.97
O000149,P00545,31,236.46,7330.26
O000149,P00479,40,486.2,19448.0
O000149,P00408,27,125.65,3392.55
O000149,P00164,1,484.61,484.61
O000149,P00452,35,70.65,2472.75
O000150,P00335,13,118.46,1539.98
O000151,P00312,32,460.13,14724.16
O000151,P00191,13,180.25,2343.25
O000151,P00553,32,62.42,1997.44
O000152,P00052,22,408.37,8984.14
O000152,P00530,30,141.89,4256.7
O000153,P00196,32,578.74,18519.68
O000153,P00131,41,73.57,3016.37
O000153,P00229,10,144.36,1443.6
O000153,P00345,32,160.29,5129.28
O000153,P00378,29,462.58,13414.82
O000153,P00130,34,24.26,824.84
O000154,P00443,3,71.01,213.03
O000155,P00537,50,195.89,9794.5
O000155,P00260,50,448.7,22435.0
O000155,P00098,5,250.69,1253.45
O000155,P00225,25,585.76,14644.0
O000156,P00069,28,84.34,2361.52
O000156,P00345,45,144.82,6516.9
O000156,P00142,14,647.87,9070.18
O000156,P00303,37,221.0,8177.0
O000157,P00523,44,93.7,4122.8
O000158,P00514,38,105.34,4002.92
O000158,P00034,14,168.97,2365.58
O000158,P00373,32,13.98,447.36
O000158,P00303,32,230.72,7383.04
O000159,P00107,15,31.78,476.7
O000159,P00419,6,523.58,3141.48
O000160,P00174,18,92.76,1669.68
O000161,P00431,16,103.84,1661.44
O000162,P00131,25,72.93,1823.25
O000163,P00125,50,280.45,14022.5
O000164,P00057,48,163.52,7848.96
O000164,P00229,23,121.39,2791.97
O000165,P00560,22,24.11,530.42
O000165,P00319,13,324.01,4212.13
O000166,P00280,27,214.3,5786.1
O000166,P00595,3,62.44,187.32
O000167,P00452,4,81.15,324.6
O000167,P00110,22,268.15,5899.3
O000167,P00358,28,349.89,9796.92
O000168,P00301,37,58.07,2148.59
O000168,P00568,19,149.06,2832.14
O000169,P00577,39,520.0,20280.0
O000170,P00111,6,180.06,1080.36
O000170,P00497,7,281.65,1971.55
O000170,P00305,1,188.65,188.65
O000171,P00533,33,156.03,5148.99
O000172,P00388,32,254.9,8156.8
O000172,P00115,4,437.17,1748.68
O000172,P00126,9,281.7,2535.3
O000172,P00222,32,151.53,4848.96
O000172,P00523,15,93.63,1404.45
O000172,P00543,26,202.1,5254.6
O000173,P00294,36,195.34,7032.24
O000173,P00531,18,80.28,1445.04
O000173,P00277,41,219.48,8998.68
O000173,P00037,18,114.33,2057.94
O000173,P00583,33,27.19,897.27
O000174,P00525,50,253.24,12662.0
O000174,P00547,19,450.81,8565.39
O000174,P00426,15,35.22,528.3
O000175,P00468,11,482.01,5302.11
O000175,P00157,2,115.07,230.14
O000175,P00195,22,316.22,6956.84
O000176,P00175,24,391.04,9384.96
O000176,P00129,22,218.32,4803.04
O000176,P00032,25,337.54,8438.5
O000177,P00293,30,290.84,8725.2
O000178,P00288,44,212.29,9340.76
O000178,P00001,38,239.32,9094.16
O000178,P00070,39,68.12,2656.68
O000178,P00566,33,335.34,11066.22
O000179,P00562,19,42.58,809.02
O000179,P00055,11,49.34,542.74
O000179,P00014,50,422.46,21123.0
O000179,P00018,45,450.26,20261.7
O000179,P00040,6,241.73,1450.38
O000179,P00178,44,538.1,23676.4
O000180,P00468,21,535.54,11246.34
O000180,P00591,10,422.78,4227.8
O000180,P00138,44,33.03,1453.32
O000180,P00436,34,95.22,3237.48
O000180,P00578,21,259.17,5442.57
O000181,P00065,42,342.39,14380.38
O000181,P00197,34,11.14,378.76
O000181,P00243,29,104.47,3029.63
O000181,P00466,27,186.75,5042.25
O000181,P00103,41,219.35,8993.35
O000182,P00496,14,26.3,368.2
O000183,P00412,23,320.23,7365.29
O000183,P00498,41,260.84,10694.44
O000183,P00226,33,10.97,362.01
O000183,P00401,48,186.32,8943.36
O000183,P00360,26,57.87,1504.62
O000184,P00479,22,449.67,9892.74
O000184,P00403,18,273.0,4914.0
O000184,P00145,22,497.88,10953.36
O000185,P00566,27,338.44,9137.88
O000185,P00448,49,66.85,3275.65
O000185,P00079,47,398.7,18738.9
O000185,P00519,17,290.9,4945.3
O000186,P00066,15,99.04,1485.6
O000186,P00595,47,70.57,3316.79
O000186,P00158,32,343.83,11002.56
O000186,P00504,37,469.52,17372.24
O000186,P00238,20,204.93,4098.6
O000187,P00133,48,25.48,1223.04
O000187,P00142,30,642.9,19287.0
O000188,P00230,50,290.66,14533.0
O000189,P00558,21,416.82,8753.22
O000189,P00554,11,255.19,2807.09
O000189,P00134,34,112.87,3837.58
O000189,P00265,28,136.2,3813.6
O000189,P00130,20,26.16,523.2
O000189,P00141,47,85.37,4012.39
O000190,P00427,18,204.47,3680.46
O000191,P00224,11,379.32,4172.52
O000191,P00111,49,162.56,7965.44
O000191,P00374,40,217.4,8696.0
O000191,P00041,10,375.88,3758.8
O000192,P00502,35,50.32,1761.2
O000192,P00431,34,102.08,3470.72
O000192,P00333,10,421.56,4215.6
O000192,P00436,32,104.67,3349.44
O000192,P00450,46,33.01,1518.46
O000193,P00437,10,19.92,199.2
O000193,P00295,5,454.28,2271.4
O000194,P00450,44,36.29,1596.76
O000194,P00149,34,324.76,11041.84
O000194,P00526,9,255.68,2301.12
O000194,P00591,8,446.33,3570.64
O000195,P00183,18,414.8,7466.4
O000195,P00151,39,438.33,17094.87
O000195,P00432,41,497.03,20378.23
O000195,P00168,35,192.85,6749.75
O000195,P00535,35,317.73,11120.55
O000195,P00276,22,307.13,6756.86
O000196,P00531,20,81.15,1623.0
O000196,P00147,5,73.9,369.5
O000197,P00056,6,168.39,1010.34
O000197,P00393,18,205.87,3705.66
O000198,P00232,46,245.74,11304.04
O000198,P00141,31,86.64,2685.84
O000198,P00095,43,226.05,9720.15
O000198,P00036,22,31.68,696.96
O000199,P00001,5,238.1,1190.5
O000200,P00266,45,197.24,8875.8
O000200,P00270,20,107.93,2158.6
O000200,P00580,45,167.95,7557.75
O000200,P00319,8,323.77,2590.16
O000200,P00476,37,130.38,4824.06
O000201,P00325,41,59.54,2441.14
O000201,P00093,25,106.6,2665.0
O000201,P00594,4,208.24,832.96
O000201,P00295,44,429.34,18890.96
O000202,P00231,9,180.58,1625.22
O000203,P00523,17,109.07,1854.19
O000203,P00227,3,254.48,763.44
O000204,P00573,25,120.62,3015.5
O000205,P00529,50,338.02,16901.0
O000205,P00101,27,120.99,3266.73
O000205,P00539,11,91.11,1002.21
O000205,P00391,24,405.93,9742.32
O000205,P00127,33,221.89,7322.37
O000205,P00441,7,321.78,2252.46
O000206,P00074,20,381.85,7637.0
O000206,P00480,36,258.62,9310.32
O000206,P00512,38,239.74,9110.12
O000207,P00418,49,141.56,6936.44
O000207,P00053,44,86.25,3795.0
O000208,P00366,23,97.61,2245.03
O000208,P00305,49,183.05,8969.45
O000208,P00267,1,394.82,394.82
O000209,P00364,27,537.51,14512.77
O000209,P00346,19,296.95,5642.05
O000209,P00131,15,62.73,940.95
O000210,P00024,30,369.86,11095.8
O000210,P00372,41,175.32,7188.12
O000210,P00425,25,134.82,3370.5
O000210,P00124,41,488.54,20030.14
O000210,P00246,25,139.35,3483.75
O000210,P00366,21,97.2,2041.2
O000211,P00438,2,517.08,1034.16
O000211,P00228,35,222.22,7777.7
O000211,P00490,9,146.98,1322.82
O000211,P00085,21,419.63,8812.23
O000212,P00368,14,183.56,2569.84
O000212,P00417,48,395.67,18992.16
O000212,P00273,23,100.96,2322.08
O000212,P00445,33,131.78,4348.74
O000213,P00042,28,18.63,521.64
O000213,P00155,10,150.1,1501.0
O000213,P00414,31,349.71,10841.01
O000214,P00361,1,96.53,96.53
O000214,P00421,21,34.54,725.34
O000214,P00107,43,26.24,1128.32
O000214,P00355,21,111.36,2338.56
O000214,P00368,32,209.27,6696.64
O000214,P00559,16,77.0,1232.0
O000215,P00289,47,232.52,10928.44
O000215,P00427,29,224.16,6500.64
O000215,P00183,20,437.42,8748.4
O000216,P00573,24,145.98,3503.52
O000216,P00437,9,20.57,185.13
O000216,P00447,25,14.75,368.75
O000217,P00081,12,111.39,1336.68
O000218,P00511,14,216.17,3026.38
O000218,P00200,9,476.04,4284.36
O000219,P00592,44,95.14,4186.16
O000219,P00394,30,157.42,4722.6
O000219,P00081,36,102.51,3690.36
O000219,P00032,29,420.96,12207.84
O000219,P00144,18,101.16,1820.88
O000220,P00105,46,55.01,2530.46
O000221,P00469,50,381.54,19077.0
O000221,P00516,40,417.2,16688.0
O000221,P00451,39,89.22,3479.58
O000222,P00199,18,424.81,7646.58
