account_id,account_name,industry,tier,employees,geo_id,created_at,updated_at,is_deleted
A00030,Mathews-Ingram,Healthcare,Tier 3,9656,GEO0144,2024-05-06T14:43:43,2024-10-02T17:46:21,0
A00031,Hall-Anderson,FinTech,Tier 2,169,GEO0612,2025-07-09T12:57:55,2025-07-19T20:09:30,0
A00032,Mcclain-Rhodes,Manufacturing,Tier 3,806,GEO0702,2025-03-11T13:49:56,2025-09-12T23:25:58,0
A00033,Joseph and Sons,Healthcare,Tier 3,1036,GEO0158,2024-04-07T05:56:07,2024-07-23T01:44:52,0
A00034,"Gilbert, May and Washington",Government,Tier 1,1014,GEO0549,2026-02-16T12:51:25,2026-02-23T22:35:43,0
A00035,Schmidt Ltd,Telecom,Tier 1,64,GEO0455,2025-09-20T04:38:09,2026-02-28T17:43:53,0
A00036,Guerrero-Simmons,Logistics,Tier 2,15921,GEO0175,2024-03-09T20:42:20,2025-12-10T05:16:28,0
A00037,Mccall LLC,Government,Tier 3,101,GEO0323,2025-02-13T16:20:20,2025-06-26T17:33:56,0
A00038,Massey-Morton,Logistics,Tier 2,156,GEO0013,2025-09-07T18:50:35,2026-01-06T16:33:34,0
A00039,Snyder Ltd,Energy,Tier 3,1905,GEO0693,2025-09-12T08:54:00,2025-12-22T01:09:50,0
A00040,Knight-Mendez,Logistics,Tier 3,172,GEO0260,2025-08-16T11:43:41,2025-09-18T03:36:33,0
A00041,Johnson-Forbes,Logistics,Tier 1,1828,GEO0432,2025-09-24T15:12:03,2026-02-07T16:56:05,0
A00042,"Cook, Holt and Martin",Logistics,Tier 1,158,GEO0076,2024-08-23T12:51:58,2025-12-12T14:03:22,0
A00043,Parker-Rojas,Telecom,Tier 3,17340,GEO0599,2025-07-31T09:06:45,2026-02-15T04:59:53,0
A00044,Cooley-Frye,Retail,Tier 1,46,GEO0217,2025-04-04T04:44:22,2025-12-26T17:32:50,0
A00045,Rogers-Watts,Logistics,Tier 2,1065,GEO0536,2026-02-28T08:11:08,2026-02-28T04:42:52,0
A00046,"Burke, Higgins and Hoffman",Government,Tier 2,22318,GEO0129,2024-03-31T16:48:22,2024-04-15T04:43:19,0
A00047,Gillespie Inc,Retail,Tier 1,1615,GEO0595,2025-02-21T17:05:56,2025-02-22T15:06:15,0
A00048,Daniels-Taylor,Telecom,Tier 3,158,GEO0758,2025-05-08T00:39:40,2025-10-26T03:45:19,0
A00049,Moore Group,Logistics,Tier 2,58,GEO0739,2025-02-07T01:19:02,2025-06-11T20:11:43,0
A00050,"Martinez, Lewis and Miller",Logistics,Tier 2,87,GEO0033,2024-11-01T02:28:35,2025-04-25T13:45:40,0
A00051,Brown Inc,Energy,Tier 1,342,GEO0099,2024-07-29T11:52:02,2024-10-23T05:38:01,0
A00052,"Ramirez, Stone and Johnson",Retail,Tier 1,1090,GEO0100,2024-09-01T13:29:28,2025-08-20T12:18:25,0
A00053,"King, Beltran and Edwards",Manufacturing,Tier 2,71,GEO0722,2025-09-16T18:18:33,2025-10-10T13:32:53,0
A00054,Ward-Cohen,Retail,Tier 3,2110,GEO0463,2024-07-14T16:30:52,2024-08-17T02:48:19,0
A00055,Roberts Ltd,Telecom,Tier 1,1644,GEO0136,2024-04-25T22:52:14,2026-01-21T04:17:51,0
A00056,Hernandez and Sons,Manufacturing,Tier 1,1612,GEO0198,2025-04-17T05:21:49,2025-05-01T16:51:33,0
A00057,Stephenson Inc,Manufacturing,Tier 1,15000,GEO0345,2024-06-28T13:53:36,2025-09-13T20:46:19,1
A00058,Anderson Ltd,Telecom,Tier 3,135,GEO0121,2026-01-05T15:10:16,2026-03-01T18:45:45,0
A00059,"Cooke, Pierce and Morrow",Healthcare,Tier 3,32,GEO0262,2025-09-10T09:00:59,2025-12-19T02:33:25,0
A00060,Perry PLC,Energy,Tier 2,27963,GEO0228,2025-09-21T04:58:28,2025-11-24T11:01:59,0
A00061,"Riddle, Hanson and Wright",FinTech,Tier 3,101,GEO0522,2026-01-08T12:05:58,2026-02-04T23:37:06,0
A00062,"Palmer, Smith and Nelson",Manufacturing,Tier 3,143,GEO0043,2024-10-10T10:35:59,2024-11-03T05:20:55,0
A00063,"Black, Molina and Clark",Retail,Tier 3,753,GEO0756,2024-06-22T01:19:46,2025-04-22T01:19:09,0
A00064,"Hooper, Chavez and Stewart",Energy,Tier 1,1587,GEO0333,2024-04-21T12:09:27,2024-07-02T12:03:16,0
A00065,Sherman-Simmons,Manufacturing,Tier 1,194,GEO0142,2024-10-31T09:29:57,2025-05-20T12:44:00,0
A00066,Rodriguez-Holland,Manufacturing,Tier 1,33500,GEO0031,2024-12-31T06:29:18,2025-09-01T12:24:50,0
A00067,Brown-Thomas,Manufacturing,Tier 2,130,GEO0664,2025-09-09T09:49:47,2025-10-24T08:10:30,0
A00068,Long-Bishop,Retail,Tier 1,34215,GEO0291,2024-11-15T13:49:58,2025-12-21T03:08:48,0
A00069,Bailey-Weaver,Healthcare,Tier 2,20323,GEO0361,2025-05-31T18:39:55,2026-01-22T14:38:36,0
A00070,"Barber, Guzman and Gray",Retail,Tier 3,1619,GEO0737,2024-10-20T22:35:07,2025-01-18T14:22:25,0
A00071,Berry Group,Logistics,Tier 2,1344,GEO0549,2024-04-02T06:09:20,2025-09-17T12:32:17,0
A00072,"Gonzalez, Brown and Butler",Logistics,Tier 2,50,GEO0144,2024-03-14T12:22:58,2025-04-19T19:12:40,0
A00073,Carter-Le,FinTech,Tier 2,573,GEO0252,2026-02-13T08:07:22,2026-02-17T16:01:46,0
A00074,Shaw-Patel,FinTech,Tier 2,128,GEO0056,2025-05-28T03:26:37,2025-12-06T04:58:01,0
A00075,"Garza, Porter and Odom",Healthcare,Tier 3,71,GEO0478,2026-02-01T15:01:25,2026-02-12T07:43:35,0
A00076,Malone-Price,Telecom,Tier 3,27370,GEO0235,2024-08-01T04:59:12,2025-07-02T09:55:14,0
A00077,Miller Ltd,Retail,Tier 1,239,GEO0621,2025-10-27T17:51:36,2026-02-07T13:14:45,0
A00078,"Sutton, Hogan and Mcdaniel",Government,Tier 1,1873,GEO0465,2024-12-28T01:03:17,2026-02-24T10:50:05,0
A00079,Riley and Sons,FinTech,Tier 3,107,GEO0240,2024-01-23T11:35:32,2024-03-08T18:20:36,0
A00080,Torres-Sanchez,Energy,Tier 1,158,GEO0498,2025-10-18T10:33:40,2026-02-25T07:10:09,0
A00081,"Wilcox, Chapman and Davis",Telecom,Tier 1,426,GEO0483,2025-01-18T17:47:24,2025-08-12T21:52:02,0
A00082,Thomas Inc,Healthcare,Tier 3,35154,GEO0068,2025-07-05T12:58:22,2026-02-17T13:55:42,0
A00083,Rosario Inc,Retail,Tier 3,1330,GEO0432,2025-11-08T08:43:48,2026-01-17T22:12:24,0
A00084,Rios-Huerta,Retail,Tier 2,71,GEO0093,2024-03-29T12:24:48,2026-01-12T09:18:37,0
A00085,"Cohen, Gomez and Clark",Telecom,Tier 3,82,GEO0684,2024-10-16T09:41:09,2025-05-24T14:35:47,0
A00086,"Ramirez, Nguyen and Larsen",Government,Tier 2,121,GEO0472,2024-10-01T10:59:22,2025-11-13T17:41:04,0
A00087,"Hughes, Rivera and Davies",Logistics,Tier 3,829,GEO0413,2025-02-22T14:32:31,2025-09-29T13:01:48,0
A00088,Smith-Miranda,Retail,Tier 2,149,GEO0364,2026-01-19T09:47:40,2026-02-18T07:01:28,0
A00089,Jimenez-Watson,Logistics,Tier 1,34638,GEO0225,2025-07-08T22:44:08,2026-02-24T15:12:00,0
A00090,"Brown, Williams and Thompson",FinTech,Tier 3,824,GEO0019,2025-08-24T04:06:30,2025-11-06T11:41:25,0
A00091,"Jordan, Alvarez and Mitchell",Energy,Tier 1,1067,GEO0611,2025-07-23T09:53:14,2026-01-15T17:01:42,0
A00092,Hicks-Mitchell,Energy,Tier 1,32556,GEO0521,2025-06-19T11:22:47,2026-02-06T06:35:55,0
A00093,Simmons LLC,FinTech,Tier 3,32724,GEO0327,2024-12-16T04:33:05,2025-06-10T13:05:12,0
A00094,"Collins, Nelson and Fields",Healthcare,Tier 3,1954,GEO0515,2024-01-22T12:13:38,2024-04-23T12:45:40,0
A00095,Frank and Sons,Energy,Tier 3,622,GEO0219,2025-09-26T12:33:29,2026-01-02T11:37:58,0
A00096,Robinson and Sons,Telecom,Tier 1,7255,GEO0526,2024-10-29T15:22:14,2025-03-14T01:37:27,0
A00097,"Huynh, Morton and Shepherd",Telecom,Tier 3,432,GEO0015,2025-10-10T10:26:13,2025-12-21T08:03:26,0
A00098,Griffin Group,Retail,Tier 1,160,GEO0089,2024-06-05T13:39:26,2025-08-08T15:10:49,0
A00099,Young-Burgess,Manufacturing,Tier 1,1858,GEO0210,2025-04-10T06:31:12,2025-05-13T18:26:50,0
A00100,"Cooper, Thompson and Oliver",Energy,Tier 1,117,GEO0387,2024-06-27T04:56:02,2024-08-11T13:30:35,0
A00101,"Ramirez, Peterson and Moyer",Telecom,Tier 1,1139,GEO0019,2025-09-21T13:37:05,2025-12-07T23:45:29,0
A00102,Gardner-Taylor,Retail,Tier 1,168,GEO0752,2024-01-16T21:49:37,2026-02-20T08:43:22,0
A00103,Davis and Sons,FinTech,Tier 2,33946,GEO0572,2024-03-21T03:22:02,2024-03-22T13:40:44,0
A00104,"Ortega, Miller and Kelly",Government,Tier 1,150,GEO0170,2025-02-06T01:16:20,2025-08-16T15:44:41,0
A00105,Mcmahon-Shaw,Government,Tier 3,56,GEO0417,2025-02-13T23:03:01,2025-08-29T11:46:43,0
A00106,"Gonzalez, Jensen and Norris",Telecom,Tier 2,436,GEO0117,2025-05-04T04:40:03,2025-06-15T16:42:00,0
A00107,Woods Inc,Healthcare,Tier 1,975,GEO0573,2024-10-19T05:04:59,2025-07-01T00:17:53,0
A00108,Rodriguez-Leblanc,FinTech,Tier 3,3803,GEO0662,2025-03-15T22:57:42,2025-12-25T03:51:31,0
A00109,Mcdonald-Alvarado,Healthcare,Tier 1,30,GEO0225,2025-02-01T04:15:02,2025-06-16T12:44:21,0
A00110,Leach-Ellis,FinTech,Tier 2,164,GEO0417,2024-08-19T23:47:43,2024-11-25T13:42:26,0
A00111,"Warner, Cross and Cortez",Retail,Tier 1,28719,GEO0264,2025-07-12T05:10:48,2025-08-20T01:34:24,0
A00112,"Lopez, Wilkinson and King",Logistics,Tier 1,3370,GEO0503,2024-03-05T22:23:01,2025-10-10T12:53:15,0
A00113,"Meyers, Turner and Petersen",Energy,Tier 2,21310,GEO0343,2025-08-10T17:04:44,2025-10-17T12:00:48,0
A00114,Nguyen-Morrison,Healthcare,Tier 2,188,GEO0169,2026-02-10T23:29:36,2026-02-19T06:19:19,0
A00115,Jones-Hall,Telecom,Tier 2,106,GEO0423,2024-04-25T19:25:11,2024-07-23T07:10:15,0
A00116,Brooks Ltd,Government,Tier 1,1583,GEO0060,2024-07-03T02:02:48,2025-01-17T04:51:06,0
A00117,Mcbride-Bass,Logistics,Tier 3,26804,GEO0552,2024-12-13T15:43:02,2025-12-03T10:42:04,0
A00118,Wilson Inc,Manufacturing,Tier 3,6051,GEO0154,2024-04-27T00:17:21,2026-01-28T16:05:25,0
A00119,Evans Group,Healthcare,Tier 3,31,GEO0631,2025-04-26T08:08:49,2025-05-12T02:35:23,0
A00120,Stewart-Hardy,Government,Tier 1,132,GEO0269,2024-03-03T17:28:56,2025-04-10T11:55:26,0
A00121,Mercado-Armstrong,Healthcare,Tier 2,520,GEO0607,2024-07-09T10:46:01,2025-03-20T16:19:07,0
A00122,Burch-Rice,Government,Tier 3,164,GEO0351,2024-04-08T05:16:37,2024-10-07T22:56:17,0
A00123,Palmer-Fletcher,Logistics,Tier 3,200,GEO0672,2024-09-26T11:36:40,2025-03-26T22:08:08,0
A00124,Mcbride Inc,Telecom,Tier 2,20182,GEO0093,2025-08-28T12:04:35,2025-10-15T23:35:10,0
A00125,Vincent PLC,Retail,Tier 2,66,GEO0502,2024-12-11T22:30:10,2025-05-03T11:24:47,0
A00126,"Cooper, Joseph and Taylor",Retail,Tier 3,36548,GEO0683,2024-12-18T01:35:26,2025-02-14T14:32:00,0
A00127,Maldonado Ltd,Retail,Tier 1,35965,GEO0383,2025-05-21T09:28:55,2025-08-29T04:16:09,0
A00128,Bell-Roberson,Government,Tier 2,1729,GEO0438,2024-03-01T11:36:49,2025-03-19T18:11:20,0
A00129,Schultz-Obrien,Telecom,Tier 3,33423,GEO0466,2024-01-27T23:36:10,2025-10-03T00:44:16,0
A00130,Torres-Rodriguez,Retail,Tier 1,196,GEO0433,2025-03-16T20:14:30,2025-04-11T05:44:27,0
A00131,Thompson PLC,FinTech,Tier 2,33,GEO0379,2024-03-14T15:03:09,2024-08-09T23:18:05,0
A00132,Olsen-Noble,FinTech,Tier 1,34,GEO0094,2024-06-18T00:35:13,2024-12-26T00:48:50,0
A00133,"Best, Kelley and Burns",Retail,Tier 2,10002,GEO0468,2025-08-15T07:34:51,2025-10-19T02:50:21,0
A00134,Daugherty-Peck,Retail,Tier 3,35825,GEO0586,2024-09-10T05:14:03,2026-01-16T07:05:14,0
A00135,"Walsh, Carroll and Snyder",Healthcare,Tier 3,148,GEO0593,2025-04-18T16:28:59,2025-12-10T02:13:58,0
A00136,Wong-Holloway,Logistics,Tier 2,17231,GEO0123,2026-02-05T15:42:25,2026-02-21T00:47:37,0
A00137,"Page, Smith and Gross",Telecom,Tier 3,1139,GEO0461,2024-01-15T05:45:29,2025-04-26T23:02:38,0
A00138,"Wilson, Underwood and Alvarado",Government,Tier 1,105,GEO0256,2025-04-18T16:20:54,2025-09-22T02:14:07,0
A00139,Walker-Bates,Telecom,Tier 3,18401,GEO0138,2026-01-02T21:41:21,2026-02-22T22:07:50,0
A00140,"Allen, Gutierrez and Lopez",Energy,Tier 2,53,GEO0726,2025-01-02T08:16:02,2025-04-01T11:45:35,0
A00141,Kramer-Jackson,Government,Tier 2,36440,GEO0754,2025-06-02T19:09:40,2025-07-24T14:06:00,0
A00142,Atkins PLC,Telecom,Tier 2,147,GEO0108,2025-06-19T10:38:53,2026-01-26T09:43:52,0
A00143,Smith-Williams,Logistics,Tier 3,1118,GEO0352,2025-12-15T08:31:55,2026-02-16T15:21:15,0
A00144,Williams and Sons,Retail,Tier 3,30499,GEO0617,2025-06-07T07:23:12,2025-08-12T08:30:33,0
A00145,Anderson Inc,Retail,Tier 1,179,GEO0344,2026-01-03T03:38:33,2026-02-08T15:16:49,0
A00146,Young-Brady,Manufacturing,Tier 1,7823,GEO0273,2025-03-07T11:43:43,2025-04-13T12:18:39,0
A00147,Weaver and Sons,Logistics,Tier 2,1494,GEO0380,2025-12-31T10:07:38,2026-02-13T12:18:53,0
A00148,"Higgins, Reyes and Miranda",Manufacturing,Tier 3,16,GEO0557,2024-07-04T19:00:07,2025-11-06T20:17:50,0
A00149,"Duncan, Johnson and Coleman",Healthcare,Tier 2,750,GEO0209,2024-10-27T03:38:13,2024-11-27T12:45:58,1
A00150,Sweeney Inc,Energy,Tier 2,3603,GEO0053,2025-10-28T15:22:12,2025-12-10T17:41:36,0
A00151,Lin LLC,Healthcare,Tier 3,23588,GEO0304,2024-07-27T19:59:57,2025-07-31T03:15:12,0
A00152,Boyer-White,FinTech,Tier 3,162,GEO0685,2024-03-11T04:15:11,2024-12-18T13:36:14,0
A00153,Summers-Prince,Retail,Tier 2,38151,GEO0699,2024-12-30T06:42:59,2025-09-10T15:30:50,0
A00154,"Le, Mack and Conway",Logistics,Tier 2,68,GEO0514,2026-02-17T16:32:35,2026-02-27T08:09:29,0
A00155,Bradley Group,FinTech,Tier 3,1071,GEO0296,2024-04-23T09:59:22,2025-04-26T23:13:50,0
A00156,Nguyen-Fitzgerald,Energy,Tier 1,745,GEO0440,2024-06-15T19:25:19,2025-06-29T22:17:59,0
A00157,"Schmidt, Luna and Diaz",Logistics,Tier 2,110,GEO0398,2024-11-09T10:13:10,2025-07-30T06:25:37,0
A00158,"Jordan, Williams and Marshall",Logistics,Tier 1,1526,GEO0501,2024-01-06T05:07:41,2024-07-18T18:34:46,0
A00159,Martinez Inc,Logistics,Tier 1,1622,GEO0107,2026-01-16T13:40:41,2026-02-06T14:56:52,0
A00160,Calderon LLC,Manufacturing,Tier 3,1566,GEO0645,2025-11-12T23:03:04,2026-01-20T13:04:37,0
A00161,Hernandez LLC,FinTech,Tier 3,29073,GEO0468,2024-09-06T10:34:02,2025-09-10T23:58:04,0
A00162,Smith-Short,Logistics,Tier 2,174,GEO0677,2024-11-13T11:02:15,2025-12-31T03:32:50,0
A00163,Martinez Group,Telecom,Tier 2,26,GEO0549,2024-11-05T05:33:20,2025-05-05T13:54:59,0
A00164,Fitzpatrick Ltd,Manufacturing,Tier 2,114,GEO0421,2024-08-16T07:21:09,2024-11-18T15:40:36,0
A00165,"Bailey, Richard and Hill",Retail,Tier 1,37033,GEO0580,2024-05-17T02:15:01,2025-04-12T02:01:09,0
A00166,Guerrero Group,Logistics,Tier 2,1266,GEO0037,2024-03-28T14:55:40,2025-11-06T13:42:03,0
A00167,"Cervantes, Strickland and Reid",FinTech,Tier 1,4307,GEO0667,2024-12-06T08:29:36,2025-12-20T22:28:25,0
A00168,Reynolds-Evans,Government,Tier 3,19111,GEO0516,2025-06-11T12:51:55,2025-10-29T10:32:09,0
A00169,"Perry, Owens and Mejia",Energy,Tier 2,62,GEO0710,2024-11-27T07:14:59,2024-12-02T01:14:46,0
A00170,"Dennis, King and Mendez",Telecom,Tier 1,107,GEO0113,2024-10-05T07:18:41,2025-04-03T11:15:47,0
A00171,Ramirez Ltd,Retail,Tier 1,7843,GEO0565,2024-02-17T09:00:48,2024-02-20T03:05:08,0
A00172,"Torres, Smith and Michael",Healthcare,Tier 1,134,GEO0379,2024-12-18T17:31:46,2025-11-19T09:06:19,0
A00173,Hood Inc,FinTech,Tier 2,176,GEO0312,2024-12-22T15:02:40,2025-05-04T22:15:40,0
A00174,Wolf Group,Manufacturing,Tier 2,952,GEO0006,2025-05-01T07:23:15,2025-10-12T11:47:16,0
A00175,Lee-Dixon,Healthcare,Tier 1,37089,GEO0076,2026-01-28T09:29:48,2026-02-22T12:02:03,0
A00176,Dennis-Smith,Energy,Tier 3,7978,GEO0757,2025-05-13T04:24:06,2025-09-05T11:35:06,0
A00177,Allen-Cain,Energy,Tier 1,26303,GEO0796,2024-04-13T09:03:03,2025-02-25T16:38:51,0
A00178,Benjamin and Sons,FinTech,Tier 1,27338,GEO0717,2024-12-09T11:17:42,2025-04-27T19:54:20,0
A00179,Boone-David,Telecom,Tier 2,102,GEO0757,2025-01-21T05:15:18,2025-01-29T01:05:48,0
A00180,"Daniels, Walker and Castillo",Healthcare,Tier 1,166,GEO0379,2024-12-01T20:05:22,2024-12-14T15:27:10,0
A00181,May and Sons,Energy,Tier 1,11685,GEO0028,2026-01-05T03:29:08,2026-02-23T05:02:37,0
A00182,Le LLC,Energy,Tier 1,57,GEO0212,2024-08-15T09:55:05,2026-02-26T20:23:29,0
A00183,Williams-Peterson,Telecom,Tier 1,426,GEO0733,2026-01-14T04:13:02,2026-02-28T22:29:14,0
A00184,Ruiz Group,Retail,Tier 3,6501,GEO0780,2025-05-19T14:29:16,2026-01-28T16:58:54,0
A00185,Murray-Kidd,Manufacturing,Tier 3,944,GEO0231,2025-01-03T17:20:55,2025-05-09T10:20:40,0
A00186,Miller-Hale,Government,Tier 1,753,GEO0295,2025-09-25T07:26:59,2025-10-08T09:15:35,0
A00187,Johnson LLC,Energy,Tier 1,1307,GEO0614,2024-05-10T17:48:25,2024-06-12T13:54:16,0
A00188,"Miller, Benitez and Moreno",Energy,Tier 2,25775,GEO0437,2024-05-01T22:03:36,2025-05-26T18:12:15,0
A00189,Martin-Dennis,Government,Tier 3,134,GEO0710,2025-05-23T10:22:01,2026-02-17T17:00:55,0
A00190,Franklin-Allen,Government,Tier 3,880,GEO0211,2024-07-25T00:40:20,2025-01-26T19:24:22,0
A00191,Garrett and Sons,Logistics,Tier 2,131,GEO0012,2025-05-09T19:35:22,2025-11-27T17:15:58,0
A00192,Romero-Lane,Government,Tier 1,685,GEO0436,2024-02-25T00:11:29,2025-03-02T11:16:40,0
A00193,Brown-Foster,Logistics,Tier 1,80,GEO0799,2025-11-23T07:40:12,2026-01-16T18:15:24,0
A00194,"May, Price and Ellison",Energy,Tier 1,49,GEO0342,2024-08-18T00:17:22,2025-06-19T18:33:02,0
A00195,Miller LLC,Energy,Tier 2,16,GEO0261,2025-10-03T09:40:37,2025-11-26T00:39:27,0
A00196,"Bailey, Bell and Fox",Manufacturing,Tier 2,454,GEO0262,2025-03-23T01:23:47,2025-09-04T15:28:12,0
A00197,"Smith, Castillo and Jimenez",Logistics,Tier 2,101,GEO0033,2026-01-08T13:11:51,2026-01-22T06:05:38,0
A00198,Murray-Garcia,Retail,Tier 3,6876,GEO0343,2024-08-04T01:35:07,2024-12-02T21:02:13,0
A00199,"Lewis, Hicks and Farmer",Telecom,Tier 1,196,GEO0294,2025-05-15T14:47:31,2026-02-25T19:50:52,0
A00200,"Hardy, Taylor and Lee",FinTech,Tier 3,222,GEO0253,2024-04-06T13:32:42,2025-09-07T09:59:12,0
A00201,Ortega PLC,Retail,Tier 2,92,GEO0450,2024-07-19T07:57:34,2024-09-24T21:11:31,0
A00202,Hill-Price,Logistics,Tier 1,311,GEO0338,2024-10-27T06:38:14,2025-03-19T12:39:33,0
A00203,"Flores, Garcia and Gonzalez",Energy,Tier 2,702,GEO0701,2025-06-17T07:37:20,2025-10-04T15:11:23,0
A00204,"Miller, Hunter and Espinoza",Logistics,Tier 1,17215,GEO0622,2025-06-13T11:33:18,2026-01-10T04:55:01,0
A00205,"Evans, Rodriguez and Everett",Healthcare,Tier 1,19,GEO0042,2024-07-28T23:38:08,2025-08-20T21:34:57,0
A00206,Jensen and Sons,Logistics,Tier 1,669,GEO0786,2025-02-12T10:44:23,2025-08-17T11:03:22,0
A00207,Singh-Ewing,Retail,Tier 3,129,GEO0395,2025-10-02T09:10:24,2026-01-17T04:18:19,0
A00208,Williams-Harrison,Telecom,Tier 2,18854,GEO0116,2025-02-25T22:05:05,2025-03-05T16:02:03,0
A00209,Wright-Randall,FinTech,Tier 2,411,GEO0237,2024-07-01T21:37:30,2025-03-22T16:37:22,0
A00210,Guerrero-Jones,Energy,Tier 1,507,GEO0421,2025-02-18T23:13:05,2025-10-02T15:48:37,0
A00211,Ward-Morales,Logistics,Tier 2,1104,GEO0226,2024-03-12T13:22:24,2024-10-27T06:31:12,0
A00212,Phillips-Ramsey,Manufacturing,Tier 2,6861,GEO0483,2024-09-20T01:01:48,2024-10-21T00:10:16,0
A00213,"Tucker, White and Lane",Retail,Tier 1,125,GEO0741,2024-01-23T12:25:56,2024-06-07T11:42:37,0
A00214,Sims PLC,Telecom,Tier 3,130,GEO0170,2026-02-16T03:08:46,2026-02-24T09:32:18,0
A00215,Johns and Sons,Telecom,Tier 3,1816,GEO0393,2024-04-05T20:09:04,2026-01-01T08:03:42,0
A00216,"Wong, Mcdonald and Barnes",Telecom,Tier 3,195,GEO0338,2024-10-21T13:30:07,2025-06-01T02:40:26,0
A00217,"Harper, Padilla and Brady",Retail,Tier 3,17435,GEO0073,2024-10-28T16:44:51,2024-12-31T14:56:38,0
A00218,Neal-Turner,Energy,Tier 2,175,GEO0482,2024-03-29T18:29:15,2024-10-31T06:57:02,0
A00219,"Hamilton, Hoover and Smith",Telecom,Tier 1,66,GEO0253,2025-06-17T22:17:53,2025-09-12T18:34:23,0
A00220,Cruz-Shields,Telecom,Tier 1,31216,GEO0120,2024-06-08T21:14:17,2025-04-17T09:52:24,0
A00221,Miller Ltd,Energy,Tier 2,18875,GEO0797,2024-08-02T13:54:21,2024-12-04T07:06:05,0
A00222,"Lopez, Ray and Boyer",Government,Tier 1,6850,GEO0762,2024-03-13T16:05:22,2025-11-01T11:34:34,0
A00223,"Smith, Castillo and Shaw",Manufacturing,Tier 2,1348,GEO0795,2024-06-16T12:02:32,2026-01-02T05:14:09,0
A00224,Robinson-Hart,Retail,Tier 1,23540,GEO0394,2025-01-15T05:11:20,2026-01-18T08:36:43,0
