payment_id,order_id,payment_date,method,amount,status
PAY00000092,ORD00000092,2025-02-13,Wire,2962.89,Succeeded
PAY00000093,ORD00000093,2025-10-23,ACH,249.44,Succeeded
PAY00000094,ORD00000094,2025-10-17,ACH,1590.76,Succeeded
PAY00000095,ORD00000095,2025-10-15,PayPal,1330.27,Succeeded
PAY00000096,ORD00000096,2025-01-23,ACH,5195.98,Failed
PAY00000097,ORD00000097,2025-04-20,PayPal,6226.28,Succeeded
PAY00000098,ORD00000098,2024-09-10,Wire,1067.7,Succeeded
PAY00000099,ORD00000099,2024-11-05,ACH,4826.69,Succeeded
PAY00000100,ORD00000100,2024-05-18,PayPal,4153.64,Succeeded
PAY00000102,ORD00000102,2025-10-26,PayPal,608.8,Succeeded
PAY00000103,ORD00000103,2024-12-28,ACH,291.18,Succeeded
PAY00000104,ORD00000104,2024-03-30,PayPal,1640.04,Succeeded
PAY00000105,ORD00000105,2025-04-10,Wire,7831.97,Succeeded
PAY00000106,ORD00000106,2025-01-21,Card,5850.06,Succeeded
PAY00000107,ORD00000107,2024-12-02,Card,2918.66,Succeeded
PAY00000108,ORD00000108,2025-08-09,PayPal,3875.39,Succeeded
PAY00000109,ORD00000109,2025-01-13,Wire,2453.62,Succeeded
PAY00000110,ORD00000110,2025-09-02,ACH,6659.92,Succeeded
PAY00000111,ORD00000111,2025-08-16,PayPal,4376.78,Succeeded
PAY00000112,ORD00000112,2025-05-10,Wire,6543.26,Succeeded
PAY00000113,ORD00000113,2025-12-28,ACH,1282.36,Succeeded
PAY00000114,ORD00000114,2024-04-28,PayPal,4206.17,Succeeded
PAY00000115,ORD00000115,2025-07-28,Card,6092.86,Succeeded
PAY00000116,ORD00000116,2025-01-24,Wire,6707.84,Pending
PAY00000117,ORD00000117,2025-04-06,ACH,1570.77,Succeeded
PAY00000118,ORD00000118,2024-11-18,PayPal,196.87,Succeeded
PAY00000119,ORD00000119,2024-12-01,Card,1223.87,Succeeded
PAY00000120,ORD00000120,2025-03-10,Wire,2353.77,Succeeded
PAY00000121,ORD00000121,2025-02-08,ACH,775.76,Succeeded
PAY00000122,ORD00000122,2024-06-19,ACH,425.03,Succeeded
PAY00000123,ORD00000123,2024-07-07,PayPal,3726.51,Succeeded
PAY00000124,ORD00000124,2024-02-25,Wire,2594.81,Succeeded
PAY00000125,ORD00000125,2024-07-14,Card,532.46,Succeeded
PAY00000126,ORD00000126,2026-01-26,Card,5493.93,Succeeded
PAY00000127,ORD00000127,2024-02-13,Wire,1832.11,Succeeded
PAY00000128,ORD00000128,2025-10-30,PayPal,3951.68,Succeeded
PAY00000129,ORD00000129,2025-08-28,ACH,1115.49,Succeeded
PAY00000130,ORD00000130,2025-08-09,ACH,110.23,Succeeded
PAY00000132,ORD00000132,2026-02-21,ACH,4112.03,Succeeded
PAY00000133,ORD00000133,2025-07-25,ACH,6499.37,Succeeded
PAY00000134,ORD00000134,2024-10-01,ACH,3611.67,Succeeded
PAY00000135,ORD00000135,2024-01-21,Card,285.51,Succeeded
PAY00000136,ORD00000136,2024-10-14,Card,6519.58,Succeeded
PAY00000137,ORD00000137,2025-04-22,Card,1018.55,Succeeded
PAY00000138,ORD00000138,2026-01-13,Card,172.81,Pending
PAY00000139,ORD00000139,2024-09-15,Wire,998.25,Succeeded
PAY00000140,ORD00000140,2024-09-11,Wire,1522.04,Succeeded
PAY00000141,ORD00000141,2025-06-08,ACH,2400.35,Pending
PAY00000142,ORD00000142,2025-12-04,Wire,1162.94,Succeeded
PAY00000143,ORD00000143,2025-08-16,Card,5703.8,Succeeded
PAY00000144,ORD00000144,2024-03-11,Wire,8112.29,Succeeded
PAY00000145,ORD00000145,2025-04-21,PayPal,4176.74,Succeeded
PAY00000146,ORD00000146,2024-07-01,Wire,10590.45,Succeeded
PAY00000147,ORD00000147,2024-03-08,Wire,1708.38,Succeeded
PAY00000148,ORD00000148,2024-06-28,Wire,5775.13,Succeeded
PAY00000149,ORD00000149,2024-01-10,Card,4506.9,Succeeded
PAY00000150,ORD00000150,2025-10-23,ACH,1570.77,Succeeded
PAY00000151,ORD00000151,2025-07-12,Card,4813.56,Succeeded
PAY00000152,ORD00000152,2025-11-15,Card,5226.97,Succeeded
PAY00000153,ORD00000153,2025-01-18,Wire,4990.08,Succeeded
PAY00000154,ORD00000154,2024-04-01,ACH,2754.28,Succeeded
PAY00000155,ORD00000155,2026-02-13,ACH,3006.38,Succeeded
PAY00000156,ORD00000156,2025-06-13,Card,1253.02,Succeeded
PAY00000157,ORD00000157,2024-08-05,ACH,4797.61,Succeeded
PAY00000158,ORD00000158,2024-04-21,Card,3102.14,Succeeded
PAY00000159,ORD00000159,2025-03-08,Wire,5730.36,Pending
PAY00000160,ORD00000160,2024-05-28,ACH,6359.05,Succeeded
PAY00000161,ORD00000161,2025-03-21,PayPal,3824.52,Succeeded
PAY00000162,ORD00000162,2025-02-03,Card,1012.59,Succeeded
PAY00000163,ORD00000163,2024-09-04,Wire,2208.37,Succeeded
PAY00000164,ORD00000164,2024-08-29,ACH,1429.51,Succeeded
PAY00000165,ORD00000165,2024-02-18,PayPal,7277.4,Pending
PAY00000166,ORD00000166,2025-03-17,PayPal,5031.35,Succeeded
PAY00000167,ORD00000167,2025-03-19,ACH,3869.81,Succeeded
PAY00000168,ORD00000168,2026-02-02,ACH,6411.13,Succeeded
PAY00000169,ORD00000169,2025-11-01,PayPal,5471.22,Succeeded
PAY00000170,ORD00000170,2024-06-21,Card,1281.56,Succeeded
PAY00000171,ORD00000171,2025-06-07,Wire,4889.46,Succeeded
PAY00000172,ORD00000172,2024-05-26,ACH,3669.21,Succeeded
PAY00000173,ORD00000173,2025-08-10,Wire,15.51,Succeeded
PAY00000174,ORD00000174,2025-08-12,PayPal,2820.27,Failed
PAY00000175,ORD00000175,2024-10-19,Card,666.84,Succeeded
PAY00000176,ORD00000176,2025-11-07,PayPal,1068.17,Succeeded
PAY00000177,ORD00000177,2025-11-06,PayPal,4930.75,Succeeded
PAY00000178,ORD00000178,2025-04-14,ACH,1051.13,Pending
PAY00000179,ORD00000179,2024-03-27,Wire,8325.06,Pending
PAY00000180,ORD00000180,2024-05-22,Wire,1884.63,Succeeded
PAY00000182,ORD00000182,2025-02-20,ACH,134.34,Succeeded
PAY00000183,ORD00000183,2025-02-05,Card,1529.37,Succeeded
PAY00000184,ORD00000184,2025-12-05,Wire,581.73,Succeeded
PAY00000185,ORD00000185,2025-06-28,Card,381.92,Succeeded
PAY00000186,ORD00000186,2024-02-07,ACH,1009.15,Succeeded
PAY00000187,ORD00000187,2025-04-10,Card,4314.89,Succeeded
PAY00000188,ORD00000188,2025-09-18,PayPal,5518.56,Succeeded
PAY00000189,ORD00000189,2024-03-30,PayPal,1963.87,Succeeded
PAY00000190,ORD00000190,2024-10-10,PayPal,432.04,Succeeded
PAY00000191,ORD00000191,2025-08-26,Card,3221.83,Pending
PAY00000192,ORD00000192,2024-12-01,Card,2226.84,Succeeded
PAY00000193,ORD00000193,2025-10-02,ACH,717.04,Succeeded
PAY00000194,ORD00000194,2025-04-25,ACH,966.65,Succeeded
PAY00000195,ORD00000195,2024-02-18,PayPal,8371.02,Succeeded
PAY00000196,ORD00000196,2024-09-01,Wire,3107.62,Succeeded
PAY00000197,ORD00000197,2025-07-31,PayPal,297.56,Succeeded
PAY00000198,ORD00000198,2025-08-29,ACH,5912.61,Succeeded
PAY00000199,ORD00000199,2024-09-04,PayPal,5567.02,Succeeded
PAY00000200,ORD00000200,2024-03-13,Card,7007.45,Succeeded
PAY00000201,ORD00000201,2024-05-17,Wire,312.47,Succeeded
PAY00000202,ORD00000202,2025-07-23,PayPal,5207.99,Succeeded
PAY00000203,ORD00000203,2025-11-13,Wire,6007.53,Succeeded
PAY00000204,ORD00000204,2025-03-14,Card,142.18,Succeeded
PAY00000205,ORD00000205,2026-02-02,Wire,4030.74,Succeeded
PAY00000206,ORD00000206,2025-05-18,PayPal,1787.6,Succeeded
PAY00000207,ORD00000207,2025-03-10,Card,2477.48,Succeeded
PAY00000208,ORD00000208,2024-12-28,Wire,1614.01,Succeeded
PAY00000209,ORD00000209,2025-05-10,Card,3249.19,Succeeded
PAY00000210,ORD00000210,2025-10-17,ACH,648.06,Succeeded
PAY00000211,ORD00000211,2025-07-13,PayPal,4343.39,Succeeded
PAY00000212,ORD00000212,2025-02-10,Card,6576.58,Succeeded
PAY00000213,ORD00000213,2025-03-12,ACH,3789.73,Succeeded
PAY00000214,ORD00000214,2024-01-27,Card,585.29,Succeeded
PAY00000215,ORD00000215,2024-08-17,Wire,1938.65,Succeeded
PAY00000216,ORD00000216,2025-10-05,PayPal,5109.02,Succeeded
PAY00000217,ORD00000217,2024-02-02,ACH,3816.06,Succeeded
PAY00000218,ORD00000218,2025-06-09,Wire,1675.27,Succeeded
PAY00000219,ORD00000219,2024-09-16,PayPal,1518.96,Succeeded
PAY00000220,ORD00000220,2024-09-09,Wire,5521.25,Succeeded
PAY00000221,ORD00000221,2024-09-09,ACH,2352.15,Succeeded
PAY00000222,ORD00000222,2025-06-25,PayPal,549.62,Succeeded
PAY00000223,ORD00000223,2025-07-12,Card,3175.8,Succeeded
PAY00000224,ORD00000224,2024-06-22,Wire,1840.9,Pending
PAY00000226,ORD00000226,2024-06-04,ACH,3769.26,Succeeded
PAY00000227,ORD00000227,2024-03-25,Wire,1233.04,Succeeded
PAY00000228,ORD00000228,2024-06-08,PayPal,1799.8,Succeeded
PAY00000229,ORD00000229,2025-07-01,PayPal,6078.57,Succeeded
PAY00000230,ORD00000230,2025-07-19,ACH,1357.58,Succeeded
PAY00000231,ORD00000231,2024-02-02,ACH,1552.35,Succeeded
PAY00000232,ORD00000232,2025-08-17,Card,4575.99,Succeeded
PAY00000233,ORD00000233,2026-01-20,Wire,1713.23,Succeeded
PAY00000234,ORD00000234,2025-09-29,PayPal,3733.53,Succeeded
PAY00000236,ORD00000236,2024-11-14,PayPal,150.41,Succeeded
PAY00000237,ORD00000237,2024-06-02,ACH,7923.0,Succeeded
PAY00000238,ORD00000238,2025-01-28,Card,5724.29,Succeeded
PAY00000239,ORD00000239,2026-01-24,Wire,5680.89,Succeeded
PAY00000240,ORD00000240,2025-04-08,Card,4393.04,Pending
PAY00000241,ORD00000241,2025-07-06,Wire,3460.6,Failed
PAY00000242,ORD00000242,2026-01-19,ACH,2732.45,Succeeded
PAY00000243,ORD00000243,2024-07-08,ACH,2697.13,Succeeded
PAY00000244,ORD00000244,2025-04-10,Card,8236.08,Succeeded
PAY00000245,ORD00000245,2026-02-05,ACH,2286.76,Succeeded
PAY00000246,ORD00000246,2024-03-09,Wire,7741.04,Succeeded
PAY00000247,ORD00000247,2025-06-07,Wire,4327.72,Succeeded
PAY00000248,ORD00000248,2024-12-07,ACH,825.51,Succeeded
PAY00000249,ORD00000249,2024-12-21,Card,12915.62,Succeeded
PAY00000250,ORD00000250,2025-02-12,Wire,1857.07,Succeeded
PAY00000251,ORD00000251,2025-03-23,Card,6263.63,Succeeded
PAY00000252,ORD00000252,2024-02-25,Wire,9353.09,Succeeded
PAY00000253,ORD00000253,2024-08-25,Wire,729.17,Succeeded
PAY00000254,ORD00000254,2024-03-15,ACH,1141.83,Succeeded
PAY00000255,ORD00000255,2024-04-28,Card,7410.26,Succeeded
PAY00000256,ORD00000256,2024-03-01,Card,6332.68,Succeeded
PAY00000257,ORD00000257,2024-05-31,Wire,6464.01,Succeeded
PAY00000258,ORD00000258,2025-02-23,Card,3446.58,Failed
PAY00000260,ORD00000260,2025-12-02,PayPal,7207.85,Succeeded
PAY00000261,ORD00000261,2025-11-25,PayPal,3631.28,Succeeded
PAY00000262,ORD00000262,2025-02-11,Card,6500.89,Succeeded
PAY00000263,ORD00000263,2025-10-30,Wire,1912.74,Succeeded
PAY00000264,ORD00000264,2025-05-13,ACH,4175.78,Succeeded
PAY00000265,ORD00000265,2024-03-31,Wire,4568.12,Succeeded
PAY00000266,ORD00000266,2024-12-07,ACH,385.83,Succeeded
PAY00000268,ORD00000268,2025-02-03,PayPal,3943.68,Succeeded
PAY00000269,ORD00000269,2024-09-29,PayPal,2936.05,Succeeded
PAY00000270,ORD00000270,2025-09-04,Wire,6577.55,Succeeded
PAY00000271,ORD00000271,2025-01-25,PayPal,215.17,Succeeded
PAY00000273,ORD00000273,2024-05-07,ACH,2366.47,Succeeded
PAY00000274,ORD00000274,2025-04-24,PayPal,5062.92,Succeeded
PAY00000275,ORD00000275,2025-06-18,Card,2780.1,Succeeded
PAY00000276,ORD00000276,2025-10-19,ACH,3089.93,Succeeded
PAY00000277,ORD00000277,2025-09-16,Card,997.45,Succeeded
PAY00000278,ORD00000278,2025-07-31,ACH,1474.3,Succeeded
PAY00000279,ORD00000279,2024-05-13,Wire,1240.89,Succeeded
PAY00000280,ORD00000280,2026-01-28,ACH,2046.21,Succeeded
PAY00000282,ORD00000282,2025-11-09,Wire,7303.71,Succeeded
PAY00000283,ORD00000283,2024-06-16,ACH,4995.73,Succeeded
PAY00000284,ORD00000284,2024-12-25,Wire,1612.05,Succeeded
PAY00000285,ORD00000285,2024-11-12,PayPal,1763.93,Succeeded
PAY00000286,ORD00000286,2025-09-25,PayPal,3142.85,Succeeded
PAY00000287,ORD00000287,2026-01-05,ACH,5548.87,Succeeded
PAY00000288,ORD00000288,2025-06-12,ACH,5758.74,Succeeded
PAY00000289,ORD00000289,2025-03-22,ACH,2394.74,Succeeded
PAY00000290,ORD00000290,2025-07-31,Card,2653.45,Succeeded
PAY00000291,ORD00000291,2025-06-25,Wire,7169.24,Succeeded
PAY00000292,ORD00000292,2025-03-31,Card,564.33,Succeeded
PAY00000293,ORD00000293,2025-01-29,ACH,5461.69,Succeeded
PAY00000294,ORD00000294,2025-04-26,Wire,3854.97,Succeeded
PAY00000295,ORD00000295,2025-01-01,ACH,5152.51,Succeeded
PAY00000297,ORD00000297,2026-01-01,PayPal,7491.51,Succeeded
PAY00000298,ORD00000298,2025-10-30,Card,1718.78,Succeeded
PAY00000300,ORD00000300,2025-05-23,PayPal,59.4,Succeeded
PAY00000301,ORD00000301,2025-06-10,Card,540.84,Succeeded
PAY00000302,ORD00000302,2024-07-18,Wire,4740.6,Succeeded
PAY00000303,ORD00000303,2025-02-20,Card,5357.26,Succeeded
PAY00000304,ORD00000304,2024-07-13,Wire,6369.3,Succeeded
PAY00000305,ORD00000305,2024-03-17,ACH,5048.1,Succeeded
PAY00000306,ORD00000306,2025-02-18,PayPal,626.86,Succeeded
PAY00000307,ORD00000307,2024-01-07,Card,6082.81,Succeeded
PAY00000308,ORD00000308,2024-03-08,PayPal,3529.47,Succeeded
PAY00000309,ORD00000309,2024-09-22,Wire,1307.44,Succeeded
PAY00000310,ORD00000310,2025-02-04,PayPal,5275.85,Succeeded
PAY00000311,ORD00000311,2024-06-09,ACH,1286.14,Succeeded
PAY00000312,ORD00000312,2026-01-26,Wire,5404.06,Succeeded
PAY00000313,ORD00000313,2026-02-14,ACH,4210.29,Succeeded
PAY00000314,ORD00000314,2024-10-24,Card,4768.37,Succeeded
PAY00000315,ORD00000315,2024-11-12,PayPal,2715.33,Succeeded
PAY00000316,ORD00000316,2024-10-22,ACH,7120.57,Succeeded
PAY00000317,ORD00000317,2025-04-26,PayPal,3205.28,Succeeded
PAY00000318,ORD00000318,2024-05-11,Card,3669.09,Succeeded
PAY00000319,ORD00000319,2024-12-02,PayPal,1264.44,Succeeded
PAY00000320,ORD00000320,2024-03-22,PayPal,4640.38,Succeeded
PAY00000321,ORD00000321,2025-03-22,Wire,3747.37,Succeeded
PAY00000322,ORD00000322,2024-12-31,PayPal,3291.33,Succeeded
PAY00000323,ORD00000323,2025-02-10,ACH,213.04,Succeeded
PAY00000324,ORD00000324,2025-08-05,PayPal,1309.02,Succeeded
PAY00000325,ORD00000325,2024-12-03,ACH,3234.95,Succeeded
PAY00000326,ORD00000326,2025-02-07,PayPal,697.54,Succeeded
PAY00000327,ORD00000327,2026-01-19,Wire,5835.15,Succeeded
PAY00000328,ORD00000328,2024-07-21,PayPal,4985.39,Succeeded
PAY00000329,ORD00000329,2024-07-01,ACH,268.02,Succeeded
PAY00000330,ORD00000330,2025-10-18,Card,5455.68,Succeeded
PAY00000331,ORD00000331,2026-01-08,ACH,2512.89,Succeeded
PAY00000332,ORD00000332,2026-03-02,Wire,222.67,Succeeded
PAY00000333,ORD00000333,2025-04-05,Wire,3564.51,Succeeded
PAY00000334,ORD00000334,2024-05-04,PayPal,3049.61,Succeeded
PAY00000335,ORD00000335,2024-12-09,Card,4978.71,Pending
PAY00000336,ORD00000336,2025-12-14,Card,2147.97,Succeeded
PAY00000337,ORD00000337,2024-01-21,ACH,976.5,Succeeded
PAY00000338,ORD00000338,2024-09-14,ACH,5830.03,Succeeded
PAY00000340,ORD00000340,2024-06-20,PayPal,1455.61,Succeeded
PAY00000342,ORD00000342,2024-09-29,Card,3500.82,Succeeded
PAY00000343,ORD00000343,2024-08-24,ACH,4294.82,Failed
PAY00000344,ORD00000344,2025-11-04,ACH,342.15,Succeeded
PAY00000345,ORD00000345,2025-01-11,Card,3425.31,Succeeded
PAY00000346,ORD00000346,2024-06-19,ACH,1678.87,Succeeded
PAY00000347,ORD00000347,2024-03-30,Wire,1431.19,Succeeded
PAY00000348,ORD00000348,2025-10-07,PayPal,1540.83,Succeeded
PAY00000349,ORD00000349,2025-12-01,Card,9248.35,Pending
PAY00000350,ORD00000350,2024-07-25,PayPal,477.82,Succeeded
PAY00000351,ORD00000351,2025-02-27,Wire,2558.4,Succeeded
PAY00000352,ORD00000352,2024-08-28,ACH,4375.26,Succeeded
PAY00000353,ORD00000353,2025-05-27,Wire,4027.52,Succeeded
PAY00000354,ORD00000354,2024-01-02,ACH,4130.45,Succeeded
PAY00000355,ORD00000355,2025-01-31,Wire,2588.68,Succeeded
PAY00000356,ORD00000356,2024-02-07,Card,468.6,Succeeded
PAY00000357,ORD00000357,2025-12-23,Wire,3402.15,Succeeded
PAY00000358,ORD00000358,2025-05-17,Wire,4387.63,Succeeded
PAY00000359,ORD00000359,2024-03-19,Wire,4355.66,Succeeded
PAY00000360,ORD00000360,2024-07-02,Wire,3053.3,Succeeded
PAY00000361,ORD00000361,2024-05-10,PayPal,4428.88,Succeeded
PAY00000362,ORD00000362,2025-08-24,Wire,910.01,Pending
PAY00000363,ORD00000363,2025-06-26,Wire,3394.17,Succeeded
PAY00000364,ORD00000364,2026-01-28,Card,1061.51,Succeeded
PAY00000365,ORD00000365,2024-07-15,ACH,7432.53,Succeeded
PAY00000366,ORD00000366,2025-10-07,Card,6374.37,Succeeded
PAY00000367,ORD00000367,2024-06-12,Wire,735.74,Succeeded
PAY00000368,ORD00000368,2024-03-05,ACH,5144.5,Succeeded
PAY00000370,ORD00000370,2024-04-28,ACH,8539.99,Succeeded
PAY00000371,ORD00000371,2025-01-25,Card,3129.8,Succeeded
PAY00000372,ORD00000372,2024-07-21,PayPal,7076.34,Succeeded
PAY00000373,ORD00000373,2024-05-01,Wire,2137.96,Succeeded
PAY00000374,ORD00000374,2025-02-10,PayPal,495.81,Succeeded
PAY00000375,ORD00000375,2024-02-22,Wire,4108.9,Succeeded
PAY00000376,ORD00000376,2024-09-16,ACH,5847.29,Succeeded
PAY00000377,ORD00000377,2025-05-30,PayPal,5619.9,Succeeded
PAY00000378,ORD00000378,2025-06-13,PayPal,2297.85,Succeeded
PAY00000379,ORD00000379,2025-08-14,Wire,5509.45,Succeeded
PAY00000380,ORD00000380,2025-05-12,ACH,3017.13,Succeeded
PAY00000381,ORD00000381,2024-11-29,Wire,2375.32,Succeeded
PAY00000382,ORD00000382,2024-01-27,ACH,4743.03,Succeeded
PAY00000383,ORD00000383,2025-10-10,Card,3520.64,Succeeded
PAY00000384,ORD00000384,2024-03-23,PayPal,5607.4,Succeeded
PAY00000385,ORD00000385,2026-02-19,Wire,956.52,Succeeded
PAY00000386,ORD00000386,2025-12-17,Wire,1750.92,Succeeded
PAY00000387,ORD00000387,2025-06-29,PayPal,3300.19,Succeeded
PAY00000388,ORD00000388,2025-05-15,Card,4520.75,Succeeded
PAY00000389,ORD00000389,2025-02-22,Wire,1373.0,Succeeded
PAY00000390,ORD00000390,2025-06-17,Wire,779.0,Succeeded
PAY00000391,ORD00000391,2024-04-28,ACH,5556.98,Succeeded
PAY00000392,ORD00000392,2024-07-06,ACH,812.68,Succeeded
PAY00000393,ORD00000393,2024-03-19,ACH,5356.68,Succeeded
PAY00000395,ORD00000395,2026-01-29,PayPal,1399.07,Succeeded
PAY00000396,ORD00000396,2025-08-16,PayPal,2463.43,Succeeded
PAY00000397,ORD00000397,2024-01-19,Card,5452.66,Succeeded
PAY00000398,ORD00000398,2025-11-19,PayPal,3390.14,Succeeded
PAY00000400,ORD00000400,2024-08-18,ACH,5120.73,Succeeded
PAY00000401,ORD00000401,2025-11-29,Wire,1788.28,Succeeded
PAY00000402,ORD00000402,2025-12-06,PayPal,1065.45,Succeeded
PAY00000403,ORD00000403,2024-10-10,Card,5021.56,Succeeded
PAY00000404,ORD00000404,2024-09-25,Card,3860.15,Succeeded
PAY00000405,ORD00000405,2025-10-14,Wire,3302.07,Succeeded
PAY00000406,ORD00000406,2024-10-02,Card,1766.75,Succeeded
PAY00000407,ORD00000407,2024-10-19,PayPal,5000.96,Succeeded
PAY00000408,ORD00000408,2025-08-06,ACH,146.31,Succeeded
PAY00000409,ORD00000409,2025-02-19,PayPal,1332.89,Succeeded
PAY00000410,ORD00000410,2025-01-02,Card,6305.46,Succeeded
PAY00000411,ORD00000411,2025-09-13,PayPal,4696.56,Succeeded
PAY00000412,ORD00000412,2024-03-20,ACH,1359.96,Succeeded
PAY00000413,ORD00000413,2024-05-18,Card,3685.08,Succeeded
PAY00000414,ORD00000414,2025-06-07,ACH,2991.06,Pending
