order_id,product_id,quantity,unit_price,line_total
ORD00000019,P00238,3,238.66,715.99
ORD00000019,P00222,4,163.71,654.85
ORD00000019,P00248,6,424.2,2545.23
ORD00000019,P00140,5,116.45,582.25
ORD00000020,P00319,1,366.76,366.76
ORD00000020,P00211,1,141.98,141.98
ORD00000020,P00008,6,406.91,2441.48
ORD00000020,P00389,5,69.03,345.15
ORD00000020,P00540,4,73.65,294.61
ORD00000020,P00099,6,339.07,2034.42
ORD00000021,P00073,2,219.54,439.09
ORD00000022,P00026,5,516.62,2583.08
ORD00000023,P00112,2,311.7,623.4
ORD00000023,P00073,3,250.17,750.51
ORD00000023,P00325,4,60.38,241.5
ORD00000023,P00434,3,489.85,1469.56
ORD00000023,P00276,3,310.28,930.85
ORD00000024,P00131,4,70.1,280.39
ORD00000024,P00275,6,356.78,2140.68
ORD00000024,P00467,6,405.71,2434.23
ORD00000024,P00227,2,271.85,543.7
ORD00000025,P00176,5,222.27,1111.36
ORD00000025,P00582,3,217.79,653.38
ORD00000025,P00200,4,478.63,1914.54
ORD00000025,P00150,2,190.53,381.07
ORD00000025,P00199,4,444.32,1777.3
ORD00000025,P00555,4,200.12,800.5
ORD00000025,P00493,3,330.42,991.27
ORD00000026,P00421,6,39.79,238.72
ORD00000026,P00593,3,420.36,1261.07
ORD00000026,P00390,2,445.54,891.07
ORD00000026,P00178,1,508.3,508.3
ORD00000026,P00292,3,431.22,1293.67
ORD00000026,P00569,3,342.95,1028.85
ORD00000026,P00418,1,152.32,152.32
ORD00000027,P00320,3,340.17,1020.51
ORD00000028,P00284,5,500.76,2503.81
ORD00000028,P00242,4,518.82,2075.26
ORD00000028,P00309,4,251.61,1006.44
ORD00000028,P00065,2,326.04,652.08
ORD00000029,P00258,4,240.06,960.24
ORD00000029,P00554,5,244.71,1223.54
ORD00000030,P00183,6,417.37,2504.24
ORD00000030,P00518,4,230.17,920.69
ORD00000030,P00011,1,335.85,335.85
ORD00000030,P00272,5,113.54,567.71
ORD00000030,P00333,2,380.21,760.42
ORD00000030,P00293,6,293.38,1760.26
ORD00000030,P00308,5,110.51,552.54
ORD00000031,P00298,4,136.11,544.45
ORD00000031,P00076,3,345.24,1035.72
ORD00000031,P00156,2,81.33,162.66
ORD00000031,P00563,2,9.55,19.1
ORD00000031,P00255,4,223.66,894.66
ORD00000031,P00182,3,144.82,434.45
ORD00000031,P00169,5,498.35,2491.76
ORD00000032,P00563,2,9.5,18.99
ORD00000032,P00588,3,273.24,819.73
ORD00000032,P00199,5,394.16,1970.81
ORD00000033,P00218,4,476.74,1906.97
ORD00000033,P00541,1,40.29,40.29
ORD00000033,P00594,4,239.86,959.44
ORD00000033,P00389,4,64.36,257.45
ORD00000033,P00075,2,289.6,579.19
ORD00000033,P00145,3,463.42,1390.27
ORD00000033,P00301,5,59.13,295.67
ORD00000034,P00191,1,188.73,188.73
ORD00000034,P00017,4,107.1,428.41
ORD00000034,P00083,4,390.44,1561.75
ORD00000034,P00524,2,429.64,859.28
ORD00000034,P00300,2,47.7,95.4
ORD00000034,P00487,4,172.13,688.52
ORD00000034,P00583,6,26.32,157.91
ORD00000035,P00238,1,216.8,216.8
ORD00000035,P00261,4,325.09,1300.37
ORD00000035,P00097,1,185.43,185.43
ORD00000036,P00021,2,210.53,421.06
ORD00000037,P00312,6,538.07,3228.39
ORD00000037,P00402,2,220.64,441.28
ORD00000038,P00307,3,242.37,727.1
ORD00000039,P00376,2,127.11,254.21
ORD00000039,P00080,6,226.27,1357.62
ORD00000040,P00571,4,424.62,1698.46
ORD00000040,P00367,6,417.49,2504.95
ORD00000040,P00197,4,10.9,43.58
ORD00000040,P00533,4,154.81,619.24
ORD00000040,P00506,4,60.24,240.95
ORD00000040,P00034,6,194.59,1167.56
ORD00000041,P00403,2,282.7,565.4
ORD00000041,P00332,6,301.35,1808.1
ORD00000041,P00211,4,139.0,555.99
ORD00000041,P00145,5,507.92,2539.59
ORD00000041,P00129,6,285.26,1711.59
ORD00000042,P00299,5,54.7,273.51
ORD00000042,P00582,6,224.58,1347.46
ORD00000042,P00055,5,43.85,219.27
ORD00000042,P00205,6,294.63,1767.78
ORD00000042,P00209,6,284.9,1709.43
ORD00000043,P00404,6,397.17,2383.0
ORD00000043,P00482,6,74.69,448.12
ORD00000043,P00489,5,396.0,1980.01
ORD00000043,P00013,5,34.47,172.35
ORD00000043,P00356,3,204.71,614.14
ORD00000044,P00324,5,102.07,510.37
ORD00000044,P00429,1,130.39,130.39
ORD00000044,P00547,5,355.75,1778.73
ORD00000044,P00025,5,110.01,550.07
ORD00000044,P00532,1,40.73,40.73
ORD00000045,P00088,5,318.05,1590.25
ORD00000045,P00048,3,127.28,381.83
ORD00000045,P00334,6,6.58,39.47
ORD00000045,P00046,4,261.59,1046.35
ORD00000045,P00526,3,294.41,883.23
ORD00000045,P00240,4,9.86,39.43
ORD00000045,P00318,5,165.21,826.07
ORD00000046,P00404,3,369.06,1107.17
ORD00000046,P00516,3,485.95,1457.85
ORD00000046,P00067,4,11.41,45.64
ORD00000047,P00024,1,405.81,405.81
ORD00000047,P00501,5,313.02,1565.08
ORD00000048,P00142,5,551.6,2758.01
ORD00000048,P00573,3,142.59,427.77
ORD00000049,P00232,3,263.32,789.95
ORD00000049,P00378,1,425.27,425.27
ORD00000049,P00473,5,381.23,1906.14
ORD00000049,P00152,3,131.5,394.5
ORD00000049,P00223,4,408.79,1635.18
ORD00000049,P00225,2,587.16,1174.32
ORD00000050,P00074,1,376.83,376.83
ORD00000050,P00405,4,61.85,247.39
ORD00000050,P00480,4,280.5,1122.0
ORD00000050,P00261,2,372.82,745.64
ORD00000050,P00007,2,368.57,737.15
ORD00000050,P00065,6,285.19,1711.14
ORD00000051,P00006,1,196.6,196.6
ORD00000051,P00475,1,227.91,227.91
ORD00000052,P00494,3,171.96,515.88
ORD00000052,P00546,6,188.55,1131.27
ORD00000052,P00107,3,32.09,96.27
ORD00000052,P00077,3,64.97,194.91
ORD00000053,P00190,6,23.11,138.68
ORD00000053,P00517,3,85.34,256.03
ORD00000053,P00548,6,460.72,2764.3
ORD00000053,P00439,5,213.83,1069.14
ORD00000053,P00557,1,102.52,102.52
ORD00000053,P00034,1,186.81,186.81
ORD00000053,P00451,4,85.23,340.91
ORD00000054,P00577,3,527.0,1580.99
ORD00000054,P00590,4,161.45,645.78
ORD00000054,P00597,1,119.63,119.63
ORD00000054,P00366,4,97.77,391.09
ORD00000054,P00544,5,466.55,2332.77
ORD00000055,P00485,5,231.0,1155.02
ORD00000055,P00114,4,136.45,545.79
ORD00000055,P00013,5,32.81,164.07
ORD00000055,P00354,4,176.21,704.83
ORD00000055,P00182,1,121.57,121.57
ORD00000055,P00512,2,272.76,545.52
ORD00000055,P00547,3,399.76,1199.28
ORD00000056,P00290,3,511.39,1534.16
ORD00000057,P00566,2,362.39,724.77
ORD00000057,P00174,4,101.89,407.55
ORD00000057,P00454,1,297.27,297.27
ORD00000057,P00077,2,59.95,119.9
ORD00000057,P00255,4,230.17,920.66
ORD00000057,P00028,4,223.37,893.47
ORD00000058,P00220,1,167.99,167.99
ORD00000058,P00322,1,34.94,34.94
ORD00000058,P00001,6,298.7,1792.18
ORD00000058,P00436,2,88.25,176.5
ORD00000058,P00122,5,75.76,378.82
ORD00000058,P00159,5,345.61,1728.07
ORD00000059,P00288,6,230.84,1385.05
ORD00000059,P00316,4,236.04,944.16
ORD00000059,P00123,2,385.76,771.52
ORD00000059,P00256,2,199.23,398.46
ORD00000059,P00067,5,9.89,49.43
ORD00000059,P00368,1,177.3,177.3
ORD00000060,P00180,5,493.39,2466.96
ORD00000060,P00318,1,182.48,182.48
ORD00000060,P00159,3,350.42,1051.25
ORD00000060,P00510,6,273.71,1642.25
ORD00000060,P00262,4,488.83,1955.32
ORD00000060,P00086,3,156.97,470.9
ORD00000060,P00407,1,635.68,635.68
ORD00000061,P00166,4,408.8,1635.18
ORD00000061,P00017,4,124.17,496.67
ORD00000061,P00114,2,115.1,230.21
ORD00000061,P00210,5,277.57,1387.85
ORD00000061,P00177,1,556.02,556.02
ORD00000062,P00386,6,251.08,1506.45
ORD00000062,P00579,3,57.36,172.08
ORD00000062,P00510,5,277.63,1388.16
ORD00000062,P00005,5,76.64,383.21
ORD00000062,P00508,2,279.5,559.01
ORD00000062,P00184,4,22.12,88.47
ORD00000062,P00570,6,345.53,2073.18
ORD00000063,P00110,5,255.88,1279.39
ORD00000063,P00449,3,194.14,582.42
ORD00000064,P00331,4,379.36,1517.46
ORD00000064,P00214,3,294.38,883.14
ORD00000064,P00489,5,457.25,2286.23
ORD00000064,P00063,5,385.09,1925.47
ORD00000065,P00435,5,213.62,1068.11
ORD00000065,P00199,5,342.9,1714.48
ORD00000065,P00512,2,237.37,474.75
ORD00000065,P00456,4,128.92,515.67
ORD00000066,P00366,3,94.23,282.69
ORD00000066,P00025,5,105.79,528.97
ORD00000066,P00397,3,25.21,75.63
ORD00000066,P00199,3,360.74,1082.22
ORD00000067,P00121,3,136.02,408.07
ORD00000067,P00215,5,220.51,1102.54
ORD00000067,P00278,3,175.66,526.98
ORD00000067,P00466,2,203.87,407.74
ORD00000067,P00260,4,529.32,2117.29
ORD00000067,P00282,4,250.9,1003.61
ORD00000068,P00309,2,284.2,568.4
ORD00000068,P00244,6,436.6,2619.61
ORD00000068,P00492,6,178.47,1070.84
ORD00000068,P00591,2,432.46,864.92
ORD00000068,P00476,2,109.99,219.98
ORD00000069,P00091,6,199.83,1198.98
ORD00000069,P00360,4,48.62,194.48
ORD00000070,P00076,1,386.09,386.09
ORD00000070,P00177,4,515.51,2062.04
ORD00000070,P00272,4,101.47,405.88
ORD00000071,P00556,5,653.18,3265.89
ORD00000071,P00389,4,63.37,253.5
ORD00000071,P00461,4,83.88,335.51
ORD00000071,P00192,1,258.19,258.19
ORD00000072,P00514,4,103.6,414.38
ORD00000072,P00384,5,69.87,349.37
ORD00000072,P00401,3,162.83,488.5
ORD00000072,P00277,1,190.77,190.77
ORD00000072,P00070,1,60.87,60.87
ORD00000072,P00160,3,176.04,528.13
ORD00000073,P00437,2,20.17,40.34
ORD00000073,P00477,1,51.29,51.29
ORD00000073,P00074,3,372.57,1117.72
ORD00000073,P00544,5,480.02,2400.12
ORD00000073,P00364,2,493.47,986.94
ORD00000074,P00257,2,194.87,389.74
ORD00000074,P00066,2,87.96,175.93
ORD00000074,P00523,5,108.84,544.21
ORD00000074,P00244,2,395.18,790.35
ORD00000074,P00091,3,208.01,624.03
ORD00000074,P00049,2,91.55,183.11
ORD00000075,P00467,6,451.08,2706.47
ORD00000075,P00548,5,436.04,2180.21
ORD00000075,P00358,5,408.86,2044.29
ORD00000075,P00517,6,92.79,556.74
ORD00000076,P00503,6,287.14,1722.86
ORD00000077,P00317,6,82.61,495.64
ORD00000077,P00171,4,205.81,823.24
ORD00000077,P00454,4,280.01,1120.02
ORD00000077,P00397,6,27.54,165.23
ORD00000077,P00173,3,211.53,634.6
ORD00000078,P00003,6,332.83,1996.99
ORD00000078,P00062,6,337.87,2027.22
ORD00000078,P00435,5,191.82,959.08
ORD00000078,P00495,3,81.83,245.49
ORD00000079,P00103,6,182.76,1096.54
ORD00000079,P00347,3,585.07,1755.2
ORD00000079,P00136,3,220.16,660.49
ORD00000079,P00513,1,242.97,242.97
ORD00000080,P00561,6,56.31,337.85
ORD00000080,P00250,6,66.7,400.17
ORD00000080,P00596,6,474.15,2844.92
ORD00000080,P00049,3,82.8,248.39
ORD00000080,P00265,1,168.48,168.48
ORD00000081,P00445,6,134.43,806.56
ORD00000081,P00366,5,91.1,455.48
ORD00000081,P00045,4,417.22,1668.9
ORD00000082,P00283,1,403.94,403.94
ORD00000082,P00154,2,307.87,615.75
ORD00000082,P00488,5,91.3,456.51
ORD00000082,P00452,5,71.4,356.99
ORD00000082,P00284,3,576.72,1730.16
ORD00000082,P00595,4,70.08,280.33
ORD00000082,P00549,2,521.6,1043.2
ORD00000083,P00326,6,24.47,146.83
ORD00000083,P00366,1,117.44,117.44
ORD00000083,P00027,4,565.54,2262.16
ORD00000083,P00570,1,296.06,296.06
ORD00000083,P00169,5,448.08,2240.38
ORD00000084,P00168,3,225.95,677.86
ORD00000084,P00393,5,210.77,1053.87
ORD00000084,P00150,2,195.56,391.12
ORD00000084,P00193,3,175.13,525.39
ORD00000084,P00350,5,464.1,2320.49
ORD00000084,P00216,2,87.03,174.07
ORD00000084,P00529,1,330.87,330.87
ORD00000085,P00029,3,72.32,216.96
ORD00000085,P00204,4,251.81,1007.25
ORD00000085,P00016,6,278.84,1673.02
ORD00000085,P00174,2,106.39,212.78
ORD00000085,P00460,4,177.24,708.96
ORD00000085,P00475,1,220.62,220.62
ORD00000085,P00251,1,357.61,357.61
ORD00000086,P00018,3,395.83,1187.49
ORD00000086,P00403,4,309.46,1237.85
ORD00000086,P00281,1,343.77,343.77
ORD00000086,P00356,6,263.91,1583.46
ORD00000087,P00427,1,200.86,200.86
ORD00000087,P00475,3,253.58,760.75
ORD00000088,P00160,4,131.6,526.39
ORD00000088,P00346,4,309.32,1237.28
ORD00000088,P00587,6,10.91,65.49
ORD00000088,P00426,6,33.6,201.62
ORD00000088,P00044,4,52.6,210.41
ORD00000089,P00028,6,198.53,1191.17
ORD00000089,P00212,1,30.89,30.89
ORD00000089,P00089,4,262.38,1049.53
ORD00000089,P00092,1,19.21,19.21
ORD00000089,P00445,4,113.02,452.06
ORD00000089,P00315,3,331.53,994.59
ORD00000089,P00262,1,460.66,460.66
ORD00000090,P00081,5,109.65,548.25
ORD00000090,P00391,6,347.02,2082.14
ORD00000090,P00196,5,591.57,2957.87
ORD00000090,P00489,2,403.51,807.02
ORD00000090,P00151,5,500.16,2500.82
ORD00000090,P00204,2,272.15,544.3
ORD00000090,P00114,1,123.06,123.06
ORD00000091,P00134,4,120.41,481.65
ORD00000091,P00386,4,319.37,1277.5
ORD00000091,P00235,1,41.92,41.92
ORD00000091,P00371,1,450.22,450.22
ORD00000091,P00542,4,251.66,1006.64
ORD00000091,P00470,2,201.27,402.54
ORD00000091,P00532,2,35.34,70.67
ORD00000092,P00256,6,227.78,1366.68
ORD00000092,P00131,1,65.14,65.14
ORD00000092,P00467,3,446.59,1339.78
ORD00000093,P00121,2,120.03,240.06
ORD00000094,P00262,3,508.55,1525.66
ORD00000095,P00093,5,102.32,511.61
ORD00000095,P00311,2,383.37,766.75
ORD00000096,P00082,2,146.46,292.92
ORD00000096,P00596,6,526.73,3160.36
ORD00000096,P00107,6,33.38,200.29
ORD00000096,P00278,3,203.39,610.17
ORD00000096,P00102,3,122.46,367.38
ORD00000096,P00509,5,87.02,435.09
ORD00000097,P00546,3,220.58,661.74
ORD00000097,P00337,5,451.7,2258.49
ORD00000097,P00287,5,581.63,2908.17
ORD00000098,P00187,5,206.36,1031.82
ORD00000099,P00108,5,78.16,390.81
ORD00000099,P00084,6,351.87,2111.22
ORD00000099,P00497,2,353.78,707.57
ORD00000099,P00594,1,231.0,231.0
ORD00000099,P00191,6,172.55,1035.32
ORD00000100,P00442,1,132.76,132.76
ORD00000100,P00348,5,198.71,993.55
ORD00000100,P00195,6,316.43,1898.57
ORD00000100,P00194,2,96.89,193.79
ORD00000100,P00004,6,156.97,941.8
ORD00000100,P00563,4,10.47,41.9
ORD00000101,P00185,3,265.73,797.19
ORD00000101,P00140,1,101.77,101.77
ORD00000101,P00078,5,246.18,1230.88
ORD00000101,P00144,5,119.34,596.7
ORD00000101,P00127,5,197.01,985.07
ORD00000102,P00108,5,66.01,330.05
ORD00000102,P00029,4,70.26,281.03
ORD00000103,P00542,1,258.09,258.09
ORD00000104,P00425,4,112.8,451.18
ORD00000104,P00512,3,211.0,633.01
ORD00000104,P00388,2,307.69,615.39
ORD00000105,P00315,6,290.03,1740.17
ORD00000105,P00462,6,251.96,1511.77
ORD00000105,P00560,3,26.16,78.48
ORD00000105,P00180,5,518.96,2594.8
ORD00000105,P00398,1,321.73,321.73
ORD00000105,P00514,6,133.97,803.81
ORD00000105,P00473,1,372.59,372.59
ORD00000106,P00159,6,328.78,1972.7
ORD00000106,P00047,5,150.37,751.84
ORD00000106,P00268,6,204.95,1229.68
ORD00000106,P00491,4,197.55,790.22
ORD00000106,P00395,1,103.04,103.04
ORD00000106,P00066,5,111.09,555.45
ORD00000107,P00369,3,167.82,503.45
ORD00000107,P00187,5,206.91,1034.54
ORD00000107,P00584,5,245.23,1226.15
ORD00000108,P00053,5,91.99,459.96
ORD00000108,P00371,4,518.51,2074.05
ORD00000108,P00164,2,401.7,803.41
ORD00000108,P00541,5,47.22,236.12
ORD00000108,P00405,2,60.42,120.84
ORD00000108,P00421,4,37.89,151.57
ORD00000108,P00344,1,134.38,134.38
ORD00000109,P00193,2,206.37,412.73
ORD00000109,P00189,3,246.95,740.85
ORD00000109,P00067,2,11.85,23.71
ORD00000109,P00025,3,120.8,362.41
ORD00000109,P00278,3,167.09,501.28
ORD00000109,P00198,1,162.38,162.38
ORD00000109,P00553,6,62.08,372.49
ORD00000110,P00240,2,10.14,20.28
ORD00000110,P00259,6,247.77,1486.64
ORD00000110,P00210,3,259.23,777.7
ORD00000110,P00593,3,405.67,1217.01
ORD00000110,P00545,6,259.65,1557.93
ORD00000110,P00076,5,332.24,1661.22
ORD00000110,P00527,1,295.63,295.63
ORD00000111,P00352,1,277.09,277.09
ORD00000111,P00314,5,175.67,878.35
ORD00000111,P00263,4,496.18,1984.7
ORD00000111,P00481,4,66.33,265.31
ORD00000111,P00223,1,357.7,357.7
ORD00000111,P00161,2,32.5,64.99
ORD00000111,P00358,1,395.13,395.13
ORD00000112,P00239,5,396.88,1984.42
ORD00000112,P00352,6,250.09,1500.55
ORD00000112,P00276,6,383.44,2300.62
ORD00000112,P00093,3,99.79,299.36
ORD00000112,P00209,2,328.61,657.22
ORD00000113,P00225,1,527.94,527.94
ORD00000113,P00333,2,377.32,754.65
ORD00000114,P00041,1,403.39,403.39
ORD00000114,P00012,6,515.55,3093.29
ORD00000114,P00100,2,144.27,288.53
ORD00000114,P00250,4,85.54,342.16
ORD00000114,P00086,3,146.67,440.02
ORD00000115,P00234,2,459.67,919.35
ORD00000115,P00332,3,302.67,908.02
ORD00000115,P00552,4,332.1,1328.39
ORD00000115,P00411,6,124.95,749.71
ORD00000115,P00359,5,489.76,2448.79
ORD00000116,P00120,4,318.43,1273.71
ORD00000116,P00333,4,342.81,1371.24
ORD00000116,P00596,2,435.16,870.31
ORD00000116,P00149,4,271.16,1084.63
ORD00000116,P00473,3,429.69,1289.06
ORD00000116,P00121,2,137.57,275.13
ORD00000116,P00536,1,148.33,148.33
ORD00000117,P00300,4,50.06,200.25
ORD00000117,P00400,3,464.13,1392.39
ORD00000118,P00141,2,79.08,158.16
ORD00000119,P00403,2,302.85,605.71
ORD00000119,P00138,4,35.54,142.18
ORD00000119,P00325,2,61.49,122.97
ORD00000119,P00229,2,138.72,277.44
ORD00000120,P00487,5,215.92,1079.62
ORD00000120,P00526,3,285.73,857.2
ORD00000120,P00584,2,207.74,415.49
ORD00000121,P00576,1,460.41,460.41
ORD00000121,P00114,1,111.16,111.16
ORD00000121,P00491,1,190.73,190.73
ORD00000121,P00587,4,12.24,48.95
ORD00000122,P00591,1,369.35,369.35
ORD00000122,P00562,2,40.37,80.74
ORD00000122,P00240,1,11.56,11.56
ORD00000123,P00223,4,441.06,1764.26
ORD00000123,P00576,3,373.81,1121.44
ORD00000123,P00073,3,210.36,631.09
ORD00000124,P00052,5,329.78,1648.91
ORD00000124,P00316,2,229.43,458.86
ORD00000124,P00298,2,156.33,312.66
ORD00000125,P00118,1,475.33,475.33
ORD00000126,P00433,4,501.96,2007.85
ORD00000126,P00260,6,526.55,3159.32
ORD00000127,P00025,3,90.52,271.56
ORD00000127,P00473,4,419.8,1679.2
ORD00000128,P00163,4,191.86,767.45
ORD00000128,P00331,2,333.84,667.68
ORD00000128,P00159,3,349.35,1048.06
ORD00000128,P00414,6,325.76,1954.58
ORD00000129,P00389,1,59.53,59.53
ORD00000129,P00105,3,52.03,156.09
ORD00000129,P00188,3,322.51,967.53
ORD00000130,P00092,5,17.02,85.11
ORD00000131,P00080,2,231.03,462.07
ORD00000132,P00433,2,499.75,999.5
ORD00000132,P00334,3,5.1,15.3
ORD00000132,P00051,1,432.21,432.21
ORD00000132,P00545,1,210.2,210.2
ORD00000132,P00129,6,217.79,1306.77
ORD00000132,P00567,4,310.94,1243.75
ORD00000132,P00144,1,118.1,118.1
ORD00000133,P00412,5,368.73,1843.64
ORD00000133,P00267,3,486.58,1459.73
ORD00000133,P00234,2,393.94,787.89
ORD00000133,P00314,5,151.47,757.34
ORD00000133,P00469,2,383.88,767.77
ORD00000133,P00273,4,110.71,442.85
ORD00000133,P00590,1,163.17,163.17
ORD00000134,P00356,5,238.33,1191.67
ORD00000134,P00430,3,149.96,449.87
ORD00000134,P00412,3,335.18,1005.53
ORD00000134,P00454,5,260.43,1302.17
ORD00000135,P00365,1,231.22,231.22
ORD00000135,P00450,1,39.73,39.73
ORD00000136,P00359,2,440.01,880.03
ORD00000136,P00292,6,352.74,2116.46
ORD00000136,P00044,6,54.13,324.77
ORD00000136,P00283,6,441.89,2651.32
ORD00000137,P00491,3,198.9,596.7
ORD00000137,P00334,4,6.75,27.0
ORD00000137,P00539,4,89.41,357.65
ORD00000138,P00119,1,64.84,64.84
ORD00000138,P00562,2,52.12,104.24
ORD00000139,P00486,6,158.57,951.42
ORD00000140,P00225,3,527.23,1581.7
ORD00000141,P00363,2,381.69,763.38
ORD00000141,P00338,1,34.22,34.22
ORD00000141,P00200,2,422.11,844.22
ORD00000141,P00481,1,82.94,82.94
ORD00000141,P00274,1,544.6,544.6
ORD00000141,P00043,6,55.47,332.82
ORD00000141,P00426,2,38.05,76.1
ORD00000142,P00122,3,88.68,266.03
ORD00000142,P00536,1,171.43,171.43
ORD00000142,P00143,4,160.93,643.72
ORD00000142,P00190,4,27.17,108.66
ORD00000143,P00128,6,306.36,1838.18
ORD00000143,P00069,1,77.67,77.67
ORD00000143,P00112,6,390.85,2345.12
ORD00000143,P00163,2,205.32,410.65
ORD00000143,P00165,6,170.56,1023.36
ORD00000144,P00130,1,30.62,30.62
ORD00000144,P00302,6,235.71,1414.27
ORD00000144,P00479,4,480.05,1920.19
ORD00000144,P00310,2,92.43,184.85
ORD00000144,P00052,5,333.9,1669.48
ORD00000144,P00245,4,449.01,1796.06
ORD00000144,P00514,5,135.38,676.91
ORD00000145,P00314,4,145.82,583.26
ORD00000145,P00545,5,210.26,1051.31
ORD00000145,P00380,6,251.27,1507.65
ORD00000145,P00105,2,48.59,97.18
ORD00000145,P00157,5,109.57,547.86
ORD00000145,P00448,1,66.43,66.43
ORD00000145,P00394,5,139.81,699.05
ORD00000146,P00577,5,572.08,2860.41
ORD00000146,P00594,3,234.44,703.32
ORD00000146,P00260,2,564.16,1128.32
ORD00000146,P00244,2,421.23,842.47
ORD00000146,P00269,6,553.51,3321.04
ORD00000146,P00169,2,532.66,1065.33
ORD00000147,P00329,5,321.12,1605.59
ORD00000148,P00585,5,8.11,40.57
ORD00000148,P00124,3,468.52,1405.57
ORD00000148,P00183,6,442.88,2657.31
ORD00000148,P00456,5,117.53,587.67
ORD00000148,P00562,5,51.04,255.22
ORD00000148,P00031,4,129.06,516.24
ORD00000148,P00150,1,201.18,201.18
ORD00000149,P00449,2,235.69,471.39
ORD00000149,P00405,6,78.14,468.82
ORD00000149,P00278,4,196.96,787.85
ORD00000149,P00464,4,435.11,1740.45
ORD00000149,P00348,1,185.98,185.98
ORD00000149,P00311,2,337.33,674.67
ORD00000150,P00489,1,509.03,509.03
ORD00000150,P00352,1,272.95,272.95
ORD00000150,P00558,2,488.38,976.76
ORD00000151,P00152,3,138.93,416.8
ORD00000151,P00531,3,93.33,279.98
ORD00000151,P00371,5,530.08,2650.39
ORD00000151,P00176,5,215.47,1077.34
ORD00000152,P00437,4,23.46,93.83
ORD00000152,P00404,2,360.69,721.39
ORD00000152,P00537,1,237.92,237.92
ORD00000152,P00427,4,236.07,944.27
ORD00000152,P00318,6,161.66,969.93
ORD00000152,P00331,6,447.76,2686.57
ORD00000153,P00092,4,18.62,74.47
ORD00000153,P00282,4,221.6,886.41
ORD00000153,P00349,5,352.17,1760.85
ORD00000153,P00261,2,335.39,670.79
ORD00000153,P00194,4,103.64,414.58
ORD00000153,P00548,4,445.17,1780.68
ORD00000154,P00334,2,5.3,10.6
ORD00000154,P00435,3,162.56,487.69
ORD00000154,P00068,5,412.66,2063.3
ORD00000154,P00013,6,32.74,196.45
ORD00000155,P00285,6,206.59,1239.54
ORD00000155,P00145,3,514.95,1544.85
ORD00000155,P00560,5,27.3,136.52
ORD00000156,P00393,6,235.19,1411.13
ORD00000157,P00529,3,398.48,1195.45
ORD00000157,P00543,4,190.87,763.49
ORD00000157,P00481,2,83.39,166.77
ORD00000157,P00566,4,416.98,1667.92
ORD00000157,P00418,5,140.57,702.85
ORD00000157,P00055,1,48.57,48.57
ORD00000158,P00429,2,156.01,312.02
