return_id,order_id,return_date,reason,refund_amount,status
RET00002205,ORD00002205,2025-03-10,Damaged,2185.7,Requested
RET00002209,ORD00002209,2025-06-05,Wrong Item,1513.7,Requested
RET00002218,ORD00002218,2025-04-30,Changed Mind,4324.6,Requested
RET00002258,ORD00002258,2025-01-04,Changed Mind,707.34,Refunded
RET00002291,ORD00002291,2024-10-14,Defective,474.8,Approved
RET00002344,ORD00002344,2025-01-08,Late Delivery,2317.54,Requested
RET00002472,ORD00002472,2024-03-25,Wrong Item,937.43,Denied
RET00002500,ORD00002500,2024-06-17,Damaged,4819.72,Refunded
RET00002574,ORD00002574,2026-02-24,Late Delivery,763.06,Requested
RET00002608,ORD00002608,2024-08-22,Defective,1155.58,Denied
RET00002680,ORD00002680,2026-02-10,Late Delivery,160.61,Refunded
RET00002703,ORD00002703,2024-11-15,Late Delivery,734.13,Approved
RET00002791,ORD00002791,2024-03-17,Defective,2589.43,Denied
RET00002807,ORD00002807,2024-12-14,Defective,5026.6,Approved
RET00002867,ORD00002867,2024-11-05,Defective,1102.8,Requested
RET00002934,ORD00002934,2025-07-08,Defective,7206.58,Requested
RET00002945,ORD00002945,2025-05-07,Damaged,320.92,Denied
RET00002970,ORD00002970,2024-10-14,Wrong Item,1192.43,Refunded
RET00003110,ORD00003110,2025-03-04,Changed Mind,2066.77,Denied
RET00003174,ORD00003174,2025-03-29,Damaged,3685.2,Approved
RET00003227,ORD00003227,2024-01-24,Late Delivery,1799.04,Requested
RET00003229,ORD00003229,2024-05-28,Changed Mind,821.04,Approved
RET00003237,ORD00003237,2024-02-16,Damaged,1809.27,Refunded
RET00003307,ORD00003307,2024-12-25,Defective,2965.17,Denied
RET00003379,ORD00003379,2024-04-16,Changed Mind,2825.16,Requested
RET00003498,ORD00003498,2024-08-29,Changed Mind,766.13,Denied
RET00003585,ORD00003585,2025-09-01,Late Delivery,1654.64,Refunded
RET00003602,ORD00003602,2025-04-27,Wrong Item,1448.19,Denied
RET00003603,ORD00003603,2024-11-09,Defective,1494.62,Requested
RET00003636,ORD00003636,2026-01-09,Wrong Item,10650.33,Refunded
RET00003665,ORD00003665,2025-02-12,Damaged,3075.04,Denied
RET00003669,ORD00003669,2025-02-25,Damaged,972.91,Refunded
RET00003684,ORD00003684,2024-11-26,Defective,460.63,Denied
RET00003748,ORD00003748,2024-04-10,Damaged,60.79,Approved
RET00003767,ORD00003767,2024-11-25,Changed Mind,1807.17,Refunded
RET00003778,ORD00003778,2025-12-23,Damaged,828.29,Refunded
RET00003838,ORD00003838,2024-09-16,Defective,647.25,Refunded
RET00003874,ORD00003874,2025-09-30,Damaged,224.29,Requested
RET00003876,ORD00003876,2024-10-02,Defective,1279.03,Requested
RET00003955,ORD00003955,2025-05-02,Late Delivery,1781.32,Requested
RET00003986,ORD00003986,2024-12-07,Late Delivery,129.37,Refunded
RET00004010,ORD00004010,2024-07-14,Changed Mind,186.0,Approved
RET00004062,ORD00004062,2025-06-15,Changed Mind,3987.16,Approved
RET00004106,ORD00004106,2024-08-04,Defective,1756.96,Requested
RET00004146,ORD00004146,2025-06-30,Damaged,898.29,Approved
RET00004150,ORD00004150,2025-04-26,Damaged,261.61,Approved
RET00004162,ORD00004162,2025-05-27,Defective,1399.19,Denied
RET00004175,ORD00004175,2025-05-25,Damaged,3423.85,Denied
RET00004191,ORD00004191,2024-03-27,Damaged,2173.18,Requested
RET00004259,ORD00004259,2025-04-15,Defective,4268.21,Approved
RET00004299,ORD00004299,2025-02-09,Wrong Item,4482.2,Requested
RET00004326,ORD00004326,2024-04-30,Late Delivery,2085.98,Requested
RET00004344,ORD00004344,2024-08-19,Wrong Item,3808.41,Denied
RET00004358,ORD00004358,2025-05-09,Late Delivery,1548.07,Requested
RET00004365,ORD00004365,2024-04-30,Damaged,1885.58,Refunded
RET00004392,ORD00004392,2025-02-07,Damaged,2760.33,Denied
RET00004411,ORD00004411,2025-05-09,Damaged,3063.71,Refunded
RET00004435,ORD00004435,2024-04-22,Late Delivery,2972.01,Requested
RET00004475,ORD00004475,2025-03-24,Late Delivery,3894.31,Refunded
RET00004522,ORD00004522,2025-03-05,Wrong Item,4227.78,Refunded
RET00004557,ORD00004557,2025-11-04,Changed Mind,668.82,Approved
RET00004563,ORD00004563,2025-02-16,Changed Mind,234.35,Refunded
RET00004606,ORD00004606,2025-05-11,Late Delivery,3638.68,Denied
RET00004628,ORD00004628,2024-06-26,Defective,832.94,Approved
RET00004641,ORD00004641,2024-05-02,Changed Mind,1872.26,Approved
RET00004695,ORD00004695,2025-01-18,Late Delivery,910.09,Denied
RET00004736,ORD00004736,2025-03-20,Damaged,2092.21,Denied
RET00004744,ORD00004744,2024-02-06,Damaged,6174.42,Requested
RET00004925,ORD00004925,2025-08-04,Defective,4696.09,Denied
RET00004959,ORD00004959,2025-05-11,Late Delivery,712.49,Requested
RET00005052,ORD00005052,2024-05-14,Changed Mind,2929.98,Refunded
RET00005112,ORD00005112,2025-02-10,Defective,4224.8,Refunded
RET00005119,ORD00005119,2024-10-29,Damaged,2990.15,Refunded
RET00005139,ORD00005139,2024-05-28,Wrong Item,2782.62,Approved
RET00005184,ORD00005184,2025-01-17,Changed Mind,202.46,Denied
RET00005197,ORD00005197,2025-07-18,Wrong Item,3542.49,Refunded
RET00005273,ORD00005273,2025-09-05,Late Delivery,1709.39,Requested
RET00005335,ORD00005335,2024-04-23,Damaged,2839.9,Refunded
RET00005341,ORD00005341,2024-03-29,Wrong Item,6363.47,Requested
RET00005410,ORD00005410,2024-07-04,Damaged,646.58,Denied
RET00005447,ORD00005447,2025-06-23,Damaged,1910.93,Denied
RET00005534,ORD00005534,2026-03-23,Late Delivery,1264.97,Requested
RET00005546,ORD00005546,2026-01-31,Defective,451.63,Approved
RET00005556,ORD00005556,2024-06-03,Late Delivery,832.68,Requested
RET00005572,ORD00005572,2024-05-23,Changed Mind,2397.7,Requested
RET00005596,ORD00005596,2024-02-17,Changed Mind,552.21,Refunded
RET00005617,ORD00005617,2024-03-19,Defective,4782.71,Refunded
RET00005721,ORD00005721,2025-04-15,Wrong Item,1265.45,Refunded
RET00005770,ORD00005770,2025-12-27,Damaged,1630.75,Refunded
RET00005816,ORD00005816,2024-02-05,Damaged,607.13,Denied
RET00005831,ORD00005831,2024-02-03,Changed Mind,3219.22,Refunded
RET00005832,ORD00005832,2024-06-10,Damaged,3502.21,Requested
RET00005861,ORD00005861,2026-03-21,Changed Mind,5184.86,Approved
RET00005899,ORD00005899,2025-04-03,Wrong Item,6535.87,Approved
RET00005902,ORD00005902,2024-01-13,Defective,1934.61,Denied
RET00005919,ORD00005919,2026-01-28,Damaged,6024.28,Approved
RET00005977,ORD00005977,2024-12-12,Damaged,2370.07,Refunded
RET00005983,ORD00005983,2025-05-11,Late Delivery,162.34,Denied
RET00006031,ORD00006031,2025-05-07,Late Delivery,990.82,Denied
RET00006093,ORD00006093,2024-03-04,Changed Mind,1319.73,Approved
RET00006208,ORD00006208,2025-09-03,Wrong Item,1169.26,Refunded
RET00006239,ORD00006239,2025-12-22,Damaged,408.71,Refunded
RET00006284,ORD00006284,2025-08-19,Damaged,291.33,Requested
RET00006287,ORD00006287,2024-04-01,Wrong Item,1718.14,Denied
RET00006292,ORD00006292,2025-08-04,Changed Mind,2131.6,Requested
RET00006303,ORD00006303,2024-12-14,Changed Mind,588.17,Refunded
RET00006344,ORD00006344,2026-01-23,Late Delivery,2224.42,Denied
RET00006496,ORD00006496,2026-02-01,Late Delivery,198.51,Approved
RET00006564,ORD00006564,2025-06-14,Wrong Item,1732.2,Approved
RET00006658,ORD00006658,2024-03-25,Defective,1183.13,Approved
RET00006666,ORD00006666,2025-03-13,Wrong Item,2339.18,Denied
RET00006667,ORD00006667,2024-08-10,Changed Mind,3816.8,Requested
RET00006756,ORD00006756,2024-03-10,Late Delivery,1234.02,Denied
RET00006771,ORD00006771,2025-11-25,Wrong Item,352.6,Approved
RET00006867,ORD00006867,2025-05-06,Wrong Item,1327.78,Approved
RET00006876,ORD00006876,2025-11-06,Defective,276.37,Refunded
RET00006999,ORD00006999,2024-08-19,Changed Mind,826.64,Refunded
RET00007015,ORD00007015,2024-12-23,Wrong Item,480.14,Requested
RET00007025,ORD00007025,2025-07-29,Wrong Item,517.41,Refunded
RET00007032,ORD00007032,2025-07-27,Defective,1158.23,Approved
RET00007048,ORD00007048,2024-05-14,Defective,3665.38,Approved
RET00007057,ORD00007057,2025-02-24,Wrong Item,956.5,Approved
RET00007084,ORD00007084,2024-04-16,Defective,263.68,Approved
RET00007110,ORD00007110,2026-01-05,Late Delivery,934.66,Requested
RET00007136,ORD00007136,2026-03-12,Defective,2291.94,Requested
RET00007153,ORD00007153,2024-07-19,Defective,573.18,Refunded
RET00007178,ORD00007178,2025-01-05,Late Delivery,3446.09,Requested
RET00007179,ORD00007179,2025-12-11,Defective,888.14,Requested
RET00007201,ORD00007201,2025-07-15,Defective,434.4,Approved
RET00007217,ORD00007217,2026-01-11,Changed Mind,263.38,Requested
RET00007246,ORD00007246,2026-01-09,Defective,368.98,Denied
RET00007344,ORD00007344,2024-06-04,Defective,6727.31,Refunded
RET00007358,ORD00007358,2025-12-12,Damaged,447.77,Refunded
RET00007379,ORD00007379,2026-01-20,Defective,515.56,Approved
RET00007452,ORD00007452,2025-06-06,Damaged,1629.32,Refunded
RET00007454,ORD00007454,2026-02-08,Wrong Item,1077.23,Approved
RET00007516,ORD00007516,2025-03-17,Wrong Item,6556.46,Refunded
RET00007531,ORD00007531,2025-06-12,Changed Mind,1151.86,Refunded
RET00007574,ORD00007574,2025-05-06,Damaged,697.48,Refunded
RET00007601,ORD00007601,2025-12-15,Damaged,1357.96,Requested
RET00007666,ORD00007666,2025-11-08,Changed Mind,150.32,Refunded
RET00007682,ORD00007682,2025-06-04,Defective,411.07,Denied
RET00007793,ORD00007793,2025-09-10,Changed Mind,1672.08,Requested
RET00007858,ORD00007858,2025-04-14,Late Delivery,1738.52,Approved
RET00007893,ORD00007893,2025-07-04,Changed Mind,4943.56,Requested
RET00007922,ORD00007922,2024-11-10,Late Delivery,811.6,Requested
RET00007934,ORD00007934,2025-08-30,Damaged,2615.9,Approved
RET00007994,ORD00007994,2024-08-25,Wrong Item,1447.11,Requested
RET00008064,ORD00008064,2024-04-10,Changed Mind,125.05,Requested
RET00008109,ORD00008109,2025-06-06,Changed Mind,2296.13,Approved
RET00008227,ORD00008227,2025-04-26,Changed Mind,4231.63,Requested
RET00008243,ORD00008243,2024-03-14,Defective,5734.0,Denied
RET00008258,ORD00008258,2024-02-28,Wrong Item,3017.23,Refunded
RET00008299,ORD00008299,2025-07-08,Damaged,1778.93,Approved
RET00008383,ORD00008383,2025-07-05,Damaged,4880.2,Denied
RET00008498,ORD00008498,2024-09-03,Changed Mind,2129.67,Denied
RET00008531,ORD00008531,2024-08-23,Defective,3146.6,Requested
RET00008543,ORD00008543,2025-08-28,Late Delivery,1381.41,Refunded
RET00008566,ORD00008566,2025-03-04,Changed Mind,1747.48,Requested
RET00008614,ORD00008614,2025-06-15,Late Delivery,4360.46,Refunded
RET00008748,ORD00008748,2025-03-31,Defective,802.92,Denied
RET00008791,ORD00008791,2024-06-18,Defective,793.5,Denied
RET00008882,ORD00008882,2025-07-15,Changed Mind,1516.64,Approved
RET00008899,ORD00008899,2024-08-24,Defective,1197.17,Approved
RET00008993,ORD00008993,2025-05-24,Wrong Item,348.57,Denied
RET00009007,ORD00009007,2025-05-16,Defective,1510.79,Approved
RET00009014,ORD00009014,2024-12-08,Wrong Item,4310.13,Requested
RET00009022,ORD00009022,2024-03-01,Changed Mind,2962.24,Approved
RET00009038,ORD00009038,2025-12-24,Defective,4192.03,Approved
RET00009049,ORD00009049,2025-09-28,Late Delivery,1350.2,Denied
RET00009069,ORD00009069,2025-03-05,Wrong Item,4469.85,Refunded
RET00009126,ORD00009126,2025-07-13,Late Delivery,608.42,Denied
RET00009137,ORD00009137,2024-03-25,Defective,4302.55,Requested
RET00009142,ORD00009142,2026-02-25,Changed Mind,539.61,Approved
RET00009177,ORD00009177,2025-06-19,Late Delivery,2614.1,Refunded
RET00009187,ORD00009187,2024-12-31,Wrong Item,933.29,Denied
RET00009214,ORD00009214,2024-11-20,Wrong Item,1774.58,Refunded
RET00009273,ORD00009273,2024-09-26,Defective,4887.88,Approved
RET00009336,ORD00009336,2025-08-30,Wrong Item,3327.11,Approved
RET00009357,ORD00009357,2024-11-18,Changed Mind,74.87,Requested
RET00009417,ORD00009417,2024-08-08,Changed Mind,3422.33,Denied
RET00009485,ORD00009485,2025-04-12,Defective,2233.08,Denied
RET00009494,ORD00009494,2024-03-10,Wrong Item,1874.12,Refunded
RET00009499,ORD00009499,2026-02-09,Wrong Item,162.58,Refunded
RET00009507,ORD00009507,2024-05-03,Wrong Item,1095.34,Denied
RET00009526,ORD00009526,2024-07-30,Wrong Item,1256.24,Requested
RET00009528,ORD00009528,2024-08-23,Late Delivery,1299.64,Approved
RET00009564,ORD00009564,2025-06-22,Wrong Item,852.78,Refunded
RET00009617,ORD00009617,2024-04-07,Defective,674.67,Requested
RET00009636,ORD00009636,2025-11-06,Changed Mind,1824.87,Requested
RET00009711,ORD00009711,2024-06-02,Damaged,340.85,Refunded
RET00009725,ORD00009725,2026-02-05,Defective,1624.04,Denied
RET00009809,ORD00009809,2024-03-05,Damaged,708.3,Refunded
RET00009825,ORD00009825,2025-02-20,Damaged,285.75,Denied
RET00009830,ORD00009830,2024-09-11,Defective,317.3,Requested
RET00010080,ORD00010080,2026-03-04,Changed Mind,20.72,Approved
RET00010139,ORD00010139,2025-05-13,Wrong Item,288.06,Refunded
RET00010192,ORD00010192,2024-07-08,Changed Mind,159.51,Requested
RET00010218,ORD00010218,2024-08-26,Wrong Item,149.86,Denied
RET00010250,ORD00010250,2025-04-20,Wrong Item,4373.38,Refunded
RET00010274,ORD00010274,2026-03-08,Wrong Item,3861.07,Refunded
RET00010301,ORD00010301,2024-07-10,Changed Mind,1538.48,Refunded
RET00010329,ORD00010329,2025-09-23,Defective,2592.55,Approved
RET00010419,ORD00010419,2024-08-11,Damaged,2728.15,Refunded
RET00010452,ORD00010452,2024-09-07,Late Delivery,3153.42,Denied
RET00010466,ORD00010466,2024-06-13,Defective,9079.38,Refunded
RET00010493,ORD00010493,2025-03-11,Changed Mind,1652.44,Refunded
RET00010502,ORD00010502,2024-05-17,Late Delivery,1868.37,Refunded
RET00010520,ORD00010520,2025-05-01,Defective,3239.16,Refunded
RET00010621,ORD00010621,2024-07-07,Defective,4985.58,Approved
RET00010652,ORD00010652,2025-03-27,Changed Mind,1228.98,Refunded
RET00010658,ORD00010658,2024-10-04,Late Delivery,1884.43,Requested
RET00010686,ORD00010686,2024-04-24,Damaged,2371.06,Refunded
RET00010727,ORD00010727,2025-01-27,Defective,3352.39,Approved
RET00010739,ORD00010739,2024-01-31,Defective,736.28,Approved
RET00010760,ORD00010760,2024-07-03,Late Delivery,1244.35,Approved
RET00010786,ORD00010786,2025-12-22,Defective,2678.3,Denied
RET00010823,ORD00010823,2024-08-21,Defective,890.82,Refunded
RET00010863,ORD00010863,2024-06-20,Late Delivery,2357.39,Refunded
RET00010865,ORD00010865,2024-07-03,Changed Mind,2105.65,Refunded
RET00010889,ORD00010889,2026-01-06,Damaged,2741.35,Approved
RET00010900,ORD00010900,2024-05-18,Wrong Item,4297.78,Denied
RET00010965,ORD00010965,2025-02-19,Changed Mind,2211.68,Refunded
RET00011186,ORD00011186,2024-09-20,Damaged,1014.23,Approved
RET00011230,ORD00011230,2025-04-20,Late Delivery,1475.18,Approved
RET00011261,ORD00011261,2024-10-21,Wrong Item,406.42,Requested
RET00011288,ORD00011288,2025-09-29,Defective,1258.45,Requested
RET00011376,ORD00011376,2024-07-29,Damaged,185.45,Refunded
RET00011409,ORD00011409,2025-11-14,Wrong Item,2936.1,Denied
RET00011453,ORD00011453,2025-01-11,Defective,1408.86,Approved
RET00011499,ORD00011499,2024-07-22,Late Delivery,2035.35,Approved
RET00011525,ORD00011525,2025-02-14,Late Delivery,261.47,Approved
RET00011629,ORD00011629,2024-08-06,Late Delivery,1967.83,Denied
RET00011641,ORD00011641,2025-11-26,Defective,480.54,Requested
RET00011665,ORD00011665,2026-02-12,Damaged,2305.31,Refunded
RET00011686,ORD00011686,2025-04-05,Wrong Item,1466.07,Requested
RET00011805,ORD00011805,2024-06-26,Changed Mind,2260.26,Requested
RET00011813,ORD00011813,2025-04-23,Changed Mind,1459.93,Requested
RET00011882,ORD00011882,2024-07-15,Defective,2762.5,Denied
RET00011910,ORD00011910,2024-05-18,Defective,555.32,Denied
