movement_id,movement_ts,warehouse_id,product_id,movement_type,qty_delta,reference_id
IM00000070,2026-01-16T21:34:22,W006,P00001,ADJUSTMENT,38,24016b5f-e5ca-476e-a320-ef259ea2805a
IM00000071,2024-09-05T20:16:17,W001,P00298,TRANSFER_IN,24,24a17cbd-7e24-4ea2-b646-84cef2ff8335
IM00000072,2025-05-21T19:10:21,W014,P00123,ADJUSTMENT,39,4526379f-9e50-42d7-b5c8-27e7d44ea128
IM00000073,2025-02-08T21:14:25,W003,P00363,TRANSFER_IN,29,1db813d2-e44e-491f-9979-f13c7583cc15
IM00000074,2024-12-24T04:48:36,W016,P00204,TRANSFER_OUT,-48,390412ef-08eb-45e0-9c36-791fc3021742
IM00000075,2024-03-12T11:23:33,W002,P00435,TRANSFER_OUT,-17,2b91841b-bbc0-4368-a62f-abc9036ab3c4
IM00000076,2026-01-03T06:56:13,W017,P00241,RECEIPT,31,0c8337d7-b4e1-468b-8e98-458bb3cbf1ed
IM00000077,2025-09-29T23:54:37,W004,P00046,SHIP,-46,0c9d6c2f-78ea-42f9-bbe7-2909b8ea500b
IM00000078,2024-07-29T14:45:08,W002,P00046,ADJUSTMENT,24,53e12edf-4270-47bc-8b48-2a9f6dc1aea6
IM00000079,2024-02-01T18:24:45,W007,P00001,TRANSFER_IN,36,daa2651f-cc1b-449b-8a0e-0efb81475247
IM00000080,2024-04-11T22:59:02,W004,P00350,TRANSFER_OUT,-29,a4ee753a-ed55-47e4-98ee-b67b59be8fba
IM00000081,2025-04-07T08:44:56,W015,P00130,ADJUSTMENT,8,3721afe9-b35e-47d4-a8d7-940b21dd7506
IM00000082,2025-12-07T00:45:48,W011,P00298,SHIP,-42,91ff59fc-a50b-45d6-828b-034727586411
IM00000083,2025-04-23T20:46:05,W015,P00065,RECEIPT,5,2ada6f31-0694-48f1-9302-d7f0aba744ef
IM00000084,2024-12-13T02:09:25,W007,P00144,ADJUSTMENT,26,44da85ff-c1b1-4183-8f58-afeffbe07d83
IM00000085,2024-05-03T04:12:37,W010,P00422,ADJUSTMENT,31,3873aef0-db60-4acc-9d8e-9947a58cc1ac
IM00000086,2024-05-10T10:53:05,W010,P00515,ADJUSTMENT,31,db6b14b7-e99f-4c2d-943a-0fa60dadd2e7
IM00000087,2026-01-28T23:17:43,W016,P00090,TRANSFER_OUT,-41,7ee34146-7112-4bf7-be3f-e2455c936537
IM00000088,2024-03-18T08:52:49,W004,P00251,ADJUSTMENT,47,22c3628f-8565-45d0-b73a-c2645fb6296f
IM00000089,2025-01-23T13:57:16,W007,P00303,ADJUSTMENT,27,88310a4a-a8d1-4a51-84db-bbe1f844c65e
IM00000090,2024-06-15T14:18:21,W016,P00225,TRANSFER_OUT,-14,8c544612-4743-45bb-93c1-55ad839e698b
IM00000091,2024-10-04T12:01:10,W001,P00519,ADJUSTMENT,13,598a7b08-734a-429e-859e-a2ef83d72007
IM00000092,2026-02-25T14:03:34,W012,P00172,TRANSFER_OUT,-39,51e7a476-322f-4e23-ad60-8d152c46fa79
IM00000093,2024-10-24T18:08:45,W009,P00329,RECEIPT,1,885a88e6-8d49-4ebd-bd19-894525893fa7
IM00000094,2026-02-22T17:21:52,W007,P00160,TRANSFER_OUT,-44,dfc4dcdf-fd91-40a8-8fa0-c1e41336c2ae
IM00000095,2024-03-03T17:42:10,W017,P00511,ADJUSTMENT,3,ae1c23f7-25e8-45c2-9f23-4aff2c0cc4f3
IM00000096,2024-03-24T03:33:26,W001,P00088,SHIP,-42,640abbf3-9cc0-48bc-8a07-d35d42ae7a65
IM00000097,2025-05-01T18:40:00,W009,P00358,RECEIPT,12,e31f02e0-a0b8-4381-8e84-2ba8633727da
IM00000098,2025-06-10T18:34:45,W007,P00580,TRANSFER_OUT,-48,287730a6-8431-44ba-98ca-41ee8b970e0d
IM00000099,2024-02-17T09:32:11,W002,P00396,ADJUSTMENT,3,2a1422c9-dd93-49b1-a791-bb3ad4aa38c7
IM00000100,2026-02-02T13:52:34,W009,P00170,ADJUSTMENT,49,2442a4c8-a713-49ef-89cf-e8638740e4df
IM00000101,2025-11-11T18:59:53,W007,P00373,SHIP,-6,75816fea-c482-48b7-bc30-b97add45178b
IM00000102,2024-08-20T08:41:31,W003,P00587,TRANSFER_OUT,-44,002c71b5-a309-4634-b2f7-177d382f59d1
IM00000103,2024-04-29T22:03:11,W002,P00552,TRANSFER_OUT,-3,fd1af4d8-4482-4da3-9a5a-2ecdc51daed4
IM00000104,2025-10-10T03:07:19,W012,P00211,RECEIPT,23,f6b56017-8db3-4c04-af72-7157b3a2a234
IM00000105,2024-07-30T04:08:22,W010,P00158,TRANSFER_OUT,-10,28d45538-9567-42e2-b0c4-732f30488653
IM00000106,2025-01-06T03:06:43,W010,P00561,RECEIPT,24,94f66796-f476-410b-99c3-382babfc980d
IM00000107,2025-06-18T10:59:23,W007,P00573,SHIP,-32,7a6970d9-9156-484a-8431-4612c178b6bd
IM00000108,2024-01-16T10:45:55,W002,P00236,RECEIPT,19,e3468569-dfa6-4034-af17-02bdd766a6d5
IM00000109,2025-07-19T08:10:06,W003,P00060,SHIP,-36,330607f1-b53a-4cf5-b9cb-7e9b8f89ca5a
IM00000110,2024-12-01T03:04:57,W007,P00277,RECEIPT,32,0982e26f-9c6c-4549-85de-a8e4df1843bf
IM00000111,2024-04-05T20:10:23,W014,P00193,TRANSFER_IN,10,a4cabf65-cb41-48ab-b04f-e5a29977339f
IM00000112,2025-05-05T07:42:19,W003,P00406,TRANSFER_OUT,-45,3516860a-e7a5-4b66-ae34-0222eb29af8a
IM00000113,2024-08-29T04:44:55,W017,P00527,TRANSFER_IN,12,738fe14e-c5b3-410f-9fa4-7ce8490e2f23
IM00000114,2024-05-24T06:30:01,W010,P00142,TRANSFER_IN,8,f7e2cc12-d3f9-40bf-8cb8-c3b681309696
IM00000115,2025-09-04T07:21:57,W015,P00506,RECEIPT,8,765d266c-2c1f-4f48-b5a9-ac35f6f5f8af
IM00000116,2024-10-19T03:20:18,W008,P00137,ADJUSTMENT,45,ca0f814f-d41b-4b14-baaf-6ff98d51f9ae
IM00000117,2024-03-23T07:32:40,W017,P00272,SHIP,-6,88e4159f-b181-4616-8566-22cafc37a237
IM00000118,2024-05-27T23:23:51,W014,P00490,TRANSFER_IN,32,6fe199c5-e159-49ae-a088-044f0193a5fb
IM00000119,2026-02-03T12:26:22,W006,P00068,TRANSFER_OUT,-38,d239348d-9d67-42c5-af9e-caa5235beee0
IM00000120,2024-06-08T02:49:00,W017,P00387,ADJUSTMENT,35,d3fd0626-5be9-4890-9cf3-c8440281b794
IM00000121,2025-04-09T05:01:32,W014,P00523,TRANSFER_OUT,-16,a65c2b37-1811-42f7-a1de-ddd1580a39ae
IM00000122,2024-12-04T02:40:57,W007,P00580,RECEIPT,1,de35fe06-16fd-4f1e-bd47-6dc2513e9970
IM00000123,2025-01-04T08:54:22,W016,P00020,TRANSFER_IN,26,fe44993f-cc6f-406c-b932-4fb0b7d80839
IM00000124,2026-01-15T21:56:40,W007,P00389,SHIP,-16,31ffa8ab-e2cf-4af3-b44c-1e00b5c602e0
IM00000125,2026-01-06T13:31:56,W009,P00023,RECEIPT,43,a1bbbc3c-9bc1-4986-8f9b-425a39d3031b
IM00000126,2024-04-26T21:48:02,W004,P00486,TRANSFER_IN,44,f979d325-c088-4841-a277-5db5ec2f54a9
IM00000127,2024-05-23T06:51:38,W008,P00529,RECEIPT,15,2341cfbc-ad80-4593-bc13-0d369ae10f7f
IM00000128,2025-07-05T07:02:26,W008,P00484,TRANSFER_OUT,-12,7894ac59-d7f6-42e1-8b4c-f5afad6eab02
IM00000129,2024-02-10T01:36:34,W007,P00057,SHIP,-25,dfb803b8-4da7-430b-8dc4-57ced8412ee2
IM00000130,2025-08-06T06:12:08,W002,P00334,ADJUSTMENT,30,1d3459a2-d795-4244-b661-c858e84ba2d1
IM00000131,2025-03-06T07:12:41,W016,P00506,ADJUSTMENT,45,f281ce38-2a78-418f-9596-b7b890d937ab
IM00000132,2024-11-04T17:27:51,W014,P00539,SHIP,-4,f248e051-7d1c-49ab-a2c5-e98534060ba5
IM00000133,2025-12-08T14:56:43,W014,P00587,RECEIPT,49,377b8231-22c6-494f-8b3b-74201520bc0a
IM00000134,2025-02-05T13:41:26,W015,P00298,ADJUSTMENT,21,0f7a8291-d3f9-4db9-a8d3-afa93178ba25
IM00000135,2025-02-12T11:39:58,W011,P00151,ADJUSTMENT,49,656ff246-22fb-4b1a-b6f7-4f5645bf81ae
IM00000136,2025-11-13T07:28:14,W008,P00260,TRANSFER_IN,27,2d952826-30d5-44d1-9533-16a10a7ecad1
IM00000137,2024-05-17T22:38:04,W001,P00471,TRANSFER_IN,44,afb0411e-2939-440d-92dc-f3b22642d83f
IM00000138,2025-07-06T05:38:00,W009,P00594,TRANSFER_OUT,-14,4c0d0812-1ae3-46f3-b291-62438b346a75
IM00000139,2025-03-03T03:45:58,W014,P00037,RECEIPT,33,e9d81238-a8d2-4a47-9eab-0495100764b6
IM00000140,2025-07-04T18:26:30,W017,P00076,TRANSFER_IN,33,8493c511-1e71-4a6b-bb4d-cf2b1ea86967
IM00000141,2025-08-19T13:09:17,W012,P00426,TRANSFER_OUT,-1,ddc8b1d7-89b6-456d-ae24-774ef0d1ff63
IM00000142,2025-10-06T18:20:36,W010,P00107,RECEIPT,49,48068322-cf36-45a9-bb48-0cb926c61174
IM00000143,2025-08-01T00:28:22,W002,P00090,TRANSFER_IN,43,cbacab76-c545-445b-96d9-2a088e67ad45
IM00000144,2025-06-01T01:04:23,W003,P00517,TRANSFER_OUT,-8,f0522b54-566b-4b4f-bd25-6af6f26a49bb
IM00000145,2025-04-10T14:04:14,W012,P00373,RECEIPT,32,fdb093a3-4e69-452b-ade8-86cf6e4a6fd4
IM00000146,2025-08-17T20:01:49,W003,P00328,SHIP,-28,5be243c1-75df-46bd-85a3-3c219acfa83d
IM00000147,2025-09-06T02:18:30,W003,P00132,TRANSFER_IN,33,8d735a49-2344-44d2-a29f-29ad2bfcd65a
IM00000148,2024-09-22T00:08:24,W014,P00087,TRANSFER_OUT,-3,150bf87b-6d16-4a08-aded-ff28a62a2495
IM00000149,2024-06-18T21:21:18,W014,P00286,TRANSFER_IN,25,d1317bfb-9d45-4a31-9b65-8779f6aec18f
IM00000150,2024-09-05T10:30:31,W015,P00096,TRANSFER_OUT,-36,a077d6b2-54ff-4223-8995-0029ad168691
IM00000151,2024-11-10T11:30:56,W010,P00557,TRANSFER_OUT,-15,706c925d-9122-4d0b-9438-16fcbe2b3af4
IM00000152,2024-05-15T15:43:03,W005,P00460,ADJUSTMENT,41,116926be-5fcc-43b3-9c79-2bb88887cb12
IM00000153,2026-02-08T04:14:37,W009,P00452,TRANSFER_OUT,-38,7cb6743f-0922-4d9e-81bc-1be4f9b6b225
IM00000154,2024-05-21T05:53:53,W003,P00231,TRANSFER_OUT,-23,0cd13384-4086-4e12-b1e7-9b67a254e72b
IM00000155,2024-10-18T06:22:12,W015,P00282,SHIP,-5,62f8477d-ceb3-470d-ba1a-7520d057837f
IM00000156,2024-05-19T04:07:06,W015,P00296,SHIP,-4,edf121e4-497d-4bec-bfaf-ee2f85c2a850
IM00000157,2024-01-30T08:28:45,W016,P00204,ADJUSTMENT,22,13e0b3c1-702f-46a8-987e-f2eda931be1b
IM00000158,2024-05-26T13:44:40,W011,P00415,ADJUSTMENT,22,dbbfe104-3593-43c2-882c-dac0096b7a18
IM00000159,2025-02-11T22:50:36,W011,P00106,ADJUSTMENT,40,76b58aeb-e24c-4a13-9d8f-36d4dbe5bdd3
IM00000160,2025-08-01T11:54:36,W014,P00447,RECEIPT,25,25a1b12b-00a6-43cb-b053-bbed40d49aff
IM00000161,2025-08-12T11:10:22,W002,P00423,TRANSFER_OUT,-26,38b3444a-716a-4c0b-9da5-a16d6676f270
IM00000162,2025-04-27T18:34:28,W005,P00105,RECEIPT,8,40718614-ff76-49a4-8486-b398c0c69a43
IM00000163,2024-08-31T06:16:52,W011,P00056,SHIP,-21,39e4a8d6-0b57-48e5-8e93-5605b438e8f2
IM00000164,2024-10-01T01:27:07,W013,P00564,ADJUSTMENT,16,21d7e255-14b2-4960-b50b-b48915d52b11
IM00000165,2024-04-03T01:37:31,W013,P00518,TRANSFER_IN,28,3e8dc121-5908-4ae9-9c0e-ef8c14e3518f
IM00000166,2025-08-10T15:08:30,W012,P00272,RECEIPT,18,58343981-f338-4ec0-9d36-54e454b9e1df
IM00000167,2025-04-27T14:23:25,W007,P00215,RECEIPT,2,bd7ba5b6-41a8-4181-b78a-96a38dc157ff
IM00000168,2025-08-13T20:56:43,W014,P00294,TRANSFER_OUT,-33,828c72f2-11c5-40e2-b007-76d2f16bb72f
IM00000169,2025-11-09T06:24:23,W006,P00024,TRANSFER_OUT,-20,b2a122c7-9db1-4068-8c9d-555d2b39ae75
IM00000170,2025-11-22T04:36:19,W010,P00590,TRANSFER_OUT,-33,69eac1bb-563d-49b2-888e-f412cca3ddc5
IM00000171,2024-03-23T05:49:11,W013,P00383,RECEIPT,25,126ae08a-9cf3-451a-a582-4e1b66737ee5
IM00000172,2024-08-17T22:05:41,W004,P00467,TRANSFER_OUT,-46,ca3e355c-0c11-43bb-9aed-914cd9a557af
IM00000173,2024-04-29T23:49:56,W016,P00404,ADJUSTMENT,16,649a151b-b4c4-459e-ad2b-e8f1940cbbaa
IM00000174,2024-08-04T00:23:59,W009,P00318,TRANSFER_IN,38,e388268f-11c9-4765-b8bf-e453f5b944dc
IM00000175,2025-06-21T23:37:17,W016,P00399,TRANSFER_OUT,-48,48c0ae75-d0fe-4950-87aa-46db075f9d43
IM00000176,2024-06-10T11:47:17,W016,P00480,ADJUSTMENT,35,5808dae2-c8d1-4171-8d01-433a4faffe9a
IM00000177,2024-08-27T02:44:39,W002,P00539,SHIP,-20,a783084e-abe6-4b0a-9386-4f7ae76f8b9e
IM00000178,2025-01-25T00:18:38,W007,P00277,RECEIPT,7,282ad5e6-4af2-4fe5-ba76-2f93a97327ba
IM00000179,2024-03-15T04:17:44,W007,P00209,TRANSFER_OUT,-16,57e65f7b-c4a2-461e-ab61-762d2fbd2a76
IM00000180,2024-09-27T02:53:21,W004,P00029,TRANSFER_OUT,-29,36f7b110-20a5-43a4-ab13-143377545357
IM00000181,2024-07-18T05:01:50,W008,P00550,RECEIPT,2,bc51c2ff-213d-46d8-af65-1e1bc7111994
IM00000182,2024-06-16T16:58:36,W007,P00131,TRANSFER_IN,17,6e774e4a-0066-4918-9589-2741dc495cc2
IM00000183,2025-05-15T19:19:47,W001,P00547,TRANSFER_IN,35,a34955cc-e4f6-4323-94dd-0ece89cdfd96
IM00000184,2025-02-21T20:46:30,W012,P00267,SHIP,-43,dec8d787-85ac-4dfe-bcac-1ace067b1052
IM00000185,2024-06-09T12:19:07,W002,P00365,ADJUSTMENT,6,333f10a5-43f8-43dd-b29c-73d04ce2589d
IM00000186,2024-09-08T00:36:33,W017,P00422,RECEIPT,40,9ee81e19-a110-4f56-8241-7142f9c47b31
IM00000187,2025-01-23T02:53:48,W006,P00032,ADJUSTMENT,26,c7de9fc8-3ef2-41a8-9169-c40e846fd35f
IM00000188,2025-09-02T20:23:04,W016,P00307,SHIP,-15,cd23ba3f-2aaf-4f42-a472-ef44f26e6f62
IM00000189,2024-01-21T12:24:25,W011,P00209,ADJUSTMENT,4,3c6e219d-b64f-42c3-ba96-391d3e516ae8
IM00000190,2026-01-05T21:44:26,W005,P00180,RECEIPT,9,1f1ef06d-a593-4fa8-bb14-0d00399537d0
IM00000191,2024-08-21T14:28:29,W013,P00162,TRANSFER_OUT,-46,5942410c-efa0-444f-bdf7-0d3b7e1a2b78
IM00000192,2025-07-11T15:54:03,W017,P00468,ADJUSTMENT,29,aeeccbe6-9eb8-43cd-8094-4b5a47bc6f1a
IM00000193,2024-10-22T13:02:19,W011,P00441,TRANSFER_OUT,-13,98936be8-1338-40e0-bb72-69c75b614e56
IM00000194,2026-01-13T18:42:33,W014,P00383,TRANSFER_OUT,-7,1b86285f-1a1e-491b-8067-65c66042ac25
IM00000195,2025-08-11T16:15:02,W005,P00050,SHIP,-43,20646b28-240c-488b-9492-26e0acebf35b
IM00000196,2025-12-27T23:46:57,W004,P00290,TRANSFER_OUT,-5,65bb18c7-370e-4888-a00c-7742d60a4174
IM00000197,2024-11-20T07:25:23,W007,P00085,TRANSFER_OUT,-25,38bd0c7a-19d9-44ca-b7b5-b392e500f498
IM00000198,2024-04-03T13:31:16,W011,P00045,TRANSFER_OUT,-12,c7aa1aea-0478-4974-9747-37ca8bd93e02
IM00000199,2025-11-11T05:06:15,W015,P00115,TRANSFER_IN,38,ccc71eab-bc5b-4edf-a6c4-22c756e9846e
IM00000200,2024-04-01T15:50:54,W007,P00435,TRANSFER_OUT,-45,bacb68da-4a5f-4d65-b5a5-e6d4aa52ab45
IM00000201,2026-01-07T14:07:44,W005,P00060,SHIP,-34,5b425c46-808f-4cb5-9131-f7b0241d537e
IM00000202,2025-01-04T18:42:58,W004,P00059,TRANSFER_OUT,-38,dc70671a-86ca-4fd2-9b7b-d8c63fac5b21
IM00000203,2025-07-25T06:13:45,W003,P00585,TRANSFER_IN,40,5f5b0773-7047-4aef-aa2b-70fd56d5acd3
IM00000204,2024-09-11T10:15:47,W001,P00041,RECEIPT,49,c2b39d71-e405-4140-b7da-6f0eff851f2a
IM00000205,2024-12-17T11:07:10,W008,P00138,TRANSFER_IN,15,489d6c21-2ba0-4045-9e43-5319ff76e9e6
IM00000206,2024-12-04T15:18:47,W006,P00203,ADJUSTMENT,32,be3e4be9-bc96-4e3a-b050-2406db0b75c0
IM00000207,2025-05-03T06:24:20,W014,P00287,TRANSFER_IN,15,34dfa3c6-6d99-4245-81fe-f20bcfe26bc3
IM00000208,2024-07-08T10:58:52,W011,P00461,TRANSFER_IN,11,3d8ffe65-cd81-419d-bda5-bb805e310a4f
IM00000209,2024-01-09T15:58:48,W004,P00421,RECEIPT,1,1c3935dc-d6a9-4b98-8dce-d5d106f84350
IM00000210,2024-02-10T22:10:12,W003,P00261,RECEIPT,2,4efd34f8-409b-447c-9461-9d5900c4941e
IM00000211,2025-12-10T11:31:19,W016,P00508,RECEIPT,32,d53706ff-37db-474c-ba38-a8977005e87e
IM00000212,2025-11-05T15:45:03,W012,P00533,ADJUSTMENT,2,33d1342f-295f-443e-8acd-08dafdf755bf
IM00000213,2025-06-16T15:57:29,W003,P00338,TRANSFER_IN,16,d42d0767-a567-42ba-b31c-f99c9884a230
IM00000214,2025-02-04T03:31:45,W012,P00461,SHIP,-48,bca0caab-866b-4930-a3d7-3f95eb12ec50
IM00000215,2024-07-14T10:26:17,W002,P00443,SHIP,-45,64929842-fede-430d-85b2-26afd0985fb6
IM00000216,2024-12-06T17:12:45,W011,P00461,TRANSFER_OUT,-34,e0ba7305-16a2-4f0c-895a-a7ae024910bd
