activity_id,account_id,contact_id,activity_type,outcome,activity_ts,owner_role
ACT000064,A00308,CT000785,Task,Left VM,2024-08-20T00:01:23,AE
ACT000065,A00902,CT000319,Task,Left VM,2025-09-08T19:15:49,SDR
ACT000066,A00418,CT001481,Email,Left VM,2025-02-16T10:42:55,AE
ACT000067,A00952,CT002070,Meeting,Booked Meeting,2025-11-13T15:49:53,AE
ACT000068,A00626,CT001990,Meeting,Connected,2025-10-15T01:49:26,AM
ACT000069,A00373,CT000913,Meeting,No Answer,2024-05-22T06:56:09,AM
ACT000070,A00585,CT000863,Meeting,No Answer,2025-12-19T10:37:08,CSM
ACT000071,A00488,CT000916,Email,Left VM,2025-06-10T06:31:13,AE
ACT000072,A00618,CT000906,Task,Booked Meeting,2025-10-22T08:54:23,SDR
ACT000073,A00629,CT001976,Call,Left VM,2024-03-16T10:17:04,SDR
ACT000074,A00774,CT001205,Meeting,Follow-up Needed,2025-05-11T20:03:42,AM
ACT000075,A00525,CT001362,Task,Left VM,2025-11-29T22:29:01,AM
ACT000076,A00581,CT001232,Email,Replied,2025-12-14T22:49:20,AM
ACT000077,A00100,CT000455,Meeting,Follow-up Needed,2024-05-03T01:42:04,AE
ACT000078,A01135,CT001029,Meeting,Left VM,2024-06-22T19:39:28,CSM
ACT000079,A00647,CT002000,Call,Replied,2025-02-19T20:46:08,SDR
ACT000080,A00779,CT000845,Call,No Answer,2024-07-07T03:55:07,CSM
ACT000081,A00235,CT001984,Meeting,Follow-up Needed,2025-05-08T16:08:57,AM
ACT000082,A00428,CT000995,Meeting,Replied,2025-06-23T13:36:32,CSM
ACT000083,A00528,CT000464,Meeting,Left VM,2024-12-08T22:08:48,SDR
ACT000084,A00438,CT000925,Task,Booked Meeting,2025-10-20T21:57:06,AE
ACT000085,A00205,CT001438,Call,Left VM,2025-10-18T20:52:35,AE
ACT000086,A01128,CT000776,Meeting,Replied,2024-03-15T23:35:57,AE
ACT000087,A00317,CT002012,Email,Follow-up Needed,2024-04-12T23:33:11,SDR
ACT000088,A00909,CT001064,Task,Connected,2024-11-15T21:36:05,AM
ACT000089,A00847,CT000034,Call,Connected,2025-01-13T05:18:17,CSM
ACT000090,A01151,CT001868,Task,No Answer,2026-02-12T17:56:26,SDR
ACT000091,A00460,CT001692,Meeting,Left VM,2024-10-14T21:14:26,SDR
ACT000092,A01153,CT000560,Email,Left VM,2026-02-07T19:11:05,AM
ACT000093,A00454,CT001941,Email,No Answer,2024-05-10T23:46:19,SDR
ACT000094,A00694,CT000499,Email,Connected,2024-10-07T05:07:56,AE
ACT000095,A00711,CT001436,Task,Left VM,2025-11-02T21:38:28,SDR
ACT000096,A01136,CT001544,Meeting,Replied,2025-12-14T23:35:20,SDR
ACT000097,A00737,CT002179,Call,Left VM,2024-05-15T08:19:37,AM
ACT000098,A01147,CT000560,Task,Booked Meeting,2024-08-08T14:54:34,SDR
ACT000099,A00855,CT000675,Email,Replied,2024-09-26T20:54:31,AM
ACT000100,A00956,CT001086,Email,Connected,2025-02-04T08:20:17,AM
ACT000101,A00525,CT001613,Meeting,Follow-up Needed,2024-04-17T21:59:22,SDR
ACT000102,A00382,CT000680,Task,Replied,2026-01-16T18:38:49,SDR
ACT000103,A00189,CT002018,Task,Follow-up Needed,2024-02-24T15:15:11,SDR
ACT000104,A00709,CT002062,Email,Follow-up Needed,2025-08-15T12:47:41,SDR
ACT000105,A00121,CT001128,Email,Replied,2026-02-16T00:14:58,AM
ACT000106,A00808,CT001341,Meeting,Booked Meeting,2024-07-27T10:52:36,AM
ACT000107,A00752,CT001896,Call,Left VM,2026-02-09T22:17:28,CSM
ACT000108,A00848,CT000312,Email,Follow-up Needed,2025-05-28T21:53:17,AM
ACT000109,A01127,CT001595,Task,Connected,2024-07-31T18:24:11,SDR
ACT000110,A00041,CT001719,Task,Left VM,2025-07-25T23:38:01,AE
ACT000111,A00935,CT001972,Call,Replied,2024-11-28T03:34:28,SDR
ACT000112,A00911,CT001307,Task,Booked Meeting,2025-12-31T15:58:47,CSM
ACT000113,A00384,CT000249,Email,Replied,2025-04-08T22:36:23,AE
ACT000114,A00858,CT001027,Task,Follow-up Needed,2024-01-17T22:42:31,AE
ACT000115,A00536,CT000924,Task,Booked Meeting,2025-05-20T17:23:39,AE
ACT000116,A00920,CT001903,Meeting,No Answer,2025-12-10T07:48:41,CSM
ACT000117,A01029,CT000870,Email,Left VM,2024-05-06T00:37:19,CSM
ACT000118,A00204,CT000360,Task,Booked Meeting,2024-06-24T15:50:46,CSM
ACT000119,A01112,CT000832,Email,Replied,2025-05-12T20:36:59,SDR
ACT000120,A00271,CT001136,Meeting,Booked Meeting,2025-03-16T15:39:06,CSM
ACT000121,A01083,CT000241,Meeting,No Answer,2025-07-27T03:12:28,CSM
ACT000122,A00543,CT000186,Email,Follow-up Needed,2024-12-25T00:49:32,CSM
ACT000123,A00747,CT002088,Meeting,Connected,2025-08-30T03:09:08,AM
ACT000124,A00119,CT000324,Meeting,Booked Meeting,2025-10-30T00:05:47,AE
ACT000125,A01122,CT001852,Task,Left VM,2024-05-26T09:59:43,AE
ACT000126,A00694,CT001632,Email,Left VM,2024-08-31T22:55:19,AE
ACT000127,A00629,CT001443,Email,No Answer,2025-07-08T12:16:58,SDR
ACT000128,A00711,CT000732,Email,Left VM,2025-05-20T08:55:14,AM
ACT000129,A00315,CT002172,Task,Connected,2025-06-14T19:53:16,AE
ACT000130,A00156,CT002117,Meeting,Booked Meeting,2024-08-10T08:32:40,AE
ACT000131,A00406,CT001427,Call,Follow-up Needed,2025-03-09T21:37:39,SDR
ACT000132,A00751,CT000315,Email,No Answer,2024-10-05T13:19:23,CSM
ACT000133,A00592,CT001210,Call,Replied,2025-08-19T14:55:31,CSM
ACT000134,A01051,CT000749,Email,Left VM,2024-01-21T08:14:54,AE
ACT000135,A00558,CT000427,Call,Left VM,2024-01-07T12:14:32,AM
ACT000136,A00223,CT000974,Meeting,Follow-up Needed,2025-10-14T13:23:08,AM
ACT000137,A00363,CT001308,Meeting,Replied,2025-05-20T01:21:51,SDR
ACT000138,A00159,CT000444,Call,Connected,2024-04-22T19:19:20,AM
ACT000139,A00578,CT002025,Call,Left VM,2024-05-09T06:36:49,CSM
ACT000140,A00901,CT000456,Task,Replied,2024-07-18T11:00:38,CSM
ACT000141,A01109,CT000799,Meeting,Left VM,2024-06-02T18:16:50,AE
ACT000142,A00909,CT001747,Email,Connected,2024-12-27T19:29:03,CSM
ACT000143,A00563,CT001640,Call,No Answer,2024-08-17T19:03:40,SDR
ACT000144,A00888,CT000915,Email,No Answer,2024-12-23T20:40:47,CSM
ACT000145,A00511,CT001963,Meeting,Replied,2025-11-21T22:08:09,CSM
ACT000146,A00863,CT001900,Task,Connected,2024-03-11T06:49:34,AM
ACT000147,A00532,CT001809,Task,Left VM,2024-12-22T15:17:51,CSM
ACT000148,A00548,CT001926,Task,Replied,2025-04-04T11:18:48,AE
ACT000149,A01084,CT000615,Meeting,Follow-up Needed,2025-07-10T13:46:02,AE
ACT000150,A01078,CT000379,Email,Booked Meeting,2025-02-20T13:29:26,SDR
ACT000151,A00273,CT002043,Meeting,Connected,2024-03-08T13:51:38,AM
ACT000152,A00764,CT002142,Task,Left VM,2025-06-28T21:28:22,SDR
ACT000153,A00097,CT000653,Email,Connected,2025-02-21T20:22:02,AE
ACT000154,A00057,CT002115,Meeting,No Answer,2024-02-09T03:05:47,CSM
ACT000155,A00874,CT001957,Task,Connected,2024-07-23T19:39:50,AE
ACT000156,A00085,CT001785,Meeting,Booked Meeting,2025-08-15T05:59:18,AE
ACT000157,A00052,CT001004,Meeting,Follow-up Needed,2025-01-06T09:38:58,AM
ACT000158,A00560,CT002077,Meeting,Connected,2024-10-20T17:09:16,CSM
ACT000159,A00658,CT001804,Task,Connected,2025-12-10T15:10:12,SDR
ACT000160,A00712,CT000274,Meeting,Replied,2024-07-09T17:56:31,AE
ACT000161,A00307,CT002080,Task,Replied,2026-02-02T20:27:25,SDR
ACT000162,A00214,CT000414,Email,Replied,2025-11-19T22:03:11,CSM
ACT000163,A01195,CT000276,Email,No Answer,2025-06-05T01:04:17,AM
ACT000164,A00453,CT002185,Call,Left VM,2025-06-21T19:10:14,AE
ACT000165,A00460,CT000806,Call,Booked Meeting,2024-07-02T07:30:44,SDR
ACT000166,A00047,CT001878,Task,Connected,2024-12-14T13:12:46,CSM
ACT000167,A00291,CT001245,Task,Booked Meeting,2025-01-21T13:25:38,CSM
ACT000168,A00236,CT001025,Task,Connected,2024-05-25T08:01:21,AE
ACT000169,A00943,CT001035,Email,Booked Meeting,2026-01-03T07:10:43,AM
ACT000170,A00581,CT000011,Email,Replied,2024-11-28T10:19:30,CSM
ACT000171,A00775,CT002173,Meeting,Replied,2025-01-06T23:15:17,SDR
ACT000172,A00380,CT001192,Task,No Answer,2025-02-01T04:08:55,SDR
ACT000173,A00286,CT000501,Call,Left VM,2024-09-07T17:00:47,SDR
ACT000174,A00912,CT001812,Meeting,Left VM,2024-02-19T01:52:41,SDR
ACT000175,A00633,CT000554,Task,Follow-up Needed,2024-10-13T17:10:42,AM
ACT000176,A00412,CT001494,Task,Replied,2025-11-04T05:48:58,SDR
ACT000177,A00122,CT000131,Task,No Answer,2025-03-27T06:33:26,AM
ACT000178,A00583,CT001465,Meeting,Left VM,2024-06-22T09:49:35,AE
ACT000179,A00639,CT001461,Email,Connected,2025-11-11T02:30:20,CSM
ACT000180,A01199,CT001730,Task,No Answer,2026-02-18T02:02:40,CSM
ACT000181,A00674,CT000525,Email,No Answer,2025-03-11T17:14:06,SDR
ACT000182,A00480,CT000393,Task,Connected,2024-03-19T02:19:46,AE
ACT000183,A00968,CT000343,Meeting,Left VM,2024-07-12T02:45:33,AE
ACT000184,A00594,CT001285,Call,Left VM,2025-04-09T08:17:46,AM
ACT000185,A00381,CT000218,Email,Replied,2026-02-19T15:43:53,AM
ACT000186,A00009,CT000816,Email,No Answer,2025-03-20T04:34:34,SDR
ACT000187,A00109,CT001369,Task,Left VM,2025-11-12T03:02:15,AM
ACT000188,A01182,CT000848,Task,No Answer,2025-06-07T04:57:19,AE
ACT000189,A00704,CT000802,Task,Connected,2025-09-21T08:12:32,CSM
ACT000190,A01122,CT000236,Meeting,Connected,2025-08-11T12:50:47,AE
ACT000191,A00665,CT001517,Email,Booked Meeting,2025-09-12T08:57:39,SDR
ACT000192,A00417,CT002153,Email,No Answer,2025-03-06T21:07:39,CSM
ACT000193,A00384,CT001568,Meeting,Replied,2025-07-06T12:57:54,AM
ACT000194,A00257,CT001432,Task,No Answer,2025-03-09T10:18:53,CSM
ACT000195,A00984,CT001249,Call,Follow-up Needed,2026-01-05T07:02:51,SDR
ACT000196,A00827,CT001728,Meeting,Replied,2025-07-05T01:19:41,CSM
ACT000197,A01164,CT001585,Meeting,Replied,2024-10-14T15:34:08,AE
ACT000198,A00114,CT001581,Meeting,Connected,2025-05-14T02:12:52,CSM
ACT000199,A00839,CT001475,Task,Replied,2025-05-17T06:26:49,AE
ACT000200,A01047,CT000666,Email,Booked Meeting,2025-04-30T19:51:36,AE
ACT000201,A00187,CT000982,Meeting,Follow-up Needed,2024-12-05T22:39:20,CSM
ACT000202,A00386,CT000555,Meeting,Follow-up Needed,2025-11-01T12:03:12,AE
ACT000203,A00520,CT001588,Meeting,No Answer,2024-02-20T07:03:18,AE
ACT000204,A00379,CT001312,Call,No Answer,2024-08-02T06:46:55,AM
ACT000205,A01079,CT001466,Email,Left VM,2025-08-18T00:58:49,SDR
ACT000206,A00594,CT001511,Meeting,Booked Meeting,2024-07-09T04:10:04,CSM
ACT000207,A00603,CT000340,Task,Connected,2024-06-21T02:01:33,SDR
ACT000208,A01024,CT000763,Meeting,Booked Meeting,2025-01-14T13:26:04,CSM
ACT000209,A01028,CT000902,Call,No Answer,2024-02-28T15:18:02,CSM
ACT000210,A01094,CT000869,Email,Follow-up Needed,2026-01-23T13:07:02,AE
ACT000211,A00080,CT000996,Call,Booked Meeting,2024-09-29T05:34:21,SDR
ACT000212,A00142,CT001852,Meeting,Connected,2025-12-01T00:15:34,SDR
ACT000213,A01040,CT001813,Email,Replied,2024-08-16T23:35:52,CSM
ACT000214,A00272,CT001631,Email,Connected,2024-04-17T17:16:11,CSM
ACT000215,A00368,CT001564,Task,Follow-up Needed,2025-11-22T05:35:39,SDR
ACT000216,A00779,CT001980,Call,Replied,2025-11-26T21:46:47,CSM
ACT000217,A00687,CT000131,Task,Connected,2024-06-29T13:08:22,SDR
ACT000218,A00577,CT000302,Task,Replied,2025-05-12T19:51:58,AM
ACT000219,A00721,CT000535,Email,Follow-up Needed,2024-03-01T13:36:24,SDR
ACT000220,A00379,CT000797,Email,Replied,2024-10-18T08:52:16,AM
ACT000221,A00811,CT002110,Call,Follow-up Needed,2025-10-18T17:40:36,AM
ACT000222,A00296,CT000854,Task,Replied,2024-11-14T05:28:50,AM
ACT000223,A00190,CT001789,Email,No Answer,2024-10-21T09:01:25,SDR
ACT000224,A00390,CT000815,Meeting,Left VM,2024-08-16T00:46:03,AE
ACT000225,A00212,CT000726,Email,Connected,2025-05-03T03:44:46,AM
ACT000226,A00611,CT001555,Task,Booked Meeting,2025-06-30T22:00:03,SDR
ACT000227,A00396,CT001103,Task,Connected,2024-01-26T05:32:59,AE
ACT000228,A00782,CT000177,Call,No Answer,2024-12-08T01:15:46,AM
ACT000229,A00512,CT001067,Meeting,Follow-up Needed,2026-02-06T17:41:39,SDR
ACT000230,A00928,CT001731,Meeting,Follow-up Needed,2025-05-24T11:59:39,CSM
ACT000231,A00245,CT000850,Task,Replied,2024-08-19T00:19:14,SDR
ACT000232,A00761,CT001405,Email,Connected,2024-11-29T22:00:00,SDR
ACT000233,A00867,CT000912,Call,Replied,2024-07-07T18:04:15,CSM
ACT000234,A00113,CT000621,Call,Follow-up Needed,2025-01-15T01:31:46,AM
ACT000235,A01102,CT001469,Call,Booked Meeting,2024-08-07T17:09:33,AE
ACT000236,A01076,CT000545,Task,Connected,2024-10-27T14:15:17,SDR
ACT000237,A00008,CT001096,Meeting,Follow-up Needed,2025-12-17T20:49:02,CSM
ACT000238,A00192,CT000692,Call,Replied,2024-10-29T01:54:09,AM
ACT000239,A01122,CT001073,Task,Booked Meeting,2024-08-09T04:46:24,AM
ACT000240,A00345,CT002035,Meeting,Booked Meeting,2025-11-11T19:13:49,AM
ACT000241,A00764,CT000217,Call,Connected,2025-06-01T04:40:10,SDR
ACT000242,A00231,CT001332,Meeting,Connected,2025-07-25T23:45:13,CSM
ACT000243,A00655,CT001628,Call,No Answer,2025-10-06T11:11:33,CSM
ACT000244,A00746,CT000206,Meeting,Booked Meeting,2024-08-07T04:03:38,AM
ACT000245,A00190,CT001956,Call,Booked Meeting,2024-12-27T12:17:56,SDR
ACT000246,A00918,CT002065,Call,Left VM,2025-09-16T02:01:13,AE
ACT000247,A00222,CT001833,Email,Replied,2024-12-23T09:58:24,AE
ACT000248,A00834,CT000412,Meeting,Connected,2025-11-16T05:05:10,CSM
ACT000249,A00064,CT000849,Task,Replied,2025-04-13T11:49:44,AM
ACT000250,A00570,CT001830,Call,Follow-up Needed,2024-09-14T15:52:32,SDR
ACT000251,A00638,CT000225,Call,Booked Meeting,2024-11-23T16:22:29,CSM
ACT000252,A00754,CT000092,Task,Replied,2025-04-05T05:48:51,SDR
ACT000253,A00763,CT001649,Task,No Answer,2025-07-04T19:32:25,CSM
ACT000254,A00003,CT000746,Task,Connected,2025-05-21T21:10:03,AM
ACT000255,A00577,CT000176,Email,Left VM,2025-05-15T23:01:36,AM
ACT000256,A01196,CT001063,Task,Connected,2024-08-09T14:42:56,CSM
ACT000257,A00624,CT000420,Task,Replied,2024-08-20T17:06:00,AE
ACT000258,A00979,CT001907,Call,Follow-up Needed,2025-01-17T03:55:28,CSM
ACT000259,A00920,CT000226,Call,Booked Meeting,2024-12-20T21:42:01,AE
ACT000260,A00061,CT000863,Email,Booked Meeting,2025-12-30T14:17:01,CSM
ACT000261,A00434,CT001386,Task,Replied,2025-08-26T05:54:25,AE
ACT000262,A01045,CT000841,Email,Booked Meeting,2024-03-25T17:49:06,CSM
ACT000263,A00319,CT000428,Call,Connected,2025-09-01T20:39:40,AM
ACT000264,A00229,CT001269,Meeting,No Answer,2024-12-16T12:42:45,AE
ACT000265,A00204,CT001812,Call,Left VM,2024-07-12T03:34:57,SDR
ACT000266,A00937,CT000516,Meeting,Booked Meeting,2024-10-21T17:41:25,CSM
ACT000267,A00474,CT001337,Email,Booked Meeting,2024-05-31T07:47:09,AE
ACT000268,A00636,CT002165,Call,Replied,2024-05-24T08:48:40,SDR
ACT000269,A00391,CT000953,Call,Replied,2024-09-12T15:40:03,SDR
ACT000270,A00247,CT000034,Email,Follow-up Needed,2024-08-18T02:42:20,SDR
ACT000271,A01079,CT002149,Meeting,Replied,2026-02-20T06:17:59,AM
ACT000272,A00164,CT001776,Email,Booked Meeting,2026-02-27T07:59:00,AE
ACT000273,A00860,CT001690,Meeting,Left VM,2025-12-11T04:59:04,AM
ACT000274,A00319,CT001227,Task,Connected,2025-12-11T16:25:24,AE
ACT000275,A00039,CT001932,Meeting,Follow-up Needed,2024-06-06T08:26:08,AM
ACT000276,A00428,CT000689,Call,Follow-up Needed,2025-06-14T23:13:41,AE
ACT000277,A01046,CT001372,Call,Follow-up Needed,2025-04-18T19:19:33,SDR
ACT000278,A01155,CT001241,Call,Left VM,2025-12-17T11:37:59,SDR
ACT000279,A00007,CT000284,Meeting,Booked Meeting,2025-08-07T02:43:21,SDR
ACT000280,A00680,CT001854,Task,Booked Meeting,2025-03-16T20:08:44,SDR
ACT000281,A00691,CT001634,Email,Replied,2025-12-05T19:40:28,SDR
ACT000282,A01140,CT000311,Task,Left VM,2024-10-05T15:42:39,CSM
ACT000283,A00740,CT000141,Email,Booked Meeting,2025-10-13T17:08:46,SDR
ACT000284,A00793,CT000297,Task,Follow-up Needed,2025-09-10T09:00:09,AE
ACT000285,A00268,CT001038,Call,Replied,2025-12-12T07:48:50,AM
ACT000286,A01022,CT000622,Call,Follow-up Needed,2024-06-14T01:29:02,AM
ACT000287,A00272,CT001334,Call,Follow-up Needed,2026-02-26T13:44:29,AM
ACT000288,A00977,CT000763,Call,Connected,2025-05-05T23:18:29,SDR
ACT000289,A01015,CT000073,Task,Connected,2024-08-16T23:27:39,AE
ACT000290,A00569,CT001662,Meeting,Connected,2024-01-22T20:49:15,CSM
ACT000291,A00406,CT000630,Call,Replied,2024-07-27T16:53:09,AM
ACT000292,A00610,CT001864,Call,Follow-up Needed,2025-09-23T07:14:42,AE
ACT000293,A00415,CT001496,Task,Left VM,2024-09-28T07:03:25,SDR
ACT000294,A00198,CT001858,Email,Left VM,2024-09-01T09:10:30,SDR
ACT000295,A01091,CT000079,Call,Follow-up Needed,2025-09-12T15:30:48,CSM
ACT000296,A00331,CT000134,Meeting,No Answer,2025-06-22T02:39:08,AE
ACT000297,A00607,CT000055,Call,Booked Meeting,2024-06-10T03:23:06,SDR
ACT000298,A00621,CT001328,Task,Booked Meeting,2024-09-03T21:53:26,SDR
ACT000299,A00665,CT001643,Call,Connected,2024-09-27T03:20:57,SDR
ACT000300,A00847,CT000411,Email,Connected,2025-02-16T19:58:16,AE
ACT000301,A01110,CT000297,Task,Replied,2026-01-08T16:52:49,CSM
ACT000302,A00520,CT001727,Task,Follow-up Needed,2024-12-19T16:41:44,AM
ACT000303,A01109,CT002176,Meeting,Follow-up Needed,2024-09-23T21:22:01,SDR
ACT000304,A00869,CT001831,Task,Booked Meeting,2025-08-16T19:30:11,CSM
ACT000305,A00110,CT002190,Call,Connected,2025-04-29T19:41:38,AM
ACT000306,A00146,CT000764,Task,Booked Meeting,2024-11-08T19:59:54,CSM
ACT000307,A00590,CT000627,Task,Connected,2024-12-07T13:15:28,SDR
ACT000308,A00732,CT000699,Email,Replied,2024-09-01T12:25:44,CSM
ACT000309,A00060,CT000869,Meeting,Left VM,2025-02-24T23:15:50,AM
ACT000310,A00739,CT001910,Meeting,No Answer,2025-03-07T16:23:11,AE
ACT000311,A00686,CT000238,Task,Connected,2024-09-14T00:31:57,CSM
ACT000312,A00293,CT001929,Meeting,Booked Meeting,2024-05-28T20:02:39,AE
ACT000313,A00656,CT002182,Task,Replied,2024-06-24T16:29:59,AM
ACT000314,A00434,CT000209,Call,Follow-up Needed,2026-01-28T15:35:09,CSM
ACT000315,A00200,CT000334,Meeting,Follow-up Needed,2026-02-20T18:21:35,CSM
ACT000316,A00110,CT001422,Email,No Answer,2024-07-20T06:57:43,AE
ACT000317,A00499,CT000012,Call,Left VM,2025-01-06T07:34:23,AM
ACT000318,A00404,CT002022,Call,No Answer,2024-03-04T19:36:27,AE
ACT000319,A00547,CT002023,Meeting,Follow-up Needed,2025-04-21T22:03:35,AM
ACT000320,A00817,CT001699,Task,Follow-up Needed,2024-03-20T02:14:43,AM
ACT000321,A01060,CT000073,Email,Connected,2024-10-02T18:17:09,SDR
ACT000322,A00867,CT000863,Call,Follow-up Needed,2025-08-04T22:20:08,AM
ACT000323,A00273,CT001451,Meeting,Left VM,2024-03-02T09:28:42,CSM
ACT000324,A00043,CT000764,Email,Replied,2025-12-25T02:25:20,CSM
ACT000325,A00042,CT001498,Meeting,No Answer,2024-05-18T20:10:46,CSM
ACT000326,A00454,CT000757,Call,Connected,2024-01-03T00:37:22,AM
ACT000327,A00091,CT001646,Email,Connected,2025-05-26T23:07:43,AE
ACT000328,A01098,CT000095,Meeting,Booked Meeting,2025-02-03T11:54:41,AE
ACT000329,A01080,CT001694,Task,Follow-up Needed,2025-02-10T01:02:48,SDR
ACT000330,A00769,CT000322,Email,Replied,2024-09-28T21:42:35,AM
ACT000331,A00184,CT000586,Meeting,No Answer,2024-10-09T00:26:02,AM
ACT000332,A00325,CT000641,Email,Replied,2025-12-03T00:39:21,AM
ACT000333,A00271,CT001617,Call,Left VM,2025-04-08T13:39:12,SDR
ACT000334,A00073,CT000271,Task,Booked Meeting,2024-10-05T18:42:14,SDR
ACT000335,A01163,CT001985,Meeting,No Answer,2024-04-10T22:16:16,AE
ACT000336,A00054,CT000504,Call,Booked Meeting,2024-06-04T18:58:05,SDR
ACT000337,A00294,CT000344,Meeting,Booked Meeting,2025-08-26T02:46:21,AE
ACT000338,A00414,CT000036,Call,Booked Meeting,2025-11-20T00:10:54,SDR
ACT000339,A00334,CT001137,Call,Follow-up Needed,2025-10-14T13:08:08,SDR
ACT000340,A00929,CT000983,Email,Booked Meeting,2025-06-26T18:06:11,SDR
ACT000341,A01066,CT002018,Email,Connected,2024-01-04T06:59:39,AM
